Details,Predict Type of finding,Type of finding
วางอุปกรณ์นั่งร้านกีดขวางทางเดิน,,Unsafe Condition
จัดวางสายไฟไม่เป็นระเบียบเรียบร้อย >> แจ้งให้ติดตั้งนั่งร้านทำเป็นรางสายไฟและนำ S-Hook มาใช้งาน,Unsafe Condition,Unsafe Condition
ประแจไม่ได้ผูกเชือกป้องกันของตก,Unsafe Action,Unsafe Condition
Tag ป.ปลาหลุดและยังไม่ได้เปลี่ยน Sticker เป็นเดือนมิถุนายน,Unsafe Condition,Unsafe Condition
รอกตาเดียวไม่มี Tag inspection,,Unsafe Condition
"ผู้ปฏิบัติงาน install flange pass 1,2 สวมใส่แว่นตาไม่เรียบร้อยและแว่นตาเป็นแบบมืดไม่เหมาะสมในการใช้ในเวลากลางคืน",Unsafe Action,Unsafe Action
งานยกขนย้ายอุปกรณ์โดยใช้เครนเปิดเป็น Work ความเสี่ยงต่ำ (LH),Unsafe Action,Unsafe Action
วางเหล็กกีดขวางทางเดิน มีโอกาสเดินสะดุดล้มได้,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานเดินลาก Hook ขูด Grating >> แจ้งให้เก็บสาย Safety Harness ให้เรียบร้อย,Unsafe Action,Unsafe Action
นั่งร้านแขวนรอกรับน้ำหนักสำหรับงานดึง Tebe TLE ไม่มี Tag,Unsafe Condition,Unsafe Condition
งานดึง Tube Pass3 ไม่มีคอกกั้น,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานประกอบ Structure ชั้น 7 คล้องเกี่ยว Safety Harness จุดที่ไม่มั่นคง,Unsafe Condition,Unsafe Action
แผ่น Grating กระดก,,Unsafe Condition
Safety Lead ลงชื่อไว้ใน Work permit แต่ไม่ได้อยู่ควบคุมที่หน้างาน,Unsafe Action,Unsafe Action
งานดึง Tube TLE ชั้น7 แสงสว่างไม่เพียงพอ,Unsafe Condition,Unsafe Condition
วางตู้เชื่อมไว้บนคานปูน,Unsafe Action,Unsafe Condition
Manifold air ไม่มี Pressure gauge (ยังไม่ได้นำมาใช้งาน),Unsafe Condition,Unsafe Condition
ยังไม่ได้ติดตั้ง Tempo Handrail หลังจากติดตั้งนั่งร้าน Line HTC2,Unsafe Action,Unsafe Condition
ไฟแสงสว่างถนนด้านหน้าเตาและทางเดินขึ้นบันไดไม่ติด 3 ดวง,Unsafe Condition,Unsafe Condition
ผูกมัดสลิงผ้าใบต่อกันเพื่อต๋งอุปกรณ์ >> เปลี่ยนเป็นคล้องกันไว้,Unsafe Condition,Unsafe Condition
ตะแกรงดักเขม่า Generater อุดตัน,,Unsafe Condition
งาน Buff ไม่ได้ปิดล้อมผ้ากันไฟป้องกันสะเก็ดลวด,Unsafe Condition,Unsafe Condition
กองเก็บอุปกรณ์นั่งร้านไว้ใต้ Furnace,Unsafe Action,Unsafe Condition
เชือกที่นำเข้ามาใช้งานพับเก็บไว้กับ Pipe มีลักษณะเป็นขุย >> เปลี่ยนเส้นใหม่,Unsafe Condition,Unsafe Condition
ขณะเดิน Log sheet routine พบเห็นหลอดไฟที่ H-830 ไม่ติดสักดวงเดียว,Near Miss,Near Miss
Safety Lead ไม่เพียงพอ ให้ Safety Lead ที่ไม่มี Sticker CSE ควบคุมงาน HW I ด้านใน CSE >> Rotate SL ที่มี Sticker CSE ชั้นบน มาควบคุมงานแทน,Unsafe Action,Unsafe Action
แขวนกระเป๋า Half Mask กับอุปกรณ์ Plant,Unsafe Action,Unsafe Action
มีการทำงานซ้ำซ้อนกันระหว่างงาน Remove coil กับงานแก้ไขนั่งร้านด้านใน fire Box >> แจ้งให้หยุดงานติดตั้งนั่งร้าน,Unsafe Action,Unsafe Condition
งาน Remove Coil ชั้น1 ปิดกั้นพื้นที่ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
ไม่ได้ผูกมัดแผ่น Plate รองขานั่งร้าน,Unsafe Condition,Unsafe Condition
ประเมินความเสี่ยงงานประกอบ Tolley Beam ไม่ครอบคลุม,Unsafe Action,Unsafe Action
ไม่สวมใส่ถุงมือขณะปฏิบัติงาน PT test ,Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานใช้แผ่นนั่งร้านวางพาด (ผูกมัดไม่แน่น) เพื่อยืนทำงานเจียร/ แต่ง Bevel Venturie ซึ่งพื้นที่เป็นจุดที่มีความเสี่ยงต่อการตกจากที่สูง  ,Unsafe Action,Unsafe Condition
ใช้ Spotlight ที่อยู่ในสภาพชำรุด,Unsafe Condition,Unsafe Condition
มีผู้ปฏิบัติงานยืนอยู่ใน Line of fire ขณะที่เครนกำลังยก Bucket Concrete ไปเทยังจุดงาน,Unsafe Action,Unsafe Action
ใช้ตะขอรอกต๋งเกี่ยวชิ้นงานไม่ปลอดภัย >> นำ Eye bolt มาใส่,Unsafe Action,Unsafe Condition
Tolley Beam ชั้น 4 ไม่ได้ติดตั้ง Stopper,Unsafe Condition,Unsafe Condition
วางถุง Big Bag ที่ใส่ Insulation ทิ้งไว้ กีดขวางทางเดินข้ามจาก Furnace ไป Quench Area,Unsafe Condition,Unsafe Condition
รถเทรลเลอร์ขน Coil เบี่ยงเกือบชนเสาไฟข้างถนน,Unsafe Condition,Unsafe Condition
Modify นั่งร้านโดยไม่มี Work Permit >> ประเมิน JSA เพิ่มใน PTW HW I,Unsafe Action,Unsafe Action
"จุดทำงานประกอบ เชื่อม เจียร Line14"" ไม่มีนั่งร้าน เนื่องจากเป็นจุดที่ไม่มั่นคงแข็งแรง",Unsafe Action,Unsafe Condition
"ผู้ช่วยช่าง งานประกอบเจียร Line 3"" ชั้น 6 ไม่สวมใส่ Face Shield",Unsafe Action,Unsafe Action
Support รองรับคานปูนแตกร้าว,,Unsafe Condition
มองไม่เห็นเหล็กฉากป้องกันสาย Ground ที่วางพาดถนนมีโอกาสเสี่ยงเดินสะดุดล้มได้,Unsafe Condition,Unsafe Condition
ระบุมาตรการการตรวจวัดแก๊สไว้ทุก 4 ชั่วโมง แต่ระบุการตรวจสอบหน้างานทุก 2 ชั่วโมง,Unsafe Action,Unsafe Action
วางอุปกรณ์ช่วยยก รอกโซ่กีดขวางทางเดิน,Unsafe Condition,Unsafe Condition
ยืนติดตั้งนั่งร้านบน Line plant,,Unsafe Action
ใช้สลิงผ้าใบหักคอไก่เพื่อแขวนรอก,Unsafe Condition,Unsafe Condition
ขณะที่ FO. Routine check sheet ตามปกติได้พบแผ่นเหล็กปิดรางสายไฟฟ้าข้างอาคาร CT-S300 ตัวยึดหลุดออกจาก Support (ขอบของแผ่นเหล็กปิดรางสายไฟฟ้ามีลักษณะค่อนข้างบางและคมอีกทั้งตัวยึดแผ่นเหล็กหัวท้าย ฝั่งนึงหลุดออกจาก Support อีกด้วย) ซึ่งในปัจจุบันบริเวณดังกล่าวมีงานตั้งนั่งร้านเดินท่อเคมีบริเวณใต้จุดเกิดเหตุซึ่งมีผู้รับเหมาเข้ามาทำงานค่อนข้างมาก  ส่งผลทำให้มีความเสี่ยงที่แผ่นเหล็กจะหลุดออกจาก Support และตกลงมาโดนผู้ปฏิบัติงานด้านล่างได้รับบาดเจ็บ,Near Miss,Near Miss
ถอด Hard Barricade ด้านหน้าทางเข้า Manhole ออก,Unsafe Action,Unsafe Condition
Manifold ไม่มี Pressure gauge ,,Unsafe Condition
Safety Lead ไม่มี Sticker งาน CSE,Unsafe Action,Unsafe Action
คล้องเกี่ยว Safety Harness ในจุดที่ไม่มั่นคงแข็งแรง (ขอบ plate),Unsafe Action,Unsafe Action
วางแผ่นนั่งร้านในจุดที่มีโอกาสเสี่ยงต่อการร่วงหล่น,Unsafe Action,Unsafe Condition
วาง Pipe นั่งร้านกีดขวางทางเดิน,Unsafe Condition,Unsafe Condition
ไม่ได้ผูกมัดแผ่นนั่งร้านที่นำมาวางพาดเป็นทางเดิน,,Unsafe Condition
อุปกรณ์ช่วยยก ป.ปลาไม่มี Sticker (หาย),Unsafe Condition,Unsafe Condition
"ไม่มี Safety Lead ดูแลงาน Remove Transport Frame, เจียรแต่งประกอบ Weld Beam, Cut/ Bevel HTC2 และ เจียรแต่ง Bevel Pipe Venturi",Unsafe Action,Unsafe Action
วาง Material นั่งร้านใกล้อุปกรณ์ฉุกเฉิน,Unsafe Condition,Unsafe Condition
ใช้ไม้ลังทำเป็น Rack ป้องกันของตก,Unsafe Condition,Unsafe Condition
งาน Re-Tube TLE ชั้น6 วาง Ladder Beam สำหรับรับน้ำหนักที่ต๋งอุปกรณ์บน Grating ไม่ตรงกับคานรับน้ำหนัก>> ยกเลิกการใช้ Ladder Beam มาคล้องเกี่ยวกับ Beam แทน,Unsafe Condition,Unsafe Condition
งานหุ้ม Insulation (Seal Plastic) ไม่ได้สวมใส่หน้ากาก R95,Unsafe Action,Unsafe Action
นำผ้ากันไฟปิดปาก Manhole ที่ Steam Drum,Unsafe Action,Unsafe Condition
กองเศษ Insulation ด้านหน้า H-120R,,Unsafe Condition
"ไม่สวมใส่ Safety Harness ขณะทำงานบริเวณจุดที่เป็นช่องเปิดของงานประกอบ Line Pipe 18""",Unsafe Action,Unsafe Action
RNC สวมใส่ Safety Harness ไม่ครบ ไม่มีตัว Lock เข็มขัดช่วงอกและเอว,Unsafe Action,Unsafe Action
RNC ป ปลา ไม่มีสติ๊กเกอร์,,Unsafe Condition
RNC สวมใส่ Safety Harness ไม่ครบ,Unsafe Action,Unsafe Action
RNC ทำงานใกล้ช่องเปิด,Unsafe Action,Unsafe Action
RNC ผู้หญิงทำงานบนที่สูง > 10m,Unsafe Action,Unsafe Action
ช่องเปิดไม่ใส่ราวกันตก นั่งร้านไม่ได้แขวน Tag,Unsafe Action,Unsafe Condition
แผ่นนั่งร้านสำหรับรองยืน วางบนพื้นที่ปากหลุมที่มีสภาพดินเปียกชื้น เสี่ยง่อการทรุดตัวขณะยืนปฏิบัติงาน,Unsafe Condition,Unsafe Condition
พบมีน้ำขังและมีตะไคร่น้ำจำนวนมากและจุดนั้นเป็นจุดที่ต้องทำงานทุกวันอาจทำให้เกิดอุบัติเหตุได้,Near Miss,Near Miss
นั่งร้านไม่มี Tag และคอกกันตก,Unsafe Condition,Unsafe Condition
Texplore สติ๊กเกอร์ทำงานอับอากาศ สีชมพู มาจากไซต์ 1 (มีหลักฐานอบรมยืนยันหน้างานแล้ว),Unsafe Action,Unsafe Action
พื้นที่ทำงานบนเตา F ชั้น 4 ด้านบนพบเศษกระดาษกาว พลาสติก ขวดน้ำ ต่างๆทิ้งไว้ ไม่มีการจัดเก็บ 5 ส ประจำวัน,Unsafe Condition,Unsafe Condition
ขึ้นที่สูงไม่คล้องเกี่ยว Hook,,Unsafe Action
นั่งร้านงานหุ้ม Insulation TLE มีขยะตามจุดงาน,Unsafe Action,Unsafe Condition
Jacket Insulation ไม่ได้ทำการผูกมัด,,Unsafe Condition
Deviation Alarm บ่อยครั้งได้ทำการตรวจสอบพบว่าเปอร์เซนต์ MV DCS กับหน้างานไม่เท่ากันและได้แจ้งให้ ทาง IE เข้ามาตรวจสอบเพิ่มเติมพบว่าที่ terminal Box ของ positioner ของ TV-8611A มีน้ำเข้า,Near Miss,Near Miss
ฝา Top TLE ขันน็อตไม่แน่น ฝนขยับได้อาจกระแทกมือจนได้รับบาดเจ็บได้ แก้ไขเรียบร้อย,Unsafe Condition,Unsafe Condition
นั่งร้านหน้าเตา บันไดมีลักษณะชำรุดและปีกผีเสื้อหลวม แก้ไขเรียบร้อย,Unsafe Condition,Unsafe Condition
จุดเต้นท์พักคนงานมีวัสดุอุปกรณ์วางกีดขวางพื้นที่ และมีน้ำขัง ชื้นแฉะ เสี่ยงต่อการเดินสะดุดลื่นล้ม (ดำเนินการ 5ส พื้นที่และกำหนดจุดวางถังน้ำใหม่ เรียบร้อย),Unsafe Condition,Unsafe Condition
งานเทปาดแต่งคอนกรีด สวมถุงมือผิดประเภท (ดำเนินการเปลี่ยนถุงมือให้ถูกต้องตามลักษณะงานแล้ว),Unsafe Action,Unsafe Action
มีวัสดุกีดขวางจุดทางเข้าไปปฏิบัติงาน เป็นจำนวนมาก ไม่มีการจัดเก็บทำความสะอาด 5ส,Unsafe Condition,Unsafe Condition
งานเชื่อมไฟฟ้าแผ่นพื้น Plate ผู้ปฏิบัติงานเข้าไปนั่งอยู่ในจุดงานเชื่อมรับควันฟูม ซึ่งอาจก่อให้เกิดอันตรายทั้งดวงตาและระบบทางเดินหายใจ,Unsafe Action,Unsafe Action
งาน Swing blind ใช้ประแจผิดประเภท ,Unsafe Action,Unsafe Action
วางขวดน้ำดื่มทิ้งไว้ ไม่จัดเก็บ,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานไม่ได้สวมใส่ Safety Harness ขณะทำ 5ส. ที่หลังคาเตา,Unsafe Action,Unsafe Action
ได้กลิ่น HC บริเวณ P-760A ขณะ ทำการค้นหา Tag งาน TPM  พบเจอ leak ที่ union Pipe pot Seal  P-760A หลังจากมีการ Switch มา Run ได้ไม่นาน จึงแจ้งน้อง FO กะเช้ารับทราบเบื้องต้น ใช้ N2 Purge Dilute HC  และให้ทาง ME รีบเข้ามาแก้ไข,Near Miss,Near Miss
ใช้ขวดน้ำดื่มเป็นวัสดุป้องกันจุดแหลมคม ผูกรัดไม่แน่นหนามีโอกาสหลุดได้ ไม่ปลอดภัย >> จัดหาเศษผ้ามาใช้แทน,Unsafe Condition,Unsafe Condition
ไม่มีผ้าใบปูรองวางอุปกรณ์และไม่มีเชือกผูกมัด,,Unsafe Condition
ใช้ลวดผูกมัดสายไฟ,,Unsafe Condition
ตาข่ายในบ่อ  ไม่ได้ใช้งาน ไม่มีการจัดเก็บ,Unsafe Action,Unsafe Condition
ถังสารเคมีพื้นที่ RO ยกเลิกการใช้งานให้ตรวจเช็คความครบถ้วนของระบบ LOTO และติดป้ายบอกสถานะ,Unsafe Condition,Unsafe Condition
Blind flange ไม่มีการขันล็อคให้แน่น,,Unsafe Condition
บอร์ดงานโครงการใต้ Pipe rack ไม่ได้ใช้งาน ไม่มีการจัดเก็บ,Unsafe Condition,Unsafe Condition
Valve ของ Pump สารเคมีพันไว้ด้วยพลาสติกใส ให้เอาออก,Unsafe Action,Unsafe Condition
ใช้ PPE(ถุงมือ) ที่ชำรุด ให้ตรวจสอบทำการเปลี่ยน,Unsafe Action,Unsafe Action
รางระบายน้ำโดยรอบ มีเศษขยะ ดิน สะสมจำนวนมาก ให้ทำการ ขุดลอกทำความสะอาด,Unsafe Condition,Unsafe Condition
วัสดุที่แหลมคมในพื้นที่ เช่น ตะปูตีไม้แบบ ให้ถอนหรือตีพับ 100 %,Unsafe Condition,Unsafe Condition
คล้องเกี่ยว Hook ไม่ถูกต้อง,,Unsafe Action
ไม่ได้ปิดล้อมพื้นที่จุดที่วางฝา Exchanger,Unsafe Condition,Unsafe Condition
วางเครื่องตัดเหล็กไฟฟ้าและสายไฟไว้บนพื้นดินที่เปียกชื้น,Unsafe Action,Unsafe Action
ไม่ปิดล้อมพื้นที่,,Unsafe Condition
งาน Change Carbon ไม่สวมใส่ Mask ขณะปฏิบัติงาน,Unsafe Action,Unsafe Action
งานหุ้ม Insulation ไม่สวมใส่ Goggle และ N95,Unsafe Action,Unsafe Action
งานยกถุง Big Bag ข้ามอุปกรณ์ Plant เปิด Work เป็นความเสี่ยงต่ำ,Unsafe Action,Unsafe Action
งานยกถุง Big Bag ข้ามอุปกรณ์ Plant ไม่มี Rigger,Unsafe Action,Unsafe Action
ทำงานดูดน้ำใส่ถัง 200 ลิตรและ Clean Cover โดยไม่ได้ประเมินความเสี่ยงในเอกสาร JSA,Unsafe Action,Unsafe Action
เริ่มงานก่อนโดยที่ FV ยังไม่ได้ Sign และ Sign แทน Requestor ช่องตรวจสอบมาตรการ,Unsafe Action,Unsafe Action
ไม่ได้ปิดล้อมพื้นที่งานยกอุปกรณ์ขึ้นรถเฮี้ยบ,Unsafe Action,Unsafe Condition
ไม่มีป้ายเตือนระวังอุปกรณ์และป้ายเตือนอันตรายงานติดตั้งนั่งร้าน,Unsafe Action,Unsafe Condition
ไม่แขวน Tag แดงที่ทางขึ้นบันได,Unsafe Action,Unsafe Action
ไม่ได้หนุนล้อรถดูดน้ำ,,Unsafe Condition
ปิดล้อมพื้นที่ไม่เรียบร้อย,,Unsafe Condition
ใช้ไม้รองเครื่อง Generatorและถาดรองเครื่อง Generator ไม่ได้ใส่ Valve,Unsafe Action,Unsafe Condition
รื้อนั่งร้านกีดขวางบันไดทางขึ้น-ลง Furnace,Unsafe Action,Unsafe Condition
ขณะ control condition เป็นปกติพบว่า PI-8361 Alarm low จึงได้ทำการตรวจสอบ condition ซึ่งได้ทำการเข้าไปตรวจสอบค่า Alarm set point โดยเมื่อเข้าไปตรวจสอบ จึงพบว่าค่า Set point alarm H และ HH นั้น เกินค่า Design(41.33 kg/cm2) โดยใน DCS นั้นมีการตั้งค่า Alarm H = 100 kg/cm2 และ HH = 100 kg/cm2 ดังนั้นหากเกิด Seal pot leak อาจจะส่งผลกระทบต่ออุปกรณ์ทำให้เกิดความเสียหาย หรือเกิดเหตุระเบิดได้,Near Miss,Near Miss
แผ่นเหล็กปูข้ามรางระบายน้ำมีลักษณะโก่ง มีโอกาสสะดุดได้รับบาดเจ็บได้,Unsafe Condition,Unsafe Condition
ไม่ได้แนบเอกสาร Mark จุดที่ปฏิบัติงาน,Unsafe Action,Unsafe Action
ช่วงบ่าย Operation ไม่ได้ลงตรวจค่าเช็ค Gas (แต่มีการลงชื่อตรวจสอบสภาพหน้างาน) >> เจ้าของงานปิด Work,Unsafe Condition,Unsafe Action
งานยกอุปกรณ์ Solar cell จอดรถฝั่งถนน กีดขวางการจราจรช่องทางเดินรถของชุมชน ,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานนั่งขอบกระบะรถ Hiab,Near Miss,Unsafe Action
ขณะทำการ Load สารเคมี ไม่มีการสวมชุดป้องกันสารเคมีและ Face Shield,Unsafe Action,Unsafe Action
ใช้แผ่นไม้ ทำสะพานทางขึ้นลง,Unsafe Condition,Unsafe Condition
Inspector ที่ลงชื่อใน Tag ไม่ตรงกับคนที่ตรวจ,Unsafe Action,Unsafe Action
วางเหล็ก Barricade กีดขวางพื้นที่ปฏิบัติงาน มีโอกาสเดินสะดุด เหยียบ ลื่นหกล้มได้รับบาดเจ็บได้,Unsafe Condition,Unsafe Condition
ปลายสายท่อส่งน้ำของบ่อน้ำเสีย อาจมี Hydrocarbon ลอยขึ้นมาปนกับอากาศ >> ต่อสาย Ground ป้องกันไฟฟ้าสถิตย์,Unsafe Condition,Unsafe Condition
เครื่อง Hydro pump ไม่มี Checklist >> แจ้ง SL/SE จัดหา,Unsafe Action,Unsafe Condition
ไม่ได้จัดเก็บนั่งร้านหลังจากรื้อถอน,,Unsafe Condition
กองนั่งร้านในพื้นที่ จัดเก็บไม่เป็นระเบียบ,Unsafe Action,Unsafe Condition
Work ยกถังสารเคมีข้ามรางระบายน้ำยัง sign ไม่ครบ,Unsafe Action,Unsafe Action
ไม่จัดเก็บขวดน้ำดื่ม,,Unsafe Condition
ถังดับเพลิงวางบนรถเทปูนไม่มี Rack/ กล่องใส่,Unsafe Condition,Unsafe Condition
งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ไม่ได้ปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีน้ำเงิน,Unsafe Action,Unsafe Action
วางแผ่นนั่งร้านพาดกับบันไดลิงเพื่อยืนปฏิบัติงาน โดยไม่ได้ผูกมัด,Unsafe Condition,Unsafe Condition
นั่งร้านไม่ได้ Update Tag ประจำสัปดาห์,Unsafe Action,Unsafe Action
นุกูลเซ็นชื่อแทน ผู้ขออนุญาต (กิตตินันท์) ที่ระบุใน PTW และไม่อยู่ที่หน้างาน,Unsafe Action,Unsafe Action
"พบจุด Drain grease ด้าน Non Drive End motor PM-800B ถูกเปิดไว้ ปกติควรปิดไว้ตลอดเวลา ไม่ว่า Pump motor จะ Start, Stop เพื่อป้องกัน สิ่งสกปรกเข้าไป หรือ ไม่ให้ grease ที่เป็นสารหล่อลื่น ไหลออกมาจนหมด ซึ่งจะทำให้อุปกรณ์ ชำรุดเสียหายจนใช้งานไม่ได้",Near Miss,Near Miss
หลังจากรื้อนั่งร้านรอบนอกออก ทำให้บันไดทางขึ้นบ่อไม่มีราวจับ เสี่ยงต่อการตกจากที่สูง>> minimize คนขึ้นไปใช้พื้นที่ ต้องแจ้งเจ้าของงานให้ทราบทุกครั้งและจัดทำราวกันตกพร้อมติดป้ายเตือน,Unsafe Condition,Unsafe Condition
พื้นที่ข้างบ่อมีน้ำท่วมขัง ดินแตกร้าวร่วนซุย เสี่ยงต่อการพังถล่ม >>ปิดกั้นพื้นที่และ ติดตามให้มีการ clear ดินให้เรียบร้อย,Unsafe Condition,Unsafe Condition
งานตัด เชื่อม เจียร Fire Watch ทำงานอื่นควบคู่ไปกับการเฝ้าระวังไฟ,Unsafe Action,Unsafe Action
จุดแขวนรอกอยู่สูงและไม่มี Handrail กันตก,Unsafe Action,Unsafe Condition
นั่งร้านไม่ได้ Update Tag ประจำสัปดาห์,Unsafe Action,Unsafe Action
แผ่นนั่งร้านยื่นออกมาอยู่ในระดับศีรษะ อาจเดินชนได้ > > นำผ้ามาปิดคลุมป้องกันการกระแทก,Unsafe Condition,Unsafe Condition
งานปัดขอบเสาปูนไม่ได้ล้อมผ้าใบ อาจมีเศษปูนกระเด็นโดนคนที่เดินผ่านไปมาได้,Unsafe Condition,Unsafe Condition
เสาไฟถูกถอดออก,,Unsafe Condition
ไม่ได้สวมใส่รองเท้า Safety หัวเหล็กเข้าพื้นที่,Unsafe Action,Unsafe Action
ทำงานโดยที่ FV ยังไม่ได้ลงชื่อใน Work permit >> สอบถาม Requestor แจ้งว่าได้แจ้ง FO ไปแล้วและ OPE ได้เตรียมระบบให้เรียบร้อยจึงทำงานเลย และ FO ลืมมา sign work,Unsafe Action,Unsafe Action
"เข้ามาเติมน้ำมันเครื่อง Generator และ Air Compressor โดยไม่มีสาย Ground, รถเข็นไม่เหมาะสมกับงาน และตรวจสอบระดับน้ำมันมีแค่ 25% จึงแนะนำให้ถ่ายน้ำมันใส่แกลอน 20 ลิตร เข้ามาแทน",Unsafe Condition,Unsafe Condition
Hydraulic pump ไม่ได้ตรวจสอบ Check sheet ก่อนเริ่มงาน,Unsafe Action,Unsafe Condition
วาง Clamp นั่งร้านทิ้งไว้บนนั่งร้านมีโอกาสเสี่ยงร่วงหล่นเนื่องจากไม่มี Toe board กันตก,Unsafe Condition,Unsafe Condition
ยืนทำงานบนแผ่นนั่งร้านที่ไม่ได้ Lock,,Unsafe Condition
นั่งปฏิบัติงานนอก Platform (ไม่มีนั่งร้าน),,Unsafe Action
งานยกติดตั้ง Valve ผู้ให้สัญญาณและผูกมัดไม่สวมใส่ถุงมือและเสื้อสะท้อนแสง,Unsafe Action,Unsafe Action
นำรถเข็นที่ไม่เป็นไปตามมาตรฐานมาขนย้ายอุปกรณ์นั่งร้าน,Unsafe Condition,Unsafe Condition
ปิดล้อมพื้นที่ไม่ครอบคลุม,,Unsafe Condition
ไม่ได้เคลียร์น้ำออกจากถาดรองก่อน start generator,Unsafe Action,Unsafe Condition
Safety Lead ไม่ได้นำบัตรมา,Unsafe Action,Unsafe Action
ถุงใส่ insulation ไม่ได้ติด sticker ระบุสถานะ,Unsafe Action,Unsafe Condition
Flexible hose blower หลุด,,Unsafe Condition
วาง pipe นั่งร้านกีดขวางทางเดิน,Unsafe Condition,Unsafe Condition
ไม่ได้ตรวจสอบชื่อผู้ปฏิบัติงานในช่วงบ่าย (ก่อนเริ่มงาน),Unsafe Action,Unsafe Action
วางใบหินเจียรทิ้งไว้บนนั่งร้าน,Unsafe Action,Unsafe Condition
ยืนส่งอุปกรณ์นั่งร้านบนบันไดลิงโดยไม่มีแผ่นนั่งร้านรอง,Unsafe Action,Unsafe Action
ผู้ปฏิบัติงานสวมใส่หมวกกลับด้าน,,Unsafe Action
Safety และ Safety Lead เป็นคนเดียวกัน,,Unsafe Action
วางสายไฟบนเครื่อง Generator ขณะที่เปิดใช้งาน,,Unsafe Condition
ไม่ได้ปิดกั้นช่องเปิดบน Grating,Unsafe Action,Unsafe Condition
วาง Material นั่งร้านบน Feed wall อาจทำให้อุปกรณ์เสียหายได้,Unsafe Condition,Unsafe Condition
วางถังดับเพลิงในจุดที่ไม่พร้อมใช้งาน ติดกับเครื่อง Generator ยากต่อการหยิบใช้งานกรณีเกิดเหตุฉุกเฉิน,Unsafe Condition,Unsafe Condition
ยังไม่ได้ติดตั้ง Safety Net ,,Unsafe Condition
วางถัง LPG ใน Hazardous Area/ ด้านหน้าเตา (ซึ่งยังไม่มีการใช้งาน),Unsafe Condition,Unsafe Condition
ไม่ได้ติดตั้ง Guard ป้องกันอุปกรณ์ Emergency,Unsafe Action,Unsafe Condition
วาง Pack Argon ใน Hazardous Area/ ด้านหน้าเตา,Unsafe Condition,Unsafe Condition
ไม่มีเชือกคล้องเกี่ยวประแจที่นำมาใช้งาน,Unsafe Action,Unsafe Condition
นำผ้าใบ Blue sheet เข้ามาใช้งาน,Unsafe Action,Unsafe Condition
ไม่ได้ติดตั้ง Pressure gauge ที่ Manifold,,Unsafe Condition
เมื่อเวลา 12.10น. FO. ได้ทำการเดิน Check Log sheet ได้กลิ่น Ethylene ที่ บริเวณ P-1210D จึงเข้าไปตรวจสอบพบว่า ชุด Mach. seal P-1210D Leak ออก atm ที่บริเวณ Flange LT-1210D ซึ่งปกติหากเกิดเหตุการณ์ Mach. seal Leak Hydrocarbon ที่ Leak จะถูกส่งไปยัง Flare,HNM,HNM
เมื่อเวลา 22:00 น. ทาง FO Quench แจ้งทาง US ว่ามีกลิ่นเหม็นคล้ายน้ำมัน ที่ บริเวณ P-206B ทาง US ลงไปตรวจสอบหน้าพบ P-206B มี purge oil รั่วที่ Sight glass จึงใช้ N2 purge ไล่ เพื่อ dilute HC และเข้าจุดเกิดเหตุพร้อม full PPE พื่อทำการ Switching pump P-206B to C เพื่อทำการ isolate เพื่อตัดแยกระบบออก,Accident,Accident
ไม่ได้ใส่น็อตที่ฝา Top TLE,,Unsafe Condition
ยังไม่มีการติดตั้ง Hard Barricade ที่ ชั้น4,Unsafe Condition,Unsafe Condition
ไม่มีเอกสาร JICA,,Unsafe Action
ติดตั้งนั่งร้านไม่เป็นไปตามข้อกำหนด (ตำแหน่งข้อต่อเสาอยู่ในระนาบเดียวกัน ไม่เป็นไปตามมาตรฐานนั่งร้าน),Unsafe Action,Unsafe Condition
ไม่สวมใส่ Safety Harness ขณะทำงานบนนั่งร้าน,Unsafe Action,Unsafe Action
L1- เวลา 11:30 น. พนักงานติดตั้งนั่งร้านชั้น 6 มีการรับส่งนั่งร้านจากชั้น 7 ขณะทำงานขนย้ายได้เดินเหยียบผ้าใบที่มีคราบน้ำมันและเดินมาที่ Grating แล้วเกิดลื่นล้ม ได้รับบาดเจ็บที่หัวเข่าด้านขวา,Unsafe Condition,Accident
นั่งทำงานบนก้านแขวนฝา Top TLE ,Unsafe Action,Unsafe Action
แขวนรอกกับนั่งร้านที่ไม่ได้ออกแบบมาสำหรับรับน้ำหนักท่อ ทำให้นั่งร้านเสียรูป,Unsafe Condition,Unsafe Condition
JSA ตัวหนังสิอเล็ก อ่านไม่ออก,Unsafe Action,Unsafe Action
"KEC ไม่ได้ติ๊กชื่อ, MGB ไม่ได้ลงชื่อ JSA Talk เมื่อเข้ามาทำงานในช่วงบ่าย",Unsafe Action,Unsafe Action
เต็นท์จัดเก็บ Insulation หัก >> กั้น Barricade รอการขนย้ายออกจากพื้นที่,Unsafe Condition,Unsafe Condition
