Details,Type of finding
"ผู้ได้รับมอบหมายยังปฏิบัติไม่ถูกต้อง
1. เอกสารสำเนาที่ 1 ไม่ยอมนำไปไว้ที่ G3
2. มีการประเมิน JAS การทำงาน แต่ไม่ได้ประเมินหน้างานในข้อ 6.1
3. การนำ Work มาปิดไม่ยอมให้ พนักงานเจ้างานพื้นที่เซนต์ปิดร่วม
4. ลงข้อมูลในเอกสารไม่ครบ",HNM
ลงข้อมูลไม่ครบ,
ตรวจสอบพบ Ground Rod สถาพไม่พร้อมใช้งาน ขึ้นสนิม แท่งเหล็กเคลือบทองแดง ,Unsafe Condition
ตรวจสอบพบคู่ร่วมธุรกิจปฏิบัติงานทาสีพบไม่สวมใส่ MASK ที่ระบุไว้ใน JSA 6003 6006,Unsafe Condition
พบมีการนำเอกสารเก่ามาใช้งาน,
พบว่าไม่มีการแนบเอกสารการตรวจร่างกายเบื้องต้นก่อนทำงาน,
เจ้าของพื้น Repco ที่ยังไม่ได้เซ็นชื่อ รับรองความปลอดภัยที่หน้างาน และไม่ได้ระบุเลขwork permit แต่ได้ลงมือทำงานไปแล้ว,Near Miss
ไม่มีการปิดล้อมพื้นที่ และติดป้ายเตือน ไม่มี barricade tag,Unsafe Condition
พบว่าใน JSA ไม่มีการประเมินมาตรการในเรื่องการใช้ลมเป่าอุปกรณ์ที่หน้างาน รวมถึงไม่มีการปิดกั้นพื้นที่ทำงาน,Near Miss
ไม่มีการปิดกั้นพื้นที่ขณะปฎิบัติงาน,
พบเอกสารเป็นฟอร์มเก่า,
 WAH Certificate ยังฟอร์มเก่าที่ยังไม่อัพเดท,Unsafe Condition
ไม่มี Barricade tag ,
พบ Safety lead ใช้สายคล้องคอห้อยบัตร ซึ่งไม่ถูกต้องตามข้อกำหนด,Unsafe Condition
พบมีการลงรายละเอียดข้อมูลไม่ครบ,
ตรวจสอบเอกสารเรียบร้อย แต่ผู้ให้สัญญาณไม่สวมใส่เสื้อสะท้อนแสงตามมาตรการกำหนด,Unsafe Condition
lifting plan form not up date and no plan calculation weight before working,Unsafe Condition
ทราบว่าต้องวางแผนการคำนวณน้ำหนักแต่ไม่ปฎิบัติ,
มีการนำทินเนอร์ใส่ภาชนะที่เป้นขวดน้ำดื่มเข้ามาใช้งาน,
ผู้ขออนุญาตไม่ได้ลงชื่อรับรองความปลอดภัยก่อนเริ่มงาน,Unsafe Action
ผู้ขออนุญาตไม่ได้คำนวณ Lifting capacity rate ข้อ 2.6.3 ก่อนทำงานยก,Unsafe Action
Insulation ที่ใส่ไว้ในถุงไม่ปิดให้มิดชิด ทำให้เปียกน้ำและหลุดออกมาภายนอกได้,Unsafe Condition
ประเมิน JSA ไม่ครบ เนื่องจากมีการนำรถ Crane เข้ามาใช้งาน แต่ไม่มีการประเมินมาตรการของการใช้รถ,Unsafe Action
พบ Tag นั่งร้านภายในห้องไฟฟ้าไม่ UP Date,Unsafe Condition
พบ Stan ที่ใช้สำหรับทำงานตรงจุด Load Sea Bulk เบรคล้อสภาพไม่พร้อมใช้งาน,Unsafe Condition
พบ Tag นั่งร้านภายในห้องไฟฟ้าไม่ UP Date,Unsafe Condition
ตรวจสอบพบการใช้ Forklift ยกของใช้กำมะลอรัดสิ่งของ (ไม่ถูกต้อง) อุปกรณ์ยังไม่ได้ตรวจสอบและออกสติกเกอร์ ,Unsafe Condition
ตรวจสอบพบงานมาสี คู่ร่วมธุรกิจไม่ปฏิบัติตามมาตราการ JSA โดยไม่สวมใส่ MASK ป้องกันกลิ่นและไม่สวมใส่ถุงมือและไม่มีแว่นตาครอบแว่นสายตา,Unsafe Condition
ตรวจสอบพบ คู่ร่วมธุรกิจ TSP ขัดพื้น พบไม่สวมใส่ PPE ตามที่ Permit To Work และ JSA กำหนด MASK แว่นตา ป้องกันอันตรยจากการทำงาน,Unsafe Condition
ไม่ได้ตรวจสอบนั่งร้านประจำสัปดาห์ ( หมดตั้งแต่วันที่ 6/9/65 ),
"พบมีการใช้งานเอกสารแต่เป็นฟอร์มเก่า
       (SE-F-0213 )",
ตรวจพบบันไดที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,
พบมีการขึ้นด้านบนเพื่อแขวนสลิง แต่ไม่มีเอกสารงานที่สูงประกอบ Work,
มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ Lock ไม่ครบ ( ขาด No. 11No.12 ),
พบมีการปืดกั้นพื้นที่แต่ไม่มีป้ายชี้บ่ง,
พบอุปกรณ์ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,
มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ Lock ไม่ครบ ,
ตรวจสอบพบงานหุ้ม Insulation โดยคู่ร่วมธุรกิจกำลังยาแนวด้วย Silicone ไม่สวมใส่ MASK ป้องกันอันตรายจากสารละเหยที่เป็นกรด จาก Silicone ตรวจสอบ JSA ไม่มีระบุไว้,Unsafe Condition
ไม่มีเอกสารบันทึกผลตรวจร่างกายเบื้องตัน,
พบนั่งร้าน Mobile ปิดกั้นพื้นที่ไม่ครอบคลุม อาจทำให้เกิดอุบัติเหตุการเฉี่ยวชนจากรถที่วิ่งบริเวณนั้นได้,Near Miss
Hook ของตัว Self Retracting Lifeline จุด load tank car ถูกคล้องเกี่ยวไว้ที่ตัว Self Retracting Lifeline ข้างบน ทำให้เวลาจะใช้งานต้องมี tank car มาจอดก่อนแล้วปีนขึ้นบน tank car แล้วดึง hook มาคล้องเกี่ยวที่ safety harness ซึ่งระบบนี้ออกมาให้คล้องเกี่ยวตั้งแต่ก่อนขึ้นไปบน tank car,Near Miss
ทีอจ่ายน้ำ Eye wash ,
ไม่มีการประเมินความเสี่ยงผู้ที่ลงไปปฏิบัติงานในหลุมที่ขุด,
ขณะไป auditไม่พบ safety lead,
ปฏิบัติไม่ได้ตามมาตรฐาน เช่น ไม่มีการป้องกันดินถล่ม,
ไม่ปฏิบัติตามข้อกำหนดใน safe work cer งานขุดในข้อ15 ไม่มีการป้องกันการเคลื่อนตัวของดิน,Unsafe Action
ผู้ปฏิบัติงานที่สูง ยังไม่ได้ตรวจสภาพร่างกายก่อนขึ้นทำงานที่สูง,Near Miss
พบสวมใส่ผ้าปิดจมูกหุ้ม Insulation,
Tag ไม่มีแขวนที่หน้างาน,
ตรวจพบจำนวนคนที่ลงหน้า work permit ไม่ตรงกับจำนวนคนที่ลงใน jsa,Unsafe Condition
พบ Safety harness ที่นำมาใช้งานไม่มีสติ๊กเกอร์ผ่านการตรวจสภาพ และ สภาพไม่พร้อมใช้งาน,Near Miss
นั่งร้านไม่มี Tag แขวน,
พบผ่านไม้กระดานที่ปลูกเพื่อขึ้นทำงานไม่มีการบวกหลักด้วยเชือกหรือลวด,Unsafe Condition
พบบันไดพาดที่นำมาใช้งานไม่มีสติ๊กเกอร์ผ่านการตรวจสภาพ,Unsafe Condition
พบเอกสารงานที่สูงเป็นแบบฟอร์มเก่า,
ตรวจสอบพื้นที่ Gas&Oil พบไม่มี SDS ติดไว้ที่หน้างาน,HNM
ตรวจสอบจุดเติมน้ำมัน Forklift ไม่มีสายกราวด์ที่ได้มาตราฐาน,Unsafe Condition
พบรายละเอียดในเอกสาร JSA ในส่วนของการสวมใส่กระบังหน้ามาตรการลงรายละเอียดผิด และ ตรวจสอบมาตรการไม่ครบถ้วน,Unsafe Condition
ตรวจสอบพบนั่งร้านแบบ Mobile สภาพล้อไม่สามารถล๊อคได้ตามมาตราการจำนวน 2 ล้อ (ให้ผู้ปฏิบัติงานหยุดงานยกเลิกใช้ก่อน),Near Miss
ตรวจสอบพบนั่งร้านขาดการตรวจสอบ (Tag เขียว หมดอายุ) ,Unsafe Condition
ตรวจสอบพบผู้ปฏิบัติงานทาสี พบไม่สวมใส่ Mask R95 หรือ 6001 ตามที่ JSA กำหนด,Unsafe Condition
ตรวจสอบพบ JSA ขาดการประเมิน หัวข้อ 6.1 ตรวจสอบมาตราการหน้างาน (Safety Lead),Unsafe Condition
ตรวจพบเอกสาร JSA ในส่วนการตรวจสอบมาตรการหน้างานไม่มีการตรวจสอบ,Unsafe Action
ไม่พบเอกสารการตรวจร่างกายเบื้องต้นก่อนเริมงาน,
"ตรวจพบขวดใส่น้ำมันหล่อลื่นนำสติ๊กเกอร์ Waste label ,มาติดซึ่งไม่ถูกต้อง",Unsafe Condition
พบในเอกสาร JSA ไม่มีการขั้นตอนการใช้รถ Fork lift และ ไม่มีการผูกรัดถังก่อนทำการขนย้าย,Unsafe Condition
พบในเอกสาร JSA ข้อที่/ มีการกำหนดมาตรการ Lock LOTO และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ Work Permit ไม่มีการลงรายละเอียดนัมเบอร์ LOTO ที่ทำการ Lock,Near Miss
พบในเอกสาร JSA ไม่มีการตรวจสอบมาตรการหน้างาน,
ตรวจสอบพบ Barricade ใช้แบ Euro Tape ที่ได้ยกเลิกไป 01 มีนาคม 63 และไม่มี Tag Barricade ,Unsafe Condition
Safe Work Certificate งานยก กับการทำงานไม่ครอบคลุม อุปกรณ์ช่วยยกขาดการตรวจสอบและออกสติกเกอร์,Near Miss
พบอุปกรณ์ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,
พบอุปกรณ์ไม่ผ่านการตรวจสภาพ ,
พบว่าพนักงานผู้ขออนุญาต และเป็น safety lead ควบคุมงานด้วย จากการสอบถามพนักงานและขอดูบัตร safety lead พบว่ายังไม่มีบัตรเพราะไม่ได้ขึ้นทะเบียนsafety lead ,Near Miss
ตรวจสอบพบงาน Test Line Air Compressor ด้วย Nitrogen พบ Regulator ที่ใช้งานอยู่ยังไม่ได้ตรวจสอบและออกสติกเกอร์,Near Miss
พบจุดเก็บ Waste ข้อมูลการจัดเก็บไม่ตรงกับของที่เก็บ,Unsafe Action
ข้อมูลเอกสารไม่ถูกต้องกับสิ่งของที่เก็บ,
มีถัง200ลิตรที่เป็นสารไวไฟ ใกล้จุดปฏิบัติงาน ที่มีงานเชื่อม,Near Miss
Safety lead ไม่ปฏิบัติตามาตรการที่กำหนดใน safe work certificate งาน hot class I ยังปล่อยให้มีสารไวไฟในพื้นที่,HNM
Safety Harness ไม่ได้ตามมาตรฐาน 1.Lan yard ตะขอคล้องเกี่ยว มีแค่ 1 เส้น และตะขอไม่ได้ตามมาตรฐานต้องมี 2 เส้น และต้องเป็นตะขอใหญ่ 2.การสวมใส่ safety harness ไม่ถูกต้อง คือไม่ได้ล๊อคสายตามจุด ของBody และก็ไม่ได้คล้องเกี่ยว,Near Miss
ตรวจสอบ Work Permit พบหัวข้อ 1.3 และหัวข้อที่ 3 Safety Lead ไม่เซ็นเอกสาร (ผู้ปฏิบัติงานทำงานแล้ว),Near Miss
"ตรวจสอบ JSA พบหัวข้อ 6.1 และ หัวข้อ 5 และ 5.1,5.2 ขาดการประเมินหน้างาน",
เอกสารข้อกำหนดแบบฟอร์มความปลอดภัยทำงานบนที่สูง ยังไม่ได้ทำการบันทึกผลการประเมินแต่มีการ Sign มาตรการล่วงหน้าไว้ก่อน,Unsafe Condition
จากสัมภาษณ์จากการที่ลงชื่อรับรองในเอกสารSWC WAH ยังเข้าใจว่าลงชื่อก่อนได้แล้วถึงตรวจตามมาตรการที่กำหนดภายหลัง,Unsafe Condition
"พบเอกสาร SWC WAH ทาง SAFETY LEAD , PERMIT REQUESTOR ลงชื่อรับรองก่อนรวจสอบมาตรการ WAH",Unsafe Condition
มี 1 ด้านที่กั้นผ้ากันไฟซึ่งไม่แข็งแรงเพียงพอ ที่กันคนตกลงด้านล่างได้,Unsafe Condition
Lifting Plan ยังไม่ได้คำนวณ ข้อ 2.7 Lifting Condition,Unsafe Action
ไม่พบเอกสารการบันทึกผลการตรวจร่างกายเบื้องต้น,
พบพื้นถนนมีสภาพทรุดมากขึ้นเนื่องจากน้ำใต้ดินและ ฝนตก,
พบกระป๋องสีและกระป๋องทินเนอร์ที่หมดแล้วไม่ใส่ในภาชนะจัดเก็บ,Unsafe Condition
พบ Safety Belt สำหรับยกเปลี่ยน Battery  Fork lift ไม่ผ่านการตรวจสภาพ,Near Miss
 พบ Safety Harness บริเวณจุด Load          Sea Bulk  ไม่ผ่านการตรวจสภาพ,Unsafe Condition
ตรวจสอบพบงานทาสี Line พบไม่สวมใส่ MASK ป้องกันและตรวจสอบ JSA ไม่พบการประเมินระบุไว้ ,Near Miss
มีการทำงานบนที่สูงโดยใช้บันไดทรงเอ แต่ผู้ขออนุญาตไม่ได้แนบ WAH Certificate มากับ work permit,Unsafe Condition
วิศวกร ME ยังไม่ได้เซ็นรับรอง ,
ไม่พบเอกสาร Work at Height,
พบถังน้ำมันใช้งานแล้วไม่ได้วางอยูาใน Ban และ เกินกำหนดเวลาในการส่งกำจัดที่ระบุไว้ที่ถัง,Near Miss
พบอุปกรณ์ช่วยยกยังไมีมี Tag ผ่านการตรวจสภาพ ( Tag ยังเป็นของเดือนกันยายน ) ซึ่งเคยมีการแนะนำไปแล้ว แต่ยังไม่มีการแก้ไข,Near Miss
พบอุปกรณ์ป้องกันการตกยังไมีมี Tag ผ่านการตรวจสภาพ ( Tag ยังเป็นของเดือนกันยายน ),Near Miss
ไม่เกี่ยวข้อง,
ตรวจพบชิ้นส่วนของอุปกรณ์ป้องกันการตกมีสภาพไม่พร้อมใช้งาน (เป็นสนิม ) ,Unsafe Condition
พบอุปกรณ์ช่วยยกไม่ผ่านการตรวจสภาพ และ สภาพไม่พร้อมใช้งาน,Near Miss
พบมีการนำน้ำยา WD-40 มาใช้ที่หน้างานแต่ไม่มีการประเมินอันตรายและการป้องกันในเอกสาร JSA,
พบทีมงานนำรอกมาเกี่ยวไว้กับช่องของท่อ Pipe นั่งร้านเพื่อยกอุปกรณ์ขึ้นประกอบ ซึ่งไม่ตรงตามขั้นตอนวิธีการทำงานที่กำหนดใน JSA,Near Miss
อุปกรณ์ช่วยยก (สลิงผ้า) ยังไม่ผ่านการตรวจสภาพ,
ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการจหัวข้อ 6.1 โดย Safety Lead ,
ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการจหัวข้อ 6.1 โดย Safety Lead ,
พบมีการนำน้ำยา WD-40 มาใช้ที่หน้างานและไม่มีการจัดเก็บโดยวางทิ้งไว้บริเวณหน้างานตัด-เจียร,Unsafe Condition
WAH Certificate มีการใช้แต่ระบุข้อมูลไม่ครบ ผู้ขออนุญาติ safety lead แจ้งว่าลืม,Unsafe Condition
ตรวจสอบ tag นั่งร้านหมดอายุ,
