FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
690,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,Welding Cutting Add Valve,Welding Cutting Add Valve,8,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ mask ที่ป้องกันอันตรายจาก โฟม งานเชื่อม,check welding work It was found that assemblers do not wear masks that protect against danger from welding foam.
690,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ MASK ที่ป้องกันอันตรายจาก ฟูม งานเชื่อม,"Welding Cutting M-301,M-302","Welding Cutting M-301,M-302",8,ตรวจสอบพบงานเชื่อม พบช่างประกอบไม่สวมใส่ mask ที่ป้องกันอันตรายจาก โฟม งานเชื่อม,check welding work It was found that assemblers do not wear masks that protect against danger from welding foam.
691,Store Site1,-,-,Unsafe Condition,Others,งานเปลี่ยนหลอดไฟยังไม่มีการทำ  loto ที่เป็นแบบ simple lock,รื้อฝ้า หลอดไฟเปลี่ยนใหม่,"Remove the ceiling, replace the new light bulb.",1,งานเปลี่ยนหลอดไฟยังไม่มีทำ loto ที่เป็นแบบ simple lock,There is no work to change the lamp. There is no loto that is a simple lock.
693,Store Site1,-,-,Unsafe Condition,Others,บันไดยังไม่ได้ตรวจสภาพ,รื้อฝ้า หลอดไฟเปลี่ยนใหม่,"Remove the ceiling, replace the new light bulb.",1,สภาพยังไม่ได้ตรวจสภาพ,The condition has not yet been checked.
696,PP1,-,-,Unsafe Condition,Others,ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการก่อนเริ่มทำงาน,Chemical Cleaning E-204 A/B,Chemical Cleaning E-204 A/B,23,ตรวจสอบ jsa พบขาดตราตรวจสอบมาตรายก่อนเริ่มทำงาน,Check jsa found missing checkmark clause before starting.
697,PP1,-,-,Unsafe Condition,Others,เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,Chemical Cleaning E-204 A/B,Chemical Cleaning E-204 A/B,2,เครื่อง air compressor พบสายลมมีใช้ safety sling มีการการรัดสายที่ไม่ถูก วิธีมีการัดสายที่ระยะการการสะบัดหลุดอันตราย,The air compressor finds that the wind has used a safety sling. How to have a strap at a dangerous flick distance
697,PP1,-,-,Unsafe Condition,Others,เครื่อง Air Com พบสายลมมีการใช้ Safety Sling มีการรัดสายที่ไม่ถูกวิธี มีการัดสายที่ระยะการสะบัดหลุดอันตราย,Chemical Cleaning E-204 A/B,Chemical Cleaning E-204 A/B,2,เครื่อง air compressor พบสายลมมีใช้ safety sling มีการการรัดสายที่ไม่ถูก วิธีมีการัดสายที่ระยะการการสะบัดหลุดอันตราย,The air compressor finds that the wind has used a safety sling. How to have a strap at a dangerous flick distance
699,HDPE4,-,-,Unsafe Condition,-,มีคนงานที่ไม่ได้ตรวจวัดความดัน ลงไปทำงานในพื้นที่อับอากาศ ในขญะที่ผู้เกี่ยวข้องกำลังตรวจความถูกต้องของเอกสารแนบ,งานตรวจสอบสายไฟใต้ดิน,underground cable inspection,1,มีคนงานที่ไม่ได้ตรวจวัดความดัน ลงไปทำงานในพื้นที่อับอากาศ ในขยะที่ผู้เกี่ยวข้องกำลังตรวจความถูกต้องของเอกสารแนบ,There are workers who do not check their blood pressure. Get down to work in confined spaces. In the garbage where the relevant person is checking the authenticity of the attachment
702,HDPE3,-,-,Unsafe Condition,Electrical & Grounding,ตรวจพบเบรคของรถสำหรับขนย้ายอุปกรณ์นั่งร้านสภาาพไม่พร้อมใช้งาน ( เวลาจะ Lock ต้องใช้นิ้วกดใต้คันโยกถึงจะ Lock ) อาจทำให้เกิดอันตราย,งานติดตั้ง-รื้อถอนนั่งร้าน,Installation - demolition of scaffolding,1,ตรวจพบเบอร์ของรถสำหรับขนย้ายอุปกรณ์นั่งร้านสภาพไม่พร้อมใช้งาน เวลาจะlock ต้อง ใช้นิ้วกดใต้ควันโยกจะถึงlock อาจทำให้เกิดอันตราย,"Detected the number of the car for transporting the scaffolding equipment, the condition is not ready to use, when locking, must use your finger to press under the rocking smoke to lock. may cause harm"
704,Pilot plant complex,-,-,Unsafe Condition,-,"ผู้ปฏิบัติงานยืนทาสีบนโครงสร้างเหล็กเส้นที่ไม่มั่นคง แข็งแรง มีโอกาสพลัดตก เนื่องจากจุดยืนไม่ใช่อุปกรณ์ สำหรับนำมาใช้ในการทำงานบนที่สูงตามมาตรฐาน SE-O-0025 Rev.005_มาตรฐานความปลอดภัยในการปฏิบัติงานบนที่สูง (Working at Height) ",ทาสี,painted,4,ผู้ปฏิบัติงานยืนทาสีบนโครงสร้างเหล็กเส้นที่ไม่มั่นคง แข็งแรง โอกาสพลัดตก เนื่องจากจุดยืนไม่ใช่อุปกรณ์ สำหรับนำมาใช้ในการทำงานบนที่สูงตามมาตรฐาน revamp. _มาตรฐานความปลอดภัยในheightปฏิบัติงานบนที่สูง workinject stat height,The worker stands to paint on a rebar structure that is unstable and strong. There is a chance of falling because the stand is not a device. For use in working at height according to the standard revamp._Safety standards in height workinject stat height
705,Blownfilm,-,-,Unsafe Condition,-,พบเอกสาร JSA ไม่มีการลงข้อมูลในส่วนของการตรวจสอบมาตรการหน้างาน,งานติดตั้งนั่งร้าน,scaffolding installation work,65,พบเอกสาร jsa ไม่มีลงข้อมูลส่วนในของตรวจสอบมาตรการหน้างาน,Found a jsa document that doesn't have the inside information of checking measures on the job site.
706,Blownfilm,-,-,Unsafe Condition,-,พบอุปกรณ์ป้องกันการตกที่นำมาใช้งานไม่มีสติ๊กเกอร์ผ่านการตรวจสภาพ,งานติดตั้งนั่งร้าน,scaffolding installation work,2,พบอุปกรณ์ป้องกันตกที่นำมาใช้งานไม่มีสติ๊กเกอร์ผ่านผ่านการการตรวจสภาพ,Found that the fall protection equipment used does not have a sticker that has passed the inspection.
707,PP3,-,-,Unsafe Condition,Housekeeping,"มีการทำงานกับสารเคมีซึ่งมีอันตรายต่อระบบทางเดินหายใจ แต่ไม่ระบุPPE ป้องกันทางเดินกายใจ , ผู้ขออนุญาตและsafety lead ยังไม่เซ็นชื่อรับรองความปลอดภัยที่หน้างาน ",ติดตั้งท่อสารเคมี Nalco,Nalco Chemical Pipe Installed,11,"มีการทำงาน , สารเคมีซึ่งมีอันตรายต่อระบบทางเดินหายใจ แต่ไม่ระบุppe ป้องกันทางเดินกายใจ , ผู้ขออนุญาต , safety lead ยังไม่เซ็นชื่อรับรองความปลอดภัยที่หน้างาน","There are work, chemicals which are harmful to the respiratory system. but do not specify ppe Physical and mental protection, applicants for permission, safety leads have not yet signed to certify safety at the site."
708,PP3,-,-,Unsafe Condition,Housekeeping,"มีสารเคมีที่อันตรายต่อระบบทางเดินหายใจที่ใช้ในการทำงาน แต่JSA ไม่มีการประเมินความเสี่ยง การทำงานกับสารเคมีที่มีอันตรายต่อระบบทางเดินหายใจ ",ติดตั้งท่อสารเคมี Nalco,Nalco Chemical Pipe Installed,22,"มีสารเคมีที่อันตรายต่อระบบทางเดินหายใจที่ใช้ในการทำงาน แต่jsa ไม่มีการประเมินความเสี่ยง การทำงาน , สารเคมีที่มีอันตรายต่อระบบทางเดินหายใจ","Respiratory hazard chemicals are used in the workplace, but the jsa does not carry out a risk assessment."
709,Warehouse Site10,-,-,Unsafe Condition,PTW & JSA,ตรวจสอบการตรวจเช็คผู้ปฎิบัติงานในช่วงบ่าย ยังมีการตรวจสอบไม่ครบถ้วน,ติดตั้งHand rail ทาสี ฉาบปูน,"Install hand rail, paint, plaster",3,ตรวจสอบตรวจเช็คผู้ปฏิบัติงานในช่วงบ่าย ยังมีการการตรวจสอบไม่ครบถ้วน,Check out the operators in the afternoon. There are still incomplete inspections.
711,Blownfilm,-,-,Unsafe Condition,-,พบเอกสาร WAH เป็นเอกสารเก่า,งานติดตั้งนั่งร้าน,scaffolding installation work,3,พบเอกสาร wah เป็นเอกสารเก่า,"Found the wah document, it's an old document."
714,HDPE4,-,-,Unsafe Condition,-,safety lead ลืมเซ็นชื่อรับรองความปลอดภัยหน้างาน,Inspect Steam trap,Inspect Steam trap,11,safety lead ลืมเซ็นชื่อรับรองความปลอดภัยหน้างาน,safety lead forgot to sign a safety certificate at the front of the event
715,PP1,-,-,Unsafe Condition,Process & Operation,ตรวจสอบพบการทำงานยาแนง Silicone พบคู่ร่วมธุรกิจไม่สวมใส่ MASK (R-95) เพราะ Silicone อันตรายเพราะเป็นกรด และไม่สวมใส่แว่นตา ขณะปฏิบัติงาน,Install Insulation D-911,Install Insulation D-911,4,"ตรวจสอบพบการทำงานย้ายแหน่ง silicone พบคู่ร่วมธุรกิจไม่สวมใส่ mask เพราะ silicone อันตรายเพราะเป็นกรด , ไม่สวมใส่แว่นตา ขณะปฏิบัติงาน","Examine found working to relocate silicone. Found business partners not wearing masks because silicone is dangerous because it is acidic, not wearing glasses. while working"
716,Warehouse Site 3,-,-,Unsafe Condition,Installation/ Alignment,พบมีการกำหนด Simple Lock ที่ Work Permit แต่ไม่มีการลงรายละเอียด,งานถอด Roller Crane 25 T,Dismantling Roller Crane 25 T,18,พบมีwork permitกำหนด simple lock ที่ work permit แต่ไม่มีลงรายละเอียด,"Found that there was a work permit stipulating simple lock at the work permit, but no details were given."
717,Warehouse Site 3,-,-,Unsafe Condition,Installation/ Alignment,"พบในเอกสาร JSA ที่แนบมาไม่มีขั้นตนการปฎิบัติงานด็วยรถ X-Lift ",งานถอด Roller Crane 25 T,Dismantling Roller Crane 25 T,1,พบในเอกสาร jsa ที่แนบมาไม่มีขั้นตนด็วยรถปฏิบัติงานด้วย x lift,Found in the attached jsa docs there is no self step with the operator vehicle with x lift .
721,Warehouse Site 3,-,-,Unsafe Condition,Installation/ Alignment,ไม่พบการ Lock กุญแจ,งานถอด Roller Crane 25 T,Dismantling Roller Crane 25 T,1,ไม่พบ lock กุญแจ,lock key not found
722,Warehouse Site 3,-,-,Unsafe Condition,Installation/ Alignment,พบการลงรายละเอียดในเอกสารไม่ถูกต้อง,งานถอด Roller Crane 25 T,Dismantling Roller Crane 25 T,2,พบลงรายละเอียดในเอกสารไม่ถูกต้อง,Found that the details in the document are incorrect.
726,PP1,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบนั่งร้าน TAG นั่งร้านหมดอายุ ยังไม่ได้ Update 07-14/05/65,Remove Scaffolding C-1300 D/E,Remove Scaffolding C-1300 D/E,65,ตรวจสอบพบนั่งร้าน tag นั่งร้านหมดอายุ ยังไม่ได้ update,Check scaffolding found scaffolding tags expired and have not been updated.
727,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน Grinder 4 นิ้ว ไม่ใส่ Handle (ตามรูปแนบ),"Welding Cutting M-301,M-302","Welding Cutting M-301,M-302",3,"ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน under นิ้ว ไม่ใส่ , let ตามรูปแนบ","Check found a grinding job, found a business partner, using under finger, not wearing, let as in the attached picture."
732,Catalyst&Pilot plant,-,-,Unsafe Condition,Process & Operation,ตรวจสอบพบ JSA หัวข้อที่ 5 ขาดประเมินการทำงาน และหัวข้อที่ 6 Safety Lead ขาดการตรวจสอบและเซ็นเอกสาร,Remove Insulation T-2741,Remove Insulation T-2741,19,"ตรวจสอบพบ jsa หัวข้อที่ ขาดประเมินการทำงาน , หัวข้อที่ safety lead ขาดตรวจสอบ , เซ็นเอกสาร","Check found jsa topics that lack work evaluation, topics that safety lead lacks verification, sign documents"
733,Catalyst&Pilot plant,-,-,Unsafe Condition,Work at height,"ตรวจสอบ Work Permit หัวข้อที่ 4 ขาดการตรวจสอบตามเวลาและลงข้อมูล ตามหัวข้อที่ 2 ตรวจสอบ LEL ทุก 2 ชั่วโมง 
และตรวจสอบหน้างานทุกๆ 2 ชั่วโมง ขาดการตรวจสอบ",Welding Cutting Structure,Welding Cutting Structure,24,"ตรวจสอบ work permit หัวข้อที่ ขาดตรวจสอบตามเวลา , ลงข้อมูล ตามหัวข้อที่ ตรวจสอบ level ทุก , ตรวจสอบหน้างานทุก ๆ ขาดตรวจสอบ","Check the work permit topics that are lacking, check by time, post information according to the topics checked every level, check every work site for lack of inspection."
736,Warehouse Site10,-,-,Unsafe Condition,Housekeeping,"เอกสารแบบฟอร์มรับรองการปฏิบัติตามข้อกำหนดการป้องกันการตกจากที่สูง ไม่อัพเดท ",งานซ่อมหลังคา WH10,Roof repair work WH10,1,เอกสารแบบแอร์รับรองการปฏิบัติตามข้อกำหนดการป้องกันอัพเดทตกจากที่สูง ไม่อัด,Air-conditioned documents ensure compliance with fall protection requirements.
739,HDPE4,-,-,Unsafe Condition,-,ไม่มีการใช้หินเจียร์ที่หน้างาน แต่safety lead ตรวจสอบมาตรการว่ามีการใช้,ติดตั้งวาล์วน้ำ,install water valve,1,ไม่มีใช้หินเจียร์ที่หน้างาน แต่safety lead ตรวจสอบมาตรการว่ามีการการใช้,"Grinding stones are not used on site, but safety lead checks that measures have been used."
742,PP1,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบชุด ARGON บนรถพบการใช้งานอยู่ตรวจสอบพบไม่มีอุปกรณ์เสริมเช่น น้ำยา Test Leak , ประแจเบอร์ , เทปพันเกลียว ",Welding Cutting Modify Line,Welding Cutting Modify Line,1,"ตรวจสอบพบชุด argon บนรถพบการใช้งานอยู่ตรวจสอบพบไม่มีอุปกรณ์เสริมเช่น น้ำยา test leak , ประแจเบอร์ , เทปูนพันเกลียว","The argon set on the car was found to be in use. There were no accessories such as test leak solution, number wrenches, threaded plaster."
743,PP1,-,-,Unsafe Condition,PPE,"ตรวจสอบพบ Safe Work Certificate SE-F-0286_Rev.002 พบขาดการตรวจสอบเอกสาร ",Install Scaffolding and Insulation ทาสี,Install Scaffolding and Insulation Painting,53,ตรวจสอบพบ safe work certificate _revamp.พบขาดตรวจสอบเอกสาร,found safe work certificate _revamp.Failed to verify the document.
744,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบงานทาสีพบคู่ร่วมธุรกิจกำลังทาสีการ์ดเครื่องจักร M-301 พบไม่สวมใส่ Mask ที่ถูกต้องมีระบุใน JSA แต่ไม่ปฏิบัติตาม,Install Scaffolding and Insulation ทาสี,Install Scaffolding and Insulation Painting,12,ตรวจสอบงานทาสีพบคู่ร่วมธุรกิจกำลังทาสีการ์ดเครื่องจักร พบไม่สวมใส่ mask ที่ถูกต้องมีระบุใน jsa แต่ไม่ปฏิบัติตาม,Examine the painting job. Found a business partner painting a machine card. Found not wearing the correct mask specified in jsa but did not comply.
745,Catalyst&Pilot plant,-,-,Unsafe Condition,-,พบการปฏิบัติงานโดยใช้เครื่องตัดพื้นปูนพบไม่ล้อมพื้นที่ป้องกันและไม่สวมใส่อุปกรณ์ป้องกันการได้ยิน Ear Muff โดยมีระบุใน JSA แต่ไม่ปฏิบัติตาม,"ตัดปูน เจีร์ยปูน ","cut cement, grind cement",1,"พบปฏิบัติงานโดยใช้เครื่องตัดพื้นปูนพบไม่ล้อมพื้นที่ป้องกัน , ไม่สวมใส่อุปกรณ์ป้องกันmuffได้โยน gear muffler โดยมีระบุใน jsa แต่ไม่ปฏิบัติตาม","Found working with masonry cutter, not surrounded by protected area, not wearing protective gear muff thrown gear muffler as specified in jsa but not complied"
746,Catalyst&Pilot plant,-,-,Unsafe Condition,Work at height,ตรวจสอบพบ Grinder 7 นิ้ว พบสภาพอุปกรณ์ไม่พร้อมใช้งานโดยมีลวดเชื่อมมาขัดกับการ์ดเพื่อขัดให้แน่น อันตราย,Welding Cutting Structure,Welding Cutting Structure,1,"ตรวจสอบพบ under นิ้ว พบสภาพอุปกรณ์ไม่พร้อมใช้งานโดยมีลวดเชื่อมมาขัด , การ์ด , ขัดให้แน่น อันตราย","Check found under inches, found that the equipment condition is not ready to be used, with welding wire to scrub, guards, scrub tightly, dangerous."
748,HDPE2,-,-,Unsafe Condition,Pressure test,"ประเมิน JSA ไม่ครอบคลุม
 ( เนื่่องจากมีการนำรถเข็นมาใช้งาน )",งาน Site Survey Safety Valve,Site Survey Safety Valve,2,"ประเมิน jsa ไม่ครอบคลุม , เน้นมีจากการนำรถเข็นมาใช้งาน","Evaluate jsa not comprehensively, focusing on cart implementation"
749,HDPE2,-,-,Unsafe Condition,Pressure test,รถเข็นที่นำมาใช้งานล้อยางสภาพไม่พร้อมใช้งาน,งาน Site Survey Safety Valve,Site Survey Safety Valve,1,รถเข็นที่นำมาใช้งานล้อยางสภาพไม่พร้อมใช้งาน,Wheelchairs that are used to use rubber wheels are not ready to use.
751,HDPE3,-,-,Unsafe Condition,PPE,ลงข้อมูลไม่ครบ (ไม่มีงานที่สูง ),งานขนเศษเหล็ก ( PE-WAX ),Scrap metal work ( PE-WAX ),1,ลงข้อมูลไม่ครบ ไม่มีงานที่สูง,incomplete data entry no high job
753,HDPE3,-,-,Unsafe Condition,PPE,พบแผ่นรองขาช้างไม่ได้มาตรฐาน,งานขนเศษเหล็ก ( PE-WAX ),Scrap metal work ( PE-WAX ),1,พบแผ่นรองข้างชะล้างไม่ได้มาตรฐาน,Found that the washable pads are not up to standard.
754,HDPE3,-,-,Unsafe Condition,PPE,ไม่มีแนบเอกสารงานที่สูง,งานขนเศษเหล็ก ( PE-WAX ),Scrap metal work ( PE-WAX ),1,ไม่มีแนบเอกสารงานที่สูง,There is no attachment to documents that are high
755,PP3,-,-,Unsafe Condition,SL Performance,ผู้ขออนุญาต ยังไม่เข้าใจถึงหัวข้อที่เลือกCertificate เกี่ยวกับเอกสารแนบwork permit  จึงเพิ่มลักษณะงานที่ทำลงในหัวข้อนี้,Install conduit,Install conduit,8,"ผู้ขออนุญาต ยังไม่เข้าใจถึงหัวข้อที่เหลือcertificate เกี่ยว , เอกสารแนบwork permit จึงเพิ่มลักษณะงานที่ทำลงในหัวข้อนี้","The applicant still does not understand the rest of the topics about certificates, work permit attachments, therefore adding the nature of work done to this topic."
755,PP3,-,-,Unsafe Condition,SL Performance,ผู้ขออนุญาต ยังไม่เข้าใจถึงหัวข้อที่เลือกCertificate เกี่ยวกับเอกสารแนบwork permit  จึงเพิ่มลักษณะงานที่ทำลงในหัวข้อนี้,เจาะติดตั้งSupport งานที่สูง,Drilling to install support for high work,8,"ผู้ขออนุญาต ยังไม่เข้าใจถึงหัวข้อที่เหลือcertificate เกี่ยว , เอกสารแนบwork permit จึงเพิ่มลักษณะงานที่ทำลงในหัวข้อนี้","The applicant still does not understand the rest of the topics about certificates, work permit attachments, therefore adding the nature of work done to this topic."
757,HDPE2,-,-,Unsafe Condition,Pressure test,ตรวจสอบเอกสารพบเอกสารใบเซอร์ของผู้ให้สัญญาณและผู้ผูกยึดหมดอายุ,งานยกติดตั้ง Pump API ( P-5931 B),Lifting and installing Pump API ( P-5931 B),1,"ตรวจสอบเอกสารพบเอกสารใบเบอร์ของผู้ให้สัญญาณ , ผู้ผูกยึดหมดอายุ","Check the document, find the number document of the signal provider, the binder has expired."
760,Catalyst&Pilot plant,-,-,Unsafe Condition,PTW & JSA,ตรวจสอบพบคู่ร่วมธุรกิจขึ้นทำงานบนที่สูงโดยออกจากนั่งร้านและทำงานบน Line Pipe อันตรายอาจจะพลาดตกจากที่สูง,"ทาสี ติดตั้ง Support ",Paint Install Support,19,"ตรวจสอบพบคู่ร่วมธุรกิจขึ้นทำงานบนที่สูงโดยออกจากนั่งร้าน , ทำงานบน line pipe อันตรายอาจจะลาตกที่สูงจาก","Found a business partner to work at a height by leaving the scaffolding, working on a line pipe. The danger may fall from high places."
765,Pilot plant complex,-,-,Unsafe Condition,Water jet,ตรวจสอบ มีเอกสาร ตรวจสุขภาพ ผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน และผลตรวจวัดอยู่ในค่ามาตรฐาน แต่ยังเป็น ของ เดิมที่ยังเป็น REV.5,ตัด เจียร์ เชื่อม  pipe support,"Cut, grind, weld pipe support",3,"ตรวจสอบ มีเอกสาร ตรวจสุดภาพผู้ปฏิบัติงาน เบื้องต้นก่อนเริ่มทำงาน , ผลตรวจวัดอยู่ในค่ามาตรฐาน แต่ยังเป็น ของ เดิมที่ยังเป็น revamp.5","Check, there are documents, check the picture of the operator. Initially, before starting work, the measurement results are in the standard values, but they are still the original ones that are still revamp.5"
768,Store Site3,-,-,Unsafe Condition,SL Performance,ตรวจสอบ work permit พบว่ามีแต่ข้อมูลของงานแก้ไขหลังคาของคู่ธุรกิจเจ้นจันทร์ แต่ไม่มีรายละเอียดของคู่ธุรกิจบริษัทแม็กซิโม่ที่มารือนั่งร้าน,งานรื้อนั่งร้าน Office ลาน Waste และ งานแก้ไขหลังคา,"Demolition of Scaffolding, Office, Waste Yard and Roof Fixing",1,ตรวจสอบ work permit พบว่ามีแต่ข้อมูลของงานแก้ไขหลังคาของคู่ธุรกิจเส้นจั่นไม่มีรายละเอียด แต่คู่ธุรกิจบริษัทของแม็กซีดที่มารื้อนั่งร้าน,"Checking the work permit, it was found that there was only information about the work on fixing the roof of the business partner in line with no details. But Max Seed's business partner who came to tear down the scaffolding"
774,Catalyst&Pilot plant,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ JSA พบมีการทำงานยาแนว Silicone พบมีการลงข้อมูลตรวจสอบ (ไม่เกี่ยวข้อง) แต่มีการปฏิบัติงาน,Install Insulation หุ้มฉนวน,Install Insulation,1,ตรวจสอบ jsa พบมีการทำงานย้ายแนว silicone พบมี ลงข้อมูลตรวจสอบ ไม่เกี่ยวข้องมีแต่ปฏิบัติงาน,"Check jsa, find it working, move silicone, find it, check data. Not related, only working"
783,HDPE3,-,-,Unsafe Condition,SL Performance,ตรวจพบมีการสวมใส่อุปกรณ์กันตกแต่ไม่คล้องเกี่ยว,งานหุ้ม Insulation,Insulation work,1,ตรวจพบมีสวมใส่อุปกรณ์กันตกแต่ไม่คล้องเกี่ยว,Detects wearing fall protection equipment but not involved
785,PP3,-,-,Unsafe Condition,-,ไม่มีการปิดล้อมพื้นที่ ไม่มี barricade tag,Install scaffolding,Install scaffolding,18,ไม่มีปิดล้อมพื้นที่ ไม่มี barricade tag,"No enclosed area, no barricade tag"
785,PP3,-,-,Unsafe Condition,-,ไม่มีการปิดล้อมพื้นที่ ไม่มี barricade tag,Install scaffolding,Install scaffolding,18,ไม่มีปิดล้อมพื้นที่ ไม่มี barricade tag,"No enclosed area, no barricade tag"
786,HDPE3,-,-,Unsafe Condition,Electrical & Grounding,รถ JCB ของ บ. ศรีนิธิรินทร์ ที่เข้ามาปรับดิน สายโอริงน้ำมันไฮดรอลิครั่วไหลลงพื้น,งานปับแนวดินทำ Slop,Slope leveling work,1,รถ ckb ของ ศรีนิธิ. ริมเต็นท์ที่ เข้ามาปรับดินสาย โอริมน้ำมันไฮดรอลิกลิตรรั่วไหลลงพื้น,"Srinithi's ckb car, near the tent that came in to adjust the ground line A liter of hydraulic oil leaked onto the ground."
787,HDPE2,-,-,Unsafe Condition,SL Performance,พบปลั๊กไฟพ่วงที่นำมาใช้งานไม่มีสติผีกเกอร์ผ่านการตรวจสภาพ,งานรื้อนั่งร้านใน Silo TK-3451 A,Dismantling Scaffolding in Silo TK-3451 A,1,พบปลั๊กไฟห่วงที่นำมาใช้งานไม่มีสติ๊กเกอร์ตรวจสภาพ,It was found that the loop plug that was used did not have an inspection sticker.
790,HDPE2,-,-,Unsafe Condition,Housekeeping,ไม่สวมใส่เสื้อสะท้อนแสงตามตำแหน่งหน้าที่ๆกำหนด,งานขนย้ายอุปกรณ์นั่งร้าน,Scaffolding equipment moving work,1,ไม่สวมใส่เสื้อสะท้อนแสงตามตำแหน่งหน้าที่กำหนด,Do not wear reflective vests according to the assigned duty position.
791,HDPE1,-,-,Unsafe Condition,Water jet,ตรวจสอบพบ safe Work Certificate  SE-F-0337Rev.000 รับรองการตรวจสอบหน้างาน ของ Safety Lead ไม่เซ็นเอกสารการรับรอง,Water Jet E-224,Water Jet E-224,44,ตรวจสอบพบ safe work certificate .รับรองเซ็นตรวจสอบหน้างานsafety ของ lead ไม่ เอกสารรับรอง,check found safe work certificate
793,HDPE2,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบเอกสารใบขออนุญาต( Work Permit ) ไม่มีลงข้อมูลการ Lock Lo/To ซึ่งไม่สอดคล้องกับ JSA ที่ประเมินมา,งาน Insulation Test Motor & Cable,Insulation Test Motor & Cable,68,"ตรวจสอบเอกสารใบขออนุญาต work permit ไม่มีลงข้อมูลlo lock low , to ซึ่งไม่สอดคล้อง , jsa ที่ประเมินมา","Check the work permit application documents do not have data lo lock low , to which is inconsistent, the evaluated jsa"
793,HDPE2,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบเอกสารใบขออนุญาต( Work Permit ) ไม่มีลงข้อมูลการ Lock Lo/To ซึ่งไม่สอดคล้องกับ JSA ที่ประเมินมา,งาน Clean D/C,Clean D/C work,68,"ตรวจสอบเอกสารใบขออนุญาต work permit ไม่มีลงข้อมูลlo lock low , to ซึ่งไม่สอดคล้อง , jsa ที่ประเมินมา","Check the work permit application documents do not have data lo lock low , to which is inconsistent, the evaluated jsa"
797,HDPE1,-,-,Unsafe Condition,Water jet,ตรวจสอบเอกสาร Work Permit เซ็นเอกสารมาตราการไม่ครบตามเวลา ทุกๆ 4 ชั่วโมง,"Water Jet Exchanger E-811,E-812","Water Jet Exchanger E-811,E-812",16,ตรวจสอบเอกสาร work permit เซ็นเอกสารมาตราย ไม่ครบตามเวลา ทุก ๆ,"Check the work permit document, sign the document section not complete on time every"
797,HDPE1,-,-,Unsafe Condition,Water jet,ตรวจสอบเอกสาร Work Permit เซ็นเอกสารมาตราการไม่ครบตามเวลา ทุกๆ 4 ชั่วโมง,ถอดประกอบ Water Jet Exchanger E-722,Disassemble Water Jet Exchanger E-722,16,ตรวจสอบเอกสาร work permit เซ็นเอกสารมาตราย ไม่ครบตามเวลา ทุก ๆ,"Check the work permit document, sign the document section not complete on time every"
798,HDPE1,-,-,Unsafe Condition,Insulation,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0337Rev.000 หัวข้อ 13 กรณี Jet แบบแส้ หรือ Tube ต้องมีการจัดทำ Warning tape พบมีการทำถูกต้องแต่ลงเอกสารว่าไม่เกี่ยวข้อง,"Water Jet Loop HAXANE E-721,E-722","Water Jet Loop HAXANE E-721,E-722",9,ตรวจสอบเอกสาร safe work certificate .หัวข้อ กรณ์jet แบบ แสtube หรือ ต้อง มีwarningจัดทำwearing tape พบ มีทำถูกต้องเอกสารแต่ลงว่าไม่เกี่ยวข้อง,"Examine the safe work certificate document. Topic: Korn jet, stub type, or must have a warning set up wearing tape found. There is a correct document, but it says irrelevant."
799,HDPE1,-,-,Unsafe Condition,-,ตรวจสอบเอกสาร JSA พบมีการเขียนรายละเอียดการทำงานการสวมใส่ Mask N95 และ Face Shield ขณะปฏิบัติงานขัด พบไม่ได้สวมใส่ขณะปฏิบัติงาน,"Water Jet Exchanger ",Water Jet Exchanger,7,"ตรวจสอบเอกสาร jsa พบมี เขียนรายละเอียดการทำงานสวมใส่mask , face shield ขณะปฏิบัติงานขัด พบไม่ได้สวมใส่ขณะปฏิบัติงาน","Examine the jsa document. Found that there is. Write work details. Wear a mask, face shield while working on scrubbing. found not worn while working"
