words,spell,correct,frequency
ยืด,['ยืด'],ยืด,2
ยืน,['ยืน'],ยืน,49
ยื่น,['ยื่น'],ยื่น,6
ยืนยัน,['ยืนยัน'],ยืนยัน,2
ยืม,['ยืม'],ยืม,2
ยุบ,['ยุบ'],ยุบ,2
ยู,['ยูโร'],ยูโร,2
ยูโร,['ยูโร'],ยูโร,5
ร,"['รถ', 'รอ', 'รา', 'ระ', 'รึ', 'โร', 'รี', 'รส', 'ริ', 'กร', 'พร', 'เร', 'รู', 'ไร', 'รบ', 'อร', 'วร', 'รำ', 'ทร', 'รก', 'รด', 'สร', 'รุ', 'ธร', 'ศร', 'รม', 'รณ', 'ปร', 'จร', 'นร', 'ตร', 'รง', 'มร', 'คร', 'รน', 'รย', 'ษร', 'ดร', 'รพ', 'แร', 'รท', 'ฏร', 'หร', 'รว', 'บร', 'รต', 'ภร', 'รค', 'ชร', 'รร', 'รศ', 'ใร', 'รช', 'ขร', 'รป', 'รจ', 'รฐ', 'ฎร', 'รภ', 'ฃร', 'ถร', 'รห', 'ยร', 'รล', 'ฑร', 'รญ']",รถ,9
รณ,['อุปกรณ์'],กรณ์,32
รณ,['กรณ์'],กรณ์,20
รด,['รด'],รด,2
รถ,['รถ'],รถ,527
รถเข็น,['รถเข็น'],รถเข็น,8
รถกระบะ,['รถกระบะ'],รถกระบะ,3
รถขนขยะ,['รถขนขยะ'],รถขนขยะ,3
รถขนของ,['รถขนของ'],รถขนของ,5
รถจักรยาน,['รถจักรยาน'],รถจักรยาน,3
รถตู้,"['รถตู้', 'รู้', 'ตู้', 'ระตู']",รถตู้,3
รถบรรทุก,['รถบรรทุก'],รถบรรทุก,26
รถบัส,"['รถบัส', 'รหัส', 'บัส', 'รัส', 'ระบัด', 'บรัส', 'รโบส', 'รบัฏ']",รถบัส,2
รถยนต์,['รถยนต์'],รถยนต์,6
รท,['รถยนต์'],รถยนต์,5
รท,['รถยนต์'],รถยนต์,2
รน,['กรณ์'],กรณ์,7
รป,['รูป'],รูป,4
รม,['รม'],รม,20
ร่ม,['ร่ม'],ร่ม,3
รร,['กรณ์'],กรณ์,10
รล,['กรณ์'],กรณ์,10
ร่วง,['ร่วง'],ร่วง,2
ร่วงหล่น,['ร่วงหล่น'],ร่วงหล่น,3
รวจ,['รวจ'],รวจ,50
ร่วม,['ร่วม'],ร่วม,3
รวมกัน,"['รวมกัน', 'รวมตัว', 'รวมหัว', 'รามัน', 'วกัน', 'รมัน', 'วมัน']",รวมกัน,4
ร่วมกับ,['ราวกับ'],ร่วมกับ,15
รวล,['รวจ'],รวจ,50
รหัส,['รหัส'],รหัส,2
รอ,['รอ'],รอ,17
รอก,['รอก'],รอก,41
รอง,['รอง'],รอง,42
ร่อง,['ร่อง'],ร่อง,11
รองเท้า,['รองเท้า'],รองเท้า,4
ร่องน้ำ,['ร่องน้ำ'],ร่องน้ำ,3
รองพื้น,['รองพื้น'],รองพื้น,2
รองรับ,['รองรับ'],รองรับ,6
ร้อน,['ร้อน'],ร้อน,4
รอบ,['รอบ'],รอบ,18
รอบเดือน,['รอบเดือน'],รอบเดือน,2
รอบนอก,"['รอบนอก', 'รอบคอบ', 'ของนอก']",รอบนอก,3
รอย,['ลอย'],ลอย,4
ร้อย,['ร้อย'],ร้อย,2
รอยนำ,['ลอยน้ำ'],ลอยน้ำ,6
รอยน่ำ,['ลอยน้ำ'],ลอยน้ำ,6
รอยน้ำ,['ลอยน้ำ'],ลอยน้ำ,6
รอยร้าว,['รอยร้าว'],รอยร้าว,124
รอื้,"['รื้อ', 'รู้', 'รอบ', 'รอ', 'ไอ้', 'รอง', 'รอย', 'รอด', 'เอื้อ', 'อืม', 'โอ้', 'รื้อ', 'อือ', 'รอน', 'อี้', 'อื้อ', 'อู้', 'รือ', 'รอส', 'รอล', 'อืด', 'รอก', 'รอม', 'รื้น', 'เอ้', 'รอฟ', 'รี้', 'อื้ม', 'เอือ', 'แอ้', 'รอค', 'อืน', 'ร้อ', 'รอต', 'อืส', 'อื้น', 'รอท', 'อืท', 'อืง', 'สอื้น', 'รอว์', 'อรุ้', 'รหือ', 'รอห์', 'รอธ', 'รืน', 'รอช', 'ไอก้']",รื้อ,3
ระ,['ระ'],ระ,10
ระเบิด,['ระเบิด'],ระเบิด,2
ระเบียบ,['ระเบียบ'],ระเบียบ,2
ระเบียบเรียบร้อย,['ระเบียบเรียบร้อย'],ระเบียบเรียบร้อย,2
ระดับ,['ระดับ'],ระดับ,67
ระดับเสียง,['ระดับเสียง'],ระดับเสียง,3
ระดับความสูง,['ระดับความสูง'],ระดับความสูง,3
ระนาบ,['ระนาบ'],ระนาบ,2
ระบบ,['ระบบ'],ระบบ,176
ระบาย,['ระบาย'],ระบาย,44
ระบายอากาศ,['ระบายอากาศ'],ระบายอากาศ,2
ระบุ,['ระบุ'],ระบุ,62
ระบุชื่อ,['ระบุชื่อ'],ระบุชื่อ,2
ระยะ,['ระยะ'],ระยะ,16
ระยะเวลา,['ระยะเวลา'],ระยะเวลา,3
ระยะห่าง,['ระยะห่าง'],ระยะห่าง,4
ระวัง,['ระวัง'],ระวัง,7
ระหว่าง,['ระหว่าง'],ระหว่าง,26
รัง,['รัง'],รัง,5
รั่ง,['รั้ง'],รั้ง,2
รั้ง,['รั้ง'],รั้ง,3
รังนก,['รังนก'],รังนก,2
รังผึ้ง,['รังผึ้ง'],รังผึ้ง,4
รัด,['รัด'],รัด,4
รัดคาง,['รัดคาง'],รัดคาง,5
รับ,['รับ'],รับ,33
รับเหมา,['รับเหมา'],รับเหมา,2
รับทราบ,['รับทราบ'],รับทราบ,2
รับรอง,['รับรอง'],รับรอง,2
รั่ว,['รั่ว'],รั่ว,26
รั้ว,['รั่ว'],รั่ว,15
รั่วไหล,['รั่วไหล'],รั่วไหล,4
ร้า,['ร้าน'],ร้าน,25
ราคา,['ราคา'],ราคา,4
ราง,['ราง'],ราง,58
รางน้ำ,"['รางน้ำ', 'อาบน้ำ', 'สายน้ำ', 'รดน้ำ', 'ปากน้ำ', 'ฟองน้ำ', 'ร่องน้ำ', 'กาน้ำ', 'อ่างน้ำ', 'พรายน้ำ', 'ช้างน้ำ', 'ตาน้ำ', 'ลายน้ำ', 'ชาวน้ำ', 'ซาวน้ำ', 'แดงน้ำ', 'รองช้ำ']",รางน้ำ,5
ราช,['ราด'],ราช,2
ราชการ,['ราชการ'],ราชการ,3
ราน,['ร้าน'],ร้าน,4
รา้น,['ร้าน'],ร้าน,6
ร้าน,['ร้าน'],ร้าน,173
ร้่าน,"['ร้าน', 'ร่าน']",ร้าน,6
ราย,['ราย'],ราย,2
ราย,['ตราย'],ตราย,5
รายได้,['รายได้'],รายได้,2
รายงาน,['รายงาน'],รายงาน,2
รายชื่อ,['รายชื่อ'],รายชื่อ,2
รายละเอียด,['รายละเอียด'],รายละเอียด,5
ราว,['ราว'],ราว,24
ร่าว,['ร้าว'],ร้าว,10
ร้าว,['ร้าว'],ร้าว,10
ริ,['ริม'],ริม,3
ริม,['ริม'],ริม,2
ริมถนน,['ริมถนน'],ริมถนน,2
ริ้อ,"['รื้อ', 'ริ้ว', 'ริ้น', 'ร้อ']",รื้อ,3
รีด,['รีด'],รีด,3
รีบ,['รีบ'],รีบ,2
รื้,['รื้อ'],รื้อ,3
รื้ถอน,"['รื้อถอน', 'ร้อน', 'รื้อ', 'เรื้อน', 'รื้น']",ถอน,3
รื้น,['รื้อ'],รื้อ,4
รือ,['รื้อ'],รื้อ,2
รื่อ,['รื้อ'],รื้อ,3
รื้อ,['รื้อ'],รื้อ,799
รื้อถอน,['รื้อถอน'],รื้อถอน,763
รืิ้อ,['รื้อ'],รื้อ,29
รุ,['รู'],รู,3
รุนแรง,['รุนแรง'],รุนแรง,2
รุป,['รูป'],รูป,2
รู,['รู'],รู,14
รู้,['รู้'],รู้,2
รูด,['รูด'],รูด,3
รูป,['รูป'],รูป,4
รูปประกอบ,['รูปประกอบ'],รูปประกอบ,2
รูรั่ว,"['รูรั่ว', 'ระรัว']",รูรั่ว,41
ลง,['ลง'],ลง,82
ลงเวลา,"['ลงเวลา', 'ล่วงเวลา', 'ทำเวลา']",ลงเวลา,2
ลงชื่อ,['ลงชื่อ'],ลงชื่อ,32
ลงพื้น,['ลงพื้น'],ลงพื้น,4
ลงมา,"['ลงมา', 'ลงกา', 'ลิมา', 'ลงยา', 'ลมา']",ลงมา,13
ลงลายมือชื่อ,['ลงลายมือชื่อ'],ลงลายมือชื่อ,3
ลด,['ลด'],ลด,6
ลบ,['ลบ'],ลบ,4
ลม,['ลม'],ลม,11
ล้ม,['ล้ม'],ล้ม,8
ล่วง,['ล่วง'],ล่วง,4
ล่วงหน้า,['ล่วงหน้า'],ล่วงหน้า,7
ลวด,['ลวด'],ลวด,21
ล่อ,['ล่อ'],ล่อ,4
ล้อ,['ล้อ'],ล้อ,18
ลอก,['ลอก'],ลอก,2
ล็อค,['ล็อค'],ล็อก,6
ลอง,['ลอง'],ลอง,5
ล่อฟ้า,['ล่อฟ้า'],ล่อฟ้า,6
ล้อม,['ล้อม'],ล้อม,12
ลอย,['ลอย'],ลอย,6
ลอยน้ำ,['ลอยน้ำ'],ลอยน้ำ,5
ล้อรถ,"['ล้อรถ', 'ล้อ', 'ล้อม', 'ลอร์', 'ล้อง', 'ล้อก', 'ล้อน', 'ล้อค']",ล้อรถ,4
ละ,['ละ'],ละ,2
ละเอียด,['ละเอียด'],ละเอียด,2
ละบาย,['ระบาย'],ระบาย,4
ละออง,['ละออง'],ละออง,4
ลั,"['ละออง', 'ลง', 'ละ', 'ลด', 'ลา', 'ลม', 'ลับ', 'ลิ', 'ลำ', 'ลบ', 'ลี', 'ลัก', 'ลอ', 'ลัน', 'ลู', 'ลัด', 'ลัย', 'ลัง', 'ลก', 'ลุ', 'ลัส', 'ลัม', 'ลน', 'ลล', 'ลว', 'ลท', 'ลัค', 'ลัล', 'ลัว', 'ลป', 'ลัท', 'ลพ', 'ลส', 'ลัต', 'ลัษ', 'ลัพ', 'ลัญ', 'ลภ', 'ลช', 'ลต', 'ลึ', 'ลัช', 'ลค', 'ลัข', 'ลัฟ', 'ลัซ', 'ลณ']",ละ,10
ลักษณะ,['ลักษณะ'],ลักษณะ,18
ลัง,['ลัง'],ลัง,4
ลัย,['ลัย'],ลัย,4
ลา,['ลา'],ลา,2
ล่า,['ล่า'],ล่า,393
ลาก,['ลาก'],ลาก,133
ลาง,['ลาง'],ลาง,2
ล่าง,['ล่าง'],ล่าง,3
ลาน,['ร้าน'],ร้าน,18
ล้าน,['ร้าน'],ร้าน,20
ล๊าน,['ร้าน'],ร้าน,2
ลานจอดรถ,['ลานจอดรถ'],ลานจอดรถ,3
ลาย,['ลาย'],ลาย,4
ลำ,['ลำ'],ลำ,2
ลิ,['ลิตร'],ลิตร,2
ลิง,['ลิง'],ลิ่ง,3
ลิ่ง,['ลิ่ง'],ลิ่ง,6
ลิตร,['ลิตร'],ลิตร,9
ลิฟท์,['ลิฟต์'],ลิฟต์,3
ลี,['ลี'],ลื่น,3
ลี่,['ลี่'],ลื่น,3
ลึก,['ลึก'],ลึก,2
ลื่น,['ลื่น'],ลื่น,3
ลื่นล้ม,['ลื่นล้ม'],ลื่นล้ม,2
ลืม,['ลืม'],ลืม,12
ลุก,['ลุก'],ลุก,3
ลูก,['ลูก'],ลูก,5
ลูกเต๋า,['ลูกเต๋า'],ลูกเต๋า,3
ลูกแก้ว,['ลูกแก้ว'],ลูกแก้ว,3
ลูกไฟ,['ลูกไฟ'],ลูกไฟ,2
ลูกถ้วย,['ลูกถ้วย'],ลูกถ้วย,3
ลูกบิด,['ลูกบิด'],ลูกบิด,4
วง,['วง'],วง,2
วท,['วันที่'],วันที่,77
วน,['วน'],วน,10
วัง,['วัง'],วัง,4
วัชพืช,['วัชพืช'],วัชพืช,305
วัด,['วัด'],วัด,185
วัตถุ,['วัตถุ'],วัตถุ,2
วัน,['วัน'],วัน,2
วันที่,['วันที่'],วันที่,2
วัส,['วัสดุ'],วัสดุ,2
วัสดุ,['วัสดุ'],วัสดุ,17
ว่า,['ว่า'],ว่า,81
วาง,['วาง'],วาง,139
ว่าง,['ว่าง'],ว่าง,2
วางแผน,['วางแผน'],วางแผน,2
วางสาย,['วางสาย'],วางสาย,18
วางหน้า,['วางหน้า'],วางหน้า,2
ว่าที่,['ว่าที่'],ว่าที่,2
วาน,['วาน'],วาน,2
วาล์ว,['วาล์ว'],วาล์ว,23
วิ,['วิ'],วิ,4
วิเคราะห์,['วิเคราะห์'],วิเคราะห์,8
วิ่ง,['วิ่ง'],วิ่ง,2
วิท,['วิท'],วิท,3
วิทยา,['วิทยา'],วิทยา,2
วิทยาลัย,['วิทยาลัย'],วิทยาลัย,2
วิทยุสื่อสาร,['วิทยุสื่อสาร'],วิทยุสื่อสาร,2
วิธี,['วิธี'],วิธี,15
วิศวกร,['วิศวกร'],วิศวกร,2
ศวกร,['ศวกร'],ศวกร,4
ศีรษะ,['ศีรษะ'],ศีรษะ,5
ศูนย์,['ศูนย์'],ศูนย์,2
ศูนย์กลาง,['ศูนย์กลาง'],ศูนย์กลาง,2
ษัท,['ษัท'],ษัท,5
ส,"['ส.', 'สี', 'สิ', 'สา', 'สุ', 'สม', 'ใส', 'สด', 'รส', 'สบ', 'สะ', 'สน', 'สู', 'สึ', 'สห', 'สร', 'โส', 'เส', 'สอ', 'สง', 'สำ', 'สว', 'สก', 'สต', 'ไส', 'สค', 'แส', 'อส', 'สป', 'ทส', 'สถ', 'นส', 'สพ', 'สย', 'ลส', 'วส', 'ยส', 'สฤ', 'ดส', 'สส', 'สภ', 'สล', 'สท', 'สช', 'บส', 'ษส', 'จส', 'สจ', 'มส', 'พส', 'ตส', 'สญ', 'กส', 'คส', 'สศ', 'ปส', 'ชส', 'ภส', 'สณ', 'ผส', 'สฐ']",ส.,80
ส่,"['ส่ง', 'สี', 'สู่', 'ใส่', 'สิ', 'สี่', 'สา', 'สุ', 'สม', 'สด', 'สบ', 'สะ', 'สน', 'บ่', 'สู', 'สึ', 'สห', 'สร', 'สอ', 'สง', 'สำ', 'ส่อ', 'สว', 'สก', 'สต', 'สค', 'ส่ำ', 'สป', 'ส่า', 'สถ', 'สพ', 'สย', 'แส่', 'ส่น', 'สฤ', 'สส', 'สภ', 'สล', 'สท', 'สช', 'ไส่', 'สจ', 'เส่', 'ส่ม', 'สญ', 'สศ', 'ห่', 'สฐ', 'สณ']",ส่ง,2
สเก็น,"['สเก็ต', 'เก็น', 'สเก็ด', 'สเป็น', 'สเต็น']",สเก็ต,2
สแกน,['สแกน'],สแกน,2
สไลด์,['สไลด์'],สไลด์,2
สกัด,['สกัด'],สกัด,434
ส่ง,['ส่ง'],ส่ง,44
ส่งผล,['ส่งผล'],ส่งผล,4
ส่งผลให้เกิด,['ส่งผลให้เกิด'],ส่งผลให้เกิด,2
สตารท,['สตารท'],สตาร์ท,6
สติก,['สติ๊ก'],สติ๊ก,3
สติ๊ก,['สติ๊ก'],สติ๊ก,4
สติกเกอร์,['สติกเกอร์'],สติ๊กเกอร์,3
สติ๊กเกอร์,['สติกเกอร์'],สติ๊กเกอร์,7
สถาน,['สถาน'],สถาน,5
สถานที่,['สถานที่'],สถานที่,7
สถานประกอบการ,['สถานประกอบการ'],สถานประกอบการ,6
สถานะ,['สถานะ'],สถานะ,5
สน,['สน'],สน,5
สนิท,['สนิท'],สนิท,9
สนิม,['สนิม'],สนิม,230
สภา,['สภาพ'],สภาพ,2
สภาพ,['สภาพ'],สภาพ,39
สม,['สม'],สม,4
ส้ม,['ส้ม'],ส้ม,2
สมใน,['สมใน'],สมใน,2
สมบูรณ์,['สมบูรณ์'],สมบูรณ์,7
สร้าง,['สร้าง'],สร้าง,5
สลัก,['สลัก'],สลัก,3
สลับ,['สลับ'],สลับ,37
สลิง,['สลิง'],สลิง,32
ส่วน,['ส่วน'],ส่วน,8
สวม,['สวม'],สวม,24
สวมใส่,['สวมใส่'],สวมใส่,86
สวมหน้ากาก,['สวมหน้ากาก'],สวมหน้ากาก,2
สว่าง,['สว่าง'],สว่าง,3
สว่าน,['สว่าน'],สว่าน,7
สอง,['สอง'],สอง,5
ส่อง,['ส่อง'],ส่อง,39
ส่องกล้อง,['ส่องกล้อง'],ส่องกล้อง,51
สอด,['สอด'],สอด,2
สอดคล้อง,['สอดคล้อง'],สอดคล้อง,6
สอบ,['สอบ'],สอบ,3
สอบเทียบ,['สอบเทียบ'],สอบเทียบ,7
สอบถาม,['สอบถาม'],สอบถาม,6
สะ,['สะ'],สะ,2
สะเก็ด,['สะเก็ด'],สะเก็ต,7
สะดวก,['สะดวก'],สะดวก,2
สะดุด,['สะดุด'],สะดุด,5
สะท้อน,['สะท้อน'],สะท้อน,10
สะบัด,['สะบัด'],สะบัด,3
สะพาน,['สะพาน'],สะพาน,2
สะสม,['สะสม'],สะสม,3
สั,"['สัง', 'สี', 'สัก', 'สิ', 'สา', 'สุ', 'สม', 'สด', 'สัน', 'สบ', 'สะ', 'สน', 'สัม', 'สู', 'สึ', 'สห', 'สร', 'สัง', 'สับ', 'สอ', 'สัญ', 'สง', 'สำ', 'สว', 'สก', 'สต', 'สค', 'สัท', 'สัต', 'สัจ', 'สัย', 'สป', 'สัด', 'สัพ', 'สัป', 'สถ', 'สพ', 'สย', 'สัช', 'สฤ', 'สส', 'สัส', 'สภ', 'สัค', 'สล', 'สท', 'สช', 'สัณ', 'สจ', 'สัล', 'สัว', 'สญ', 'สัฏ', 'สศ', 'สฐ', 'สณ', 'สัฟ', 'สัฒ', 'สัข']",สัง,2
สัง,['สัง'],สัง,2
สั่ง,['สั่ง'],สั่ง,3
สังเกต,['สังเกต'],สังเกต,6
สังเกตเห็น,['สังเกตเห็น'],สังเกตเห็น,2
สัญญา,['สัญญา'],สัญญา,5
สัญญาณ,['สัญญาณ'],สัญญาณ,19
สัญลักษณ์,['สัญลักษณ์'],สัญลักษณ์,4
สัตว์,['สัตว์'],สัตว์,3
สั่น,['สั่น'],สั่น,3
สั้น,['สั้น'],สั้น,3
สับสน,['สับสน'],สับสน,2
สัมผัส,['สัมผัส'],สัมผัส,2
สา,['สาย'],สาย,5
สา,['สา'],สา,3
สาเหตุ,['สาเหตุ'],สาเหตุ,6
สาก,['สาด'],สาด,3
สาด,['สาด'],สาด,5
สามารถ,['สามารถ'],สามารถ,17
สาย,['สาย'],สาย,347
สายไฟ,['สายไฟ'],สายไฟ,107
สายไฟฟ้า,"['สายไฟฟ้า', 'สายไฟ', 'สนามไฟฟ้า', 'สายฟ้า']",สายไฟฟ้า,11
สายตา,['สายตา'],สายตา,2
สายน้ำ,['สายน้ำ'],สายน้ำ,4
สายพาน,['สายพาน'],สายพาน,5
สายรัดคาง,['สายรัดคาง'],สายรัดคาง,4
สายล่อฟ้า,['สายล่อฟ้า'],สายล่อฟ้า,3
สาร,['สาร'],สาร,3
สารเคมี,['สารเคมี'],สารเคมี,47
สาว,['สาร'],สาร,3
สำ,['สำ'],สำ,6
สำรวจ,['สำรวจ'],สำรวจ,10
สำรวล,['สำรวจ'],สำรวจ,7
สำหรับ,['สำหรับ'],สำหรับ,305
สิ่งผิดปกติ,['สิ่งผิดปกติ'],สิ่งผิดปกติ,2
สิน,['สิน'],สิน,2
สี,['สี'],สี,15
สีแดง,"['สีแดง', 'สำแดง']",สีแดง,3
สีซีด,"['สีซีด', 'ซีด', 'พีซี', 'ดีซี', 'อีซี', 'สปีด', 'สตีด', 'สีด', 'สวีด', 'รีซีฟ']",สีซีด,7
สีน้ำเงิน,['สีน้ำเงิน'],สีน้ำเงิน,2
สีส้ม,"['สีส้ม', 'สะสม', 'ส้ม', 'สีสัน', 'สีลม', 'สารส้ม', 'สุ้ม', 'สีสุก', 'สี้', 'สีสะ', 'มดส้ม', 'โส้ม', 'สีสา', 'สีม', 'สสุม', 'สสัม']",สีส้ม,2
สึก,['สึก'],สึก,2
สืบ,['สืบ'],สืบ,2
สือ,['สือ'],สือ,2
สื่อ,['สื่อ'],สื่อ,2
สือสาร,['สื่อสาร'],สื่อสาร,2
สื่อสาร,['สื่อสาร'],สื่อสาร,3
สุ,['สุด'],สุด,4
สุขา,"['สุขา', 'สุข', 'สาขา', 'สุรา', 'สุดา', 'สุภา', 'สุชา', 'สุธา', 'สุขี', 'สิขา', 'สขา']",สุขา,20
สุด,['สุด'],สุด,3
สู,['สูง'],สูง,12
สู่,['สู่'],สู่,2
สูง,['สูง'],สูง,538
สูงสุด,['สูงสุด'],สูงสุด,2
สูบ,['สูบ'],สูบ,11
สูบน้ำ,"['สูบน้ำ', 'อาบน้ำ', 'สายน้ำ', 'สระน้ำ', 'ดูดน้ำ', 'ลูกน้ำ', 'อู่น้ำ', 'สกีน้ำ']",สูบน้ำ,6
หก,['หก'],หก,2
หกล้ม,['หกล้ม'],หกล้ม,3
หญ้า,['หญ้า'],หญ้า,3
หญิง,['หญิง'],หญิง,3
หนด,['หนด'],หนด,4
หน่วย,['หน่วย'],หน่วย,5
หน่วยงาน,['หน่วยงาน'],หน่วยงาน,8
หนอน,['หนอน'],หนอน,2
หนัก,['หนัก'],หนัก,2
หนัง,['หนัง'],หนัง,2
หนังสือ,['หนังสือ'],หนังสือ,2
หนัา,"['หน้า', 'หนัง', 'หนัก', 'หนา', 'หนับ', 'หนัน', 'หน่า', 'หนัด', 'หนัว']",หน้า,2
หนา,['หนา'],หนา,225
หน่า,['หน้า'],หน้า,55
หน้า,['หน้า'],หน้า,265
หน้าเตา,['หน้าเตา'],หน้าเตา,10
หน้ากาก,['หน้ากาก'],หน้ากาก,11
หน้างาน,['หน้างาน'],หน้างาน,5
หน้าจอ,['หน้างอ'],หน้างอ,6
หน้าต่าง,['หน้าต่าง'],หน้าต่าง,6
หน้าปัด,['หน้าปัด'],หน้าปัด,4
หนาม,['หนาม'],หนาม,2
หนีบ,['หนีบ'],หนีบ,3
หนึ่ง,['หนึ่ง'],หนึ่ง,2
หนุน,['หนุน'],หนุน,4
หนู,['หนู'],หนู,12
หมด,['หมด'],หมด,4
หมดอายุ,['หมดอายุ'],หมดอายุ,11
หมวก,['หมวก'],หมวก,8
หม้อ,['หม้อ'],หม้อ,2
หม้อแปลง,['หม้อแปลง'],หม้อแปลง,4
หมาย,['หมาย'],หมาย,20
หมายเลข,['หมายเลข'],หมายเลข,4
หมิ่น,['หมิ่น'],หมิ่น,4
หมุ้,"['หมุน', 'หมุด', 'หมุย', 'หมู้', 'หมุ', 'หมุบ']",หมุด,4
หมุด,['หมุด'],หมุด,3
หมุน,['หมุน'],หมุน,4
หยด,['หยด'],หยด,7
หยดน้ำ,"['หยดน้ำ', 'รดน้ำ', 'ดูดน้ำ', 'กดน้ำ', 'หมูน้ำ', 'หัวน้ำ', 'ผิดน้ำ', 'ซัดน้ำ', 'ยอดน้ำ', 'ดน้ำ', 'ทอดน้ำ']",หยดน้ำ,3
หยอด,['หยอด'],หยอด,2
หย่อน,['หย่อน'],หย่อน,2
หยิบ,['หยิบ'],หยิบ,2
หยุด,['หยุด'],หยุด,2
หยุดงาน,['หยุดงาน'],หยุดงาน,6
หรับ,['หรับ'],หรับ,5
หรือ,['หรือ'],หรือ,17
หรือเปล่า,['หรือเปล่า'],หรือเปล่า,2
หรือไม่,['หรือไม่'],หรือไม่,2
หล่น,['หล่น'],หล่น,5
หลวม,['หลวม'],หลวม,3
หล่อ,['หล่อ'],หล่อ,2
หลอด,['หลอด'],หลอด,6
หลอดไฟ,['หลอดไฟ'],หลอดไฟ,34
หล่อลื่น,['หล่อลื่น'],หล่อลื่น,2
หลัก,['หลัก'],หลัก,3
หลักฐาน,['หลักฐาน'],หลักฐาน,2
หลัง,['หลัง'],หลัง,37
หลังคา,['หลังคา'],หลังคา,48
หลังจาก,['หลังจาก'],หลังจาก,25
หลับ,['หลับ'],หลับ,6
หลาย,['หลาย'],หลาย,3
หลุด,['หลุด'],หลุด,14
หลุม,['หลุม'],หลุม,7
ห้ว,"['หัว', 'ห้า', 'หิว', 'ห้วย', 'ห้วง', 'หิ้ว', 'ห้าว', 'ห้วน', 'หาว', 'แห้ว', 'ห้อ', 'ห้ง', 'ห้ำ', 'หีว', 'ห้ม', 'ห้ค', 'เห้ว', 'ห้ส', 'ห้น', 'ห้ป', 'หั้ว']",หัว,2
ห่วง,['ห่วง'],ห่วง,2
ห่วงยาง,['ห่วงยาง'],ห่วงยาง,2
หวะ,['หวะ'],หวะ,4
หว่าง,['หว่าง'],หว่าง,5
หอ,['หอ'],หอ,3
ห้อง,['ห้อง'],ห้อง,24
ห้องน้ำ,['ห้องน้ำ'],ห้องน้ำ,3
หอม,['หอม'],หอม,3
ห้อย,['ห้อย'],ห้อย,2
หัก,['หัก'],หัก,7
หัว,['หัว'],หัว,42
หัวเข่า,"['หัวเข่า', 'หัวเก่า', 'หัวเข้า']",หัวเข่า,2
หัวหน้างาน,['หัวหน้างาน'],หัวหน้างาน,4
หา,['หา'],หา,15
หาก,['หาก'],หาก,4
หาง,"['หาง', 'หางหนู', 'สารหนู', 'ตาหนู', 'หูหนู', 'อาหนู']",หาง,2
ห่าง,['ห่าง'],ห่าง,2
หางเปีย,['หางเปีย'],หางเปีย,2
หาย,['หาย'],หาย,3
หิน,['หิน'],หิน,19
หุม้,"['หุ้ม', 'หุม']",หุ้ม,6
หุ่ม,['หุ้ม'],หุ้ม,2
หุ้ม,['หุ้ม'],หุ้ม,642
หู,['หุ้ม'],หุ้ม,2
หู้ม,['หุ้ม'],หุ้ม,15
อก,['อก'],องค์,2
อง,['องค์'],องค์,2
อด,['อด'],อด,3
อนามัย,['อนามัย'],อนามัย,2
อนุ,['อนุ'],อนุ,3
อนุญาต,['อนุญาต'],อนุญาต,5
อบ,['อบ'],อบ,2
อบรม,['อบรม'],อบรม,3
อป,['อุป'],อุป,5
อย,"['อยู่', 'อา', 'คอย', 'อี', 'อะ', 'รอย', 'ลอย', 'อก', 'อิ', 'อด', 'ซอย', 'โย', 'อาย', 'หอย', 'อร', 'ถอย', 'อุ', 'ออ', 'อบ', 'อม', 'ดอย', 'ใย', 'อู', 'อง', 'บอย', 'ยย', 'เอย', 'ยอ', 'อำ', 'จอย', 'เย', 'ทย', 'โอย', 'อน', 'ฝอย', 'รย', 'สอย', 'ปอย', 'อส', 'ไย', 'ออย', 'อึ', 'อวย', 'อป', 'อว', 'วอย', 'จย', 'ตย', 'ไอย', 'อล', 'ชย', 'แย', 'อูย', 'อพ', 'อุย', 'มย', 'นย', 'ทอย', 'ตอย', 'นอย', 'สย', 'อัย', 'อภ', 'อค', 'กอย', 'ฮอย', 'ยอย', 'ชอย', 'มอย', 'พย', 'ศย', 'งอย', 'อห', 'ษย', 'อช', 'อท', 'อญ', 'ผอย', 'อฏ', 'อจ', 'อยบ', 'แอย', 'ฟอย']",อยู่,10
อย่าง,['อย่าง'],อย่าง,5
อยู่,['อยู่'],อยู่,105
อยู้,['อยู่'],อยู่,5
อลูมิเนียม,['อลูมิเนียม'],อลูมิเนียม,4
ออ,['ออก'],ออก,2
ออก,['ออก'],ออก,50
ออกแบบ,['ออกแบบ'],ออกแบบ,4
ออกจาก,"['ออกจาก', 'นอกจาก', 'ออกปาก', 'ออกหาก']",ออกจาก,57
ออกมา,['ออกมา'],ออกมา,27
ออกหน้า,"['ออกหน้า', 'กองหน้า', 'เอาหน้า', 'ลอยหน้า', 'นองหน้า', 'บากหน้า', 'ฉีกหน้า', 'หักหน้า', 'แสกหน้า', 'ชักหน้า', 'ตากหน้า']",ออกหน้า,2
ออง,['ออง'],ออง,4
ออม,['ออก'],ออก,6
อะ,['อะ'],อะ,14
อะไร,['อะไร'],อะไร,4
อะไหร่,['อะไหล่'],อะไหล่,14
อะไหล่,['อะไหล่'],อะไหล่,14
