FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
479,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบเอกสาร JSA ไม่มีการตรวจสอบมาตรการหน้างานก่อนมีการปฏิบัติงาน,Found JSA documents. There is no review of the measures before the operation.
480,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบพื้นที่ พบตู้น้ำเย็นที่ TC-Wax มีจุดที่ต้องแก้ไขดังนี้
1.สายปลั๊กเสียบไม่มี Ground
2.ด้านหลังมีไม้พาเลทอยู่","check the area Found a cold water dispenser at TC-Wax. There are points that need to be fixed as follows.
1. Plug cable without ground
2. There is a wooden pallet on the back."
481,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,มีการกั้นพื้นที่ด้วยกรวยจราจร แต่ไม่มีป้ายชี้บ่งอันตราย,The area is blocked with traffic cones. But there is no sign indicating danger.
482,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสารพบเป็นเอกสารเก่า,Check the documents and find them as old documents.
483,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบมีการปิดกั้นพื้นที่ทำงาน แต่ไม่มีเอกสารชี้บ่งอันตายที่หน้างาน,The work area was blocked. But there is no document indicating the death at the venue.
484,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบเอกสารที่แนบมาเป็นแบบเก่า,The attached document was found to be old.
485,PP3,Unknown,Unknown,Unsafe Condition,Unknown,พบการขับขี่จักรยานในพื้นที่ process ซึ่งมีป้ายเตือนชัดเจน ว่าห้ามรถทุกชนิดเข้าโดยเด็ดขาด,Cycling was found in the process area with clear warning signs. that all types of vehicles are strictly prohibited
486,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,พบInsulation ที่ถอดออกมา ไม่ได้จัดเก็บใส่ถุงที่ปิดมิดชิด,"The insulation was removed, not stored in a sealed bag."
487,PP3,Unknown,Unknown,Unsafe Action,Unknown,พบTag นั่งร้านหมดอายุ,Found an expired scaffolding tag.
488,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดล้อมพื้นที่ ไม่มีป้าย Barricade tag,"No enclosed area, no Barricade tag."
489,PP2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบผู้ปฏิบัติงานบนรถ HIAB สวมใส่ Safety Harness แต่ไม่คล้องเกี่ยว,"The operator on the HIAB vehicle was found wearing the Safety Harness, but was not involved."
490,PP2,Unknown,Unknown,Near Miss,Unknown,ตรวจสอบ ปากคีบ Hydraulic น๊อตล๊อคไม่ใส่ปลิ้นล๊อค ขณะกำลังปฏิบัติงานน๊อตคลายออก (รูป) ,"Check the hydraulic tweezers, the lock nut is not inserting the locking pin. While working, the nut is loosened (Figure)."
491,LDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบมีการปฏิบัติงานตั้งนั่งร้านตรวจสอบ Work Permit 
พบหัวข้อ 1.7 ลงชื่อตรวจสอบหัวหน้าของ Permit Requester ขาดการตรวจสอบความครบถ้วนและมาตราการ ","Check that there is an operation to set up scaffolding, check the Work Permit
Found section 1.7. Sign the Permit Requester's supervisor. Lack of completeness checks and measures."
492,LDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบมีการปฏิบัติงานตั้งนั่งร้านตรวจสอบ Work Permit 
พบหัวข้อ 1.7 ลงชื่อตรวจสอบหัวหน้าของ Permit Requester ขาดการตรวจสอบความครบถ้วนและมาตราการ 
","Check that there is an operation to set up scaffolding, check the Work Permit
Found section 1.7. Sign the Permit Requester's supervisor. Lack of completeness checks and measures."
493,Store Site3,Unknown,Unknown,Unsafe Condition,Unknown,"พบกระจกโค้งมองมุมอับบนถนนหน้า
ลาน Waste พัสดุมีสภาพไม่พร้อมใช้งาน","Found a curved mirror on a blind spot on the road ahead.
The waste yard is in a state of being unusable."
494,Blownfilm,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบภายในห้องตู้ไฟฟ้ามีเศษวัสดุที่เป็นเชื้อเพลิงเก็บรวมอยู่เป็นจำนวนมาก,"Detected in the electrical cabinet room, there is a large amount of waste material collected in the fuel."
495,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,มี bigbag ที่ใส่ floss drain จาก BG101 ที่เป็นวัสดุติดไฟวางอยู่,There is a bigbag where the floss drain from the BG101 flammable material is placed.
496,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบไม่มีการลงรายละเอียดของการ Lock LO/TO ที่ Work Permit ตามมาตรการใน JSA ที่กำหนดไว้,It was found that the details of Lock LO/TO at Work Permit were not entered in accordance with the measures specified in the JSA.
497,LDPE,Unknown,Unknown,Unsafe Action,Unknown,คู่ธุรกิจ MYC ที่ไม่เกี่ยวข้องกับงานนั่งร้าน แต่มาทำงาน modify นั่งร้าน,MYC business partner who is not related to scaffolding work but comes to work modify scaffolding
498,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,พบโครงสร้างแขวนรอก ระบุน้ำหนักที่ยกได้ไว้ 150 kg. แต่อุปกรณ์ที่ยกน้ำหนักประมาณ 900 kg.,Found a hanging structure Specify the weight that can be lifted 150 kg. But the equipment that lifts the weight about 900 kg.
499,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบอุปกรณ์ช่วยยก ยังไม่ได้รับการตรวจสอบและออกสติกเกอร์,Check for lifting equipment Has not been reviewed and issued a sticker.
500,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบพบเอกสาร JICA พบมีการประเมินในหัวข้อที่ 5.1 
พื้นที่เข้า-ออก คับแคบต้องปีข้ามปีนรอด
หัวข้อ 5.2
พื้นที่จุดปฏิบัติงานต้องก้มต้องเงยนอน
พบการประเมินแต่ไม่ประเมิน JSA เพิ่ม","The JICA document was found, it was assessed in section 5.1.
entry-exit area cramped, must year to climb to survive
Topic 5.2
The work point area must be bent to lie down.
Assessments were found but no additional JSA assessments were found."
501,LDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบผู้ปฏิบัติงานไม่ปฏิบัติตามข้อกำหนด ตามเอกสาร Safe Work Certificate 
หัวข้อที่ 15 (ติ๊กผ่าน)ผู้ปฏิบัติงานฉีดน้ำ Water Jet และผู้ควบคุม Foot Valve ต้องเป็นคนเดียวกัน 

และ Foot Valve ไม่ต่อสายน้ำ Return กลับเข้าเครื่อง Water Jet","Check if the worker does not comply with the requirements according to the Safe Work Certificate document.
Item 15 (Tick Through) The Water Jet Operator and the Foot Valve Operator must be the same person.

and the Foot Valve does not connect the Return water line back to the Water Jet machine."
502,LDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบ Safety Lead ขาดการประเมิน JSA หัวข้อ 6.1ตรวจสอบมาตราการหน้างาน
หัวข้อ 5 ข้อย้อย 5.1 และ หัวข้อ 5.2","Detected Safety Lead, lack of JSA assessment, topic 6.1, check the scale on the job.
Title 5, Subsection 5.1 and Title 5.2"
503,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Safety Sling สภาพไม่พร้อมใช้งาน สลิงแตกเกลียวอันตรายเมื่อถูกมือเวลาปฏิบัติอาจจะทิ่มแทงได้,"Safety Sling detected, unused condition. The sling breaks a dangerous thread when touched by the hand, may stab it in action."
504,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบเอกสาร JSA การวิเคราะห์งานเพื่อความปลอดภัยไม่สอดคล้องกับการปฎิบัติงาน,JSA document detected. Job analysis for security is inconsistent with operations.
505,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,พบอุปกรณ์ไม่ผ่านการตรวจสภาพ,The device was found to have not passed the inspection.
506,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบTag นั่งร้านไม่มีการ Up Dealt ในเรื่องของการตรวจสภาพ,"Found Tag scaffolding, no Up Dealt in terms of condition inspection"
507,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Grander 4 นิ้ว ปฏิบัติงานไม่สวมใส่ Handle ,"Detected Grander 4 inches, working without wearing the handle."
508,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบมีการปฏิบัติงานเป่าลม Air Compressor พบสายลมขาดการล๊อคสายลมด้วย Safety Sling cและจุดล๊อคไม่มีพินล๊อค,"Check if the air compressor is blowing. Found that the wind is broken, the wind is locked with a Safety Sling c and the locking point has no pin lock."
509,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ยังไม่มีผู้อนุมัติใน work permit,There is no authorization in the work permit.
510,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Regulator Argon ยังไม่ได้ตรวจสอบและออกสติกเกอร์ (เปิดใช้งานแล้ว),Found Regulator Argon unchecked and issued a sticker. (activated)
511,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบคู่ร่วมธุรกิจกำลังปฏิบัติงานไม่สวมใส่ PPE ตามที่กำหนดไว้ในเอกสาร Work Permit หัวข้อ 1.6 ,"Business partners were found working not wearing PPE as defined in Work Permit, Section 1.6."
512,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบเอกสาร JSA 
- พบขาดการตรวจสอบมาตราการ หัวข้อ 1.6 (Safety Lead)
- พบขาดการวิเคราะห์ หัวข้อ 5  5.1,5.2","Check JSA Documents
- Found a lack of inspection of Section 1.6 (Safety Lead)
- Found a lack of analysis of topics 5 5.1,5.2"
513,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,กรอกข้อมูลไม่ครบถ้วน,Incomplete information
514,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP เอกสารงานติดตั้งนั่งร้าน Silo TK-3451 B พบว่าเอกสาร Working at Hight เป็นเอกสารตัวเก่า,K. Somreuk N. Manager. Safety inspected the SWP document for installing Silo TK-3451 B scaffolding and found that the Working at Hight document was an old document.
515,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP งานทำแผนช่วยเหลือ Demon  Silo TK-3451 B พบว่าพบว่าจุดที่ทำการซ้อมแผนช่วยเหลือไม่ปลอดภัยเนื่องจากอยู่ตรงบริเวณบันไดทางขึ้นลงอาจพลาดตกลงมา,"K. Somreuk, Manager of Safety, inspected the SWP of the Demon Silo TK-3451 B rescue plan and found that the training point for the rescue plan was not safe because it was located in the area of ​​the stairs, possibly falling down."
516,LDPE,Unknown,Unknown,Unsafe Action,Unknown,กำหนดมาตรการในข้อ 1.6 อุปกรณืป้องกันการหายใจ ระบุไว้เป็นผ้าปิดจมูก ซึ่งแนวปฏิบัติที่ถูกคือต้องระบุชนิดให้ชัดเจน ว่าเป็นแบบใด ซึ่งต้องเป็นชนิดป้องกันทินเนอร์และสีได้,"Measures in Section 1.6 Respiratory Protection It is stated as a cloth to cover the nose. The correct practice is to clearly specify which type it is, which must be a thinner and colored protective type."
517,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,พบมีการทิ้งขยะทั่วไปรวมกับขยะปนเปื้อน,It was found that general waste was thrown together with contaminated waste.
518,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบเอกสาร Lifting Plan เป็น Rev. เก่า (002 ),Found Lifting Plan document as old Rev. (002 )
519,Blownfilm,Unknown,Unknown,Unsafe Condition,Unknown,"พบทีมซ่อม ME นำน้ำยา Clean มาใส่ในขวดน้ำดื่มเพื่อใช้งานโดยไม่มีเอกสาร SDS ติดชี้บ่ง
",Found the ME repair team to put the clean solution in a bottle of water for use without the SDS documentation attached.
520,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการปฏิบัติงาน Remove Scaffolding ตรวจสอบเอกสารแนบ Safe Work Certificate SE-F-0286_REV.003 Working at Height ไม่พบการตรวจสอบประเมินหน้างาน,Work Detected Remove Scaffolding Attachment Review Safe Work Certificate SE-F-0286_REV.003 Working at Height No on-site assessment found.
521,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ เอกสาร SE-F-0337 Rev.001_Safe Work Certificate High Pressure Water Jet Work ขาดการประเมินมาตราการก่อนเริ่มงาน,Found Document SE-F-0337 Rev.001_Safe Work Certificate High Pressure Water Jet Work Lack of assessment measures before starting work.
522,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานทาสี Line Pipe พบคู่ร่วมธุรกิจ บริษัท PROTECH สวมใส่ MASK ป้องกันไอระเหย ผิด สวมใส่ (N95 ป้องกันฝุ่น) ตรวจสอบ JSA พบข้อ 2.1.2.2 Permit Requestor ได้กำหนดให้ใส่ (R95 ป้องกันอนุภาคอันตรายที่เป็นฝุ่น ละออง แก๊ซ ไอระเหย,"Investigate the painting work, Line Pipe, found business partner, PROTECH, wearing MASK to prevent vapors, wrong wear (N95 dust protection) JSA inspection found 2.1.2.2 Permit Requestor has required to wear (R95 protection against harmful particulate matter that is dust. gas vapor"
523,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร HEALTH CHECK พบผู้ตรวจสอบ ขาดการตรวจสอบและเซ็นเอกสารตรวจสอบก่อนเริ่มงาน,"Check HEALTH CHECK documents, find the inspector, lack of inspection and sign the inspection document before starting work."
524,CPD Site1,Unknown,Unknown,Unsafe Condition,Unknown,มีกองวัสดุและถังน้ำมันวางกีดขวางทางเข้าหม้อแปลง  ในกรณีที่เกิดเหตุฉุกเฉินจะเข้าไปในพื้นที่ได้ยาก,"There are stacks of materials and oil tanks blocking the entrance to the transformer. In the event of an emergency, it is difficult to enter the area."
525,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบใน JSA มีกำหนดการ Off ฺ Breaker และ กดปุ่ม Emergency แต่ที่ Work Permit ไม่มีการลงรายละเอียดการตัดระบบ,"Detected in JSA, Off Breaker is scheduled and Emergency button is pressed, but at Work Permit there is no pruning details."
526,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบไม่มีการตรวจสอบมาตรการที่กำหนดไว้ใน JSA,Detected no monitoring of the measures set out in the JSA.
527,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบใน JSA มีกำหนดการ Off ฺ Breaker แต่ที่ Work Permit ไม่มีการลงรายละเอียดการตัดระบบ,"Detected in JSA Breaker Off Scheduled, but at Work Permit no pruning details."
528,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเจียร์ Line Pipe พบวิธีปฏิบัติไม่ถูกต้องโดยใช้ถังพลาสติกรองจุดงานที่เจียร์,Line pipe grinding work found
529,PP2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Safety Sling สลิงแตกออกจากเกลียว อันตรายต่อการใช้งานอาจจเกิดอุบัติเหตุได้ (ระบุใน JSA พร้อมใช้งาน),The Safety Sling was found to be broken from the thread. Hazardous to use may cause an accident (indicated in the available JSA).
530,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบเครื่องฉีดน้ำอุปกรณ์ไม่ผ่านการตรวจสภาพ,"Found the sprinkler, the device has not passed the inspection."
531,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบมีการลงข้อมูลผลตรวจ แต่ไม่มีการลงนามรับรองในเอกสาร,It was found that the results of the examination were recorded. but there is no certifying in the document
532,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบอุปกรณ์ไม่ผ่านการตรวจสภาพ,Detected device failed a condition check.
533,Ware house Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบพนักงานทาสี พบสวมใส่ MASK แต่ไม่มีตลับกรอง,"The paint worker was inspected and found wearing a mask, but no filter cartridge."
534,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบว่าไม่มีการลงรายละเอียด Lock LOTOใน work permit ซึ่งไม่สอดคล้อง jsa,Detected that Lock LOTO is not detailed in work permit which is not jsa compliant
535,PP2,Unknown,Unknown,Unsafe Action,Unknown,ใช้งานเอกสาร WAH version ที่ไม่ update,Use an unupdated WAH version of the document.
536,PP2,Unknown,Unknown,Unsafe Action,Unknown,จุดคล้องเกี่ยวไม่เหมาะสม จุดคล้องเกี่ยวที่ถูกต้อง ต้องอยู่สูงกว่าผู้ปฏิบัติงาน,inappropriate attachment point correct attachment point must be higher than the operator
537,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบไม่มีการลงจำนวนผู้เข้าปฏิบัติงานใน Work permit,Found no number of participants working in the work permit
538,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร Health Check SE-F-0277 Rev 006  ขาดการตรวจสอบโดย Permit Requestor ,"Document Health Check SE-F-0277 Rev 006 was found, missing check by Permit Requestor."
539,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม (2097)ตามที่ JSA กำหนด,Inspect welders while performing welding work without wearing masks to protect from welding fume (2097) as required by JSA.
540,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบ Safety Lead ขาดการตรวจสอบมาตราการ ข้อ 6.1 ,"Inspecting JSA, found that Safety Lead lacked the inspection of Article 6.1."
541,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286_REV.003 พบขาดการตรวจสอบ โดย Safety Lead และ Permit Requestor,Check Document Safe Work Certificate SE-F-0286_REV.003 Found lack of inspection by Safety Lead and Permit Requestor.
542,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,"ผู้ได้รับมอบหมายยังปฏิบัติไม่ถูกต้อง
1. เอกสารสำเนาที่ 1 ไม่ยอมนำไปไว้ที่ G3
2. มีการประเมิน JAS การทำงาน แต่ไม่ได้ประเมินหน้างานในข้อ 6.1
3. การนำ Work มาปิดไม่ยอมให้ พนักงานเจ้างานพื้นที่เซนต์ปิดร่วม
4. ลงข้อมูลในเอกสารไม่ครบ","The delegates are not performing properly.
1. The first copy of the document will not be taken to G3.
2. The work JAS was assessed, but the work site was not assessed in 6.1.
3. Bringing Work to be closed is not allowed. Employees of the St. area closed jointly.
4. Incomplete information in the document"
543,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ลงข้อมูลไม่ครบ,incomplete data entry
544,HDPE1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Ground Rod สถาพไม่พร้อมใช้งาน ขึ้นสนิม แท่งเหล็กเคลือบทองแดง ,"The ground rod was found to be unusable, rusted, copper-coated steel rod."
545,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบคู่ร่วมธุรกิจปฏิบัติงานทาสีพบไม่สวมใส่ MASK ที่ระบุไว้ใน JSA 6003 6006,The painting worker partner was found not wearing the MASK specified in JSA 6003 6006.
546,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบมีการนำเอกสารเก่ามาใช้งาน,Found that old documents were used.
547,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,พบว่าไม่มีการแนบเอกสารการตรวจร่างกายเบื้องต้นก่อนทำงาน,It was found that the preliminary physical examination documents were not attached before work.
548,GA Site7,Unknown,Unknown,Unsafe Condition,Unknown,เจ้าของพื้น Repco ที่ยังไม่ได้เซ็นชื่อ รับรองความปลอดภัยที่หน้างาน และไม่ได้ระบุเลขwork permit แต่ได้ลงมือทำงานไปแล้ว,"Unsigned Repco floor owners Ensure safety at the job site and did not specify the work permit number, but have already done the work"
549,GA Site7,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดล้อมพื้นที่ และติดป้ายเตือน ไม่มี barricade tag,"no enclosing area and attach a warning label, no barricade tag"
550,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบว่าใน JSA ไม่มีการประเมินมาตรการในเรื่องการใช้ลมเป่าอุปกรณ์ที่หน้างาน รวมถึงไม่มีการปิดกั้นพื้นที่ทำงาน,It was found that in the JSA there were no measures to assess the use of air blowing equipment on site. including no blocking of work area
551,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดกั้นพื้นที่ขณะปฎิบัติงาน,No area blocking while working
552,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบเอกสารเป็นฟอร์มเก่า,Found the document as old form.
553,PP3,Unknown,Unknown,Unsafe Action,Unknown, WAH Certificate ยังฟอร์มเก่าที่ยังไม่อัพเดท,WAH Certificate still old form that has not been updated.
554,PP3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มี Barricade tag ,No Barricade tag
555,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,พบ Safety lead ใช้สายคล้องคอห้อยบัตร ซึ่งไม่ถูกต้องตามข้อกำหนด,Found a Safety lead. Use a neck strap to hang the card. which is not in accordance with the requirements
556,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบมีการลงรายละเอียดข้อมูลไม่ครบ,It was found that the details were incomplete.
557,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสารเรียบร้อย แต่ผู้ให้สัญญาณไม่สวมใส่เสื้อสะท้อนแสงตามมาตรการกำหนด,Check the documents successfully But the signal provider does not wear a reflective vest according to the measures.
558,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,lifting plan form not up date and no plan calculation weight before working,lifting plan form not up date and no plan calculation weight before working
559,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ทราบว่าต้องวางแผนการคำนวณน้ำหนักแต่ไม่ปฎิบัติ,"I knew I had to plan my weight calculations, but I didn't do it."
560,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,มีการนำทินเนอร์ใส่ภาชนะที่เป้นขวดน้ำดื่มเข้ามาใช้งาน,Thinner is put into a container that is a bottle of water to use.
561,PP3,Unknown,Unknown,Unsafe Action,Unknown,ผู้ขออนุญาตไม่ได้ลงชื่อรับรองความปลอดภัยก่อนเริ่มงาน,The applicant does not sign a safety certificate before starting the work.
562,PP3,Unknown,Unknown,Unsafe Action,Unknown,ผู้ขออนุญาตไม่ได้คำนวณ Lifting capacity rate ข้อ 2.6.3 ก่อนทำงานยก,The applicant does not calculate the Lifting capacity rate in clause 2.6.3 before lifting work.
563,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,Insulation ที่ใส่ไว้ในถุงไม่ปิดให้มิดชิด ทำให้เปียกน้ำและหลุดออกมาภายนอกได้,Insulation that is put in the bag is not completely closed. Make it wet and come out outside.
564,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,ประเมิน JSA ไม่ครบ เนื่องจากมีการนำรถ Crane เข้ามาใช้งาน แต่ไม่มีการประเมินมาตรการของการใช้รถ,"JSA was not fully assessed due to the use of cranes, but no measures of vehicle use were assessed."
565,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,พบ Tag นั่งร้านภายในห้องไฟฟ้าไม่ UP Date,"Found Tag scaffolding inside the electrical room, not UP Date"
566,Warehouse Site 3,Unknown,Unknown,Unsafe Condition,Unknown,พบ Stan ที่ใช้สำหรับทำงานตรงจุด Load Sea Bulk เบรคล้อสภาพไม่พร้อมใช้งาน,"Found Stan used for work on site Load Sea Bulk. Wheel brakes, unused condition."
567,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบ Tag นั่งร้านภายในห้องไฟฟ้าไม่ UP Date,"Found Tag scaffolding inside the electrical room, not UP Date"
568,Ware house Site1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบการใช้ Forklift ยกของใช้กำมะลอรัดสิ่งของ (ไม่ถูกต้อง) อุปกรณ์ยังไม่ได้ตรวจสอบและออกสติกเกอร์ ,"Forklifts were found to be used to lift things, strapped items (incorrectly), equipment has not been inspected and stickers have been issued."
569,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานมาสี คู่ร่วมธุรกิจไม่ปฏิบัติตามมาตราการ JSA โดยไม่สวมใส่ MASK ป้องกันกลิ่นและไม่สวมใส่ถุงมือและไม่มีแว่นตาครอบแว่นสายตา,Check to find work at Marsi Business partners do not comply with the JSA without wearing an anti-odor mask and without gloves and without eyeglasses.
570,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ คู่ร่วมธุรกิจ TSP ขัดพื้น พบไม่สวมใส่ PPE ตามที่ Permit To Work และ JSA กำหนด MASK แว่นตา ป้องกันอันตรยจากการทำงาน,"Investigated, TSP business partner scrubbed the floor, found not wearing PPE according to Permit To Work and JSA. MASK goggles to prevent danger from work."
571,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ไม่ได้ตรวจสอบนั่งร้านประจำสัปดาห์ ( หมดตั้งแต่วันที่ 6/9/65 ),Not checking scaffolding weekly ( sold out from 6/9/65 )
572,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,"พบมีการใช้งานเอกสารแต่เป็นฟอร์มเก่า
       (SE-F-0213 )","Found that the document is in use but it is an old form.
       (SE-F-0213 )"
573,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบบันไดที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,A ladder that has been used has not been inspected.
574,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,พบมีการขึ้นด้านบนเพื่อแขวนสลิง แต่ไม่มีเอกสารงานที่สูงประกอบ Work,It was found that there was a sling to hang on top. But there is no high work document to accompany Work.
575,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ Lock ไม่ครบ ( ขาด No. 11No.12 ),"There are details in the document, but the lock is not complete (missing No. 11No.12 )"
576,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,พบมีการปืดกั้นพื้นที่แต่ไม่มีป้ายชี้บ่ง,"Found a blockade of the area, but there is no sign to indicate."
577,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,พบอุปกรณ์ที่นำมาใช้งานไม่ผ่านการตรวจสภาพ,Found a device that has not passed the condition check.
578,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,มีการลงรายละเอียดในเอกสารแต่ลูกกุญแจ Lock ไม่ครบ ,"There are details in the document, but the lock is not complete."
579,LLDPE,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบงานหุ้ม Insulation โดยคู่ร่วมธุรกิจกำลังยาแนวด้วย Silicone ไม่สวมใส่ MASK ป้องกันอันตรายจากสารละเหยที่เป็นกรด จาก Silicone ตรวจสอบ JSA ไม่มีระบุไว้,"Inspected insulation work by business partners who are grouting with silicone, not wearing MASK, preventing harm from acidic solvents from silicone, checking JSA, not specified."
580,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีเอกสารบันทึกผลตรวจร่างกายเบื้องตัน,There is no document to record the results of the final medical examination.
581,Warehouse Site 3,Unknown,Unknown,Near Miss,Unknown,พบนั่งร้าน Mobile ปิดกั้นพื้นที่ไม่ครอบคลุม อาจทำให้เกิดอุบัติเหตุการเฉี่ยวชนจากรถที่วิ่งบริเวณนั้นได้,"Mobile scaffolding was found blocking the area not covered. May cause accidents, collisions from cars that run around that area."
