FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
3115,Olefins2,P-S305A,KEC,Unsafe Condition,Work at height,งาน Clean Oil ช่างทำงานบนท่อสูง 3 m. ,1,งาน clean oil ช่างทำงานบนท่อสูง 3 m.,"Clean oil work. The mechanic works on the pipe, 3 m high."
3119,OSBL,M-5B,PROTECH,Unsafe Action,Others,ใส่ Insulation ในถุงดำเพื่อนำเข้าไปใช้งานด้านใน Plant,1,ใส่ insulation ในถุงดำเพื่อนำเข้าไปใช้งานด้านใน plant,Put insulation in a black bag to be used inside the plant.
3120,COLD,E-605A,HDS,Unsafe Condition,Water jet,ท่อสายยางน้ำทิ้งรั่วลงพื้น,1,ท่อสายยางน้ำทิ้งรั่วลงพื้น,The water hose leaks onto the floor.
3122,HOT,H-100B,RNC,Unsafe Action,Hot Work,ไม่จัดเก็บเศษวัสดุจากงานเชื่อม,1,ไม่จัดเก็บเศษวัสดุจากงานเชื่อม,Do not store scraps from welding work.
1818,TFU,Interpipe,ACE,Unsafe Condition,Work at height,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์ที่ใช้งาน,5,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์ที่ใช้งาน,There is no rope attached to the device in use.
3126,HOT,H-100B,RNC,Unsafe Condition,Tools & Equipment,อุปกรณ์ไม่ได้ใช้งาน ไม่ได้ update tag inspection,1,อุปกรณ์ไม่ได้ใช้งาน ไม่ได้ update tag inspection,The device is not in use. Cannot update tag inspection.
3128,UT,PR-O21,MOC (OPE),Near Miss,Process & Operation,ที่บริเวณบน Pipe Rack Tie-in U2. มีท่อน้ำ Line TW. รั่วอยู่ Safety Fo. จึงทำการปีนบันไดเพื่อขึ่นไปดูจุดรั้วไหลของท่อน้ำ เมือปีนไปยืนบน Grating Pipe Rack ชั้น 10 เมตร ก็พอว่า เกิดการยุบตัวของ Grating ที่ยืนอยู่จึงทำตกใจอย่างแรง เมือสังเกตุดูก็พบว่า Grating หลุด ออกจาก Support Pipe Rack และ มือเสือตัวยึด Grating ก็ไม่ได้จับยึดอยู่ในสภาพที่หลวม,1,ที่บริเวณบน pipe rack tie-in u2. มีท่อน้ำ line tw. รั่วอยู่ safety fo. จึงทำการปีนบันไดเพื่อขึ่นไปดูจุดรั้วไหลของท่อน้ำ เมือปีนไปยืนบน grating pipe rack ชั้น 10 เมตร ก็พอว่า เกิดการยุบตัวของ grating ที่ยืนอยู่จึงทำตกใจอย่างแรง เมือสังเกตุดูก็พบว่า grating หลุด ออกจาก support pipe rack และ มือเสือตัวยึด grating ก็ไม่ได้จับยึดอยู่ในสภาพที่หลวม,"At the area on the pipe rack tie-in u2., there is a water pipe line tw., safety fo., so climb the stairs to go up to see the fence point of the water pipe. When I climbed to stand on the grating pipe rack at the 10-meter level, it was enough that the standing grating collapsed, so I was very shocked. On observation it was found that the grating had detached from the support pipe rack and that the grating handle was not held loose."
3129,UT,PR-O21,MOC (OPE),HNM,Work at height,แผ่น Grating หักตามแนวเชื่อมและ ไม่ได้วางบน Support ที่ระดับความสูงประมาณ 16 เมตร,1,แผ่น grating หักตามแนวเชื่อมและ ไม่ได้วางบน support ที่ระดับความสูงประมาณ 16 เมตร,The grating plate was broken along the weld and was not placed on a support at a height of approximately 16 m.
855,Bagging Site1,-,-,Unsafe Condition,-,ตรวจสอบพบงานเชื่อมพบ Fire Watch และ ผู้ช่วยช่าง ไม่สวมใส่ MASK ป้องกันฟูมงานเชื่อมและพบ Grander ไม่ใส่ Handle ,1,ตรวจสอบพบงานเชื่อมพบ fire watch และ ผู้ช่วยช่าง ไม่สวมใส่ mask ป้องกันฟูมงานเชื่อมและพบ grander ไม่ใส่ handle,Welding inspection found that fire watch and technician's assistant were not wearing masks to prevent welding fume and found that the grander was not wearing a handle.
3139,HOT,H-100B,RNC,Unsafe Condition,Work at height,ช่องเปิดไม่มี Toe-Board บริเวณ Cover U-Bend Cross over#4,1,ช่องเปิดไม่มี toe-board บริเวณ cover u-bend cross over4,Opening without toe-board cover area u-bend cross over4
3140,HOT,H-100B,RNC,Unsafe Condition,Work at height,Grating ชั้น 7 ไม่ได้ Lock,1,grating ชั้น 7 ไม่ได้ lock,grating floor 7 not lock
3141,UT,PR-7B,ECE,Unsafe Condition,Electrical & Grounding,ไม่มีกุญแจ lock ตู้ Panel,1,ไม่มีกุญแจ lock ตู้ panel,no key lock panel cabinet
3144,HOT,H-100B,RNC,Unsafe Action,PTW & JSA,ไม่ได้ประเมินความเสี่ยงงานสาวรอกดึงสายไฟ HOT-CH-005,1,ไม่ได้ประเมินความเสี่ยงงานสาวรอกดึงสายไฟ hot-ch-005,Did not assess the risk of wire pulling work hot-ch-005
3146,HOT,H-100B,RNC,Unsafe Action,SL Performance,ไม่มี SL ดูแลงานดึงสาวรอก HOT-CH-005,1,ไม่มี sl ดูแลงานดึงสาวรอก hot-ch-005,No sl take care of pulling hoist girls hot-ch-005
2168,UT,Boiler A,HRI,Unsafe Condition,Work at height,วางน็อตไว้บนคาน Beam มีโอกาสร่วงหล่นได้,1,วางน็อตไว้บนคาน beam มีโอกาสร่วงหล่นได้,"Put the nut on the beam, there is a chance to fall."
3149,HOT,H-100B,RNC,Unsafe Action,PPE,แต่งกายไม่รัดกุมขณะทำงาน HW I HOT-CH-004,1,แต่งกายไม่รัดกุมขณะทำงาน hw i hot-ch-004,dress inconcise while working hw i hot-ch-004
3151,HOT,H-100B,RNC,Unsafe Condition,Installation/ Alignment,งานเปิดฝา Top TLE ชั้น6 เพื่อ clean ฝา ไม่มีการนำ Stand 3 ขามาใช้งาน,1,งานเปิดฝา top tle ชั้น6 เพื่อ clean ฝา ไม่มีการนำ stand 3 ขามาใช้งาน,Opening the top tle lid on the 6th floor to clean the lid without using the 3-legged stand.
3152,UT,New Clarify,ATP,Near Miss,Civil,เหล็กเส้นที่กำลังทำการผูกผนังบ่อล้ม ไม่มีผู้ได้รับบาดเจ็บและไม่มีทรัพย์สินเสียหาย,1,เหล็กเส้นที่กำลังทำการผูกผนังบ่อล้ม ไม่มีผู้ได้รับบาดเจ็บและไม่มีทรัพย์สินเสียหาย,The rebar that was being used to bind the wall of the falling well. There were no injuries and no property damage.
3153,UT,PR-7B,MOC (OPE),Unsafe Condition,Process & Operation,Stopper Line High Pressure Steam มีลักษณะเอียง,1,stopper line high pressure steam มีลักษณะเอียง,The stopper line high pressure steam is slanted.
3154,OSBL,CCB,-,Near Miss,Others,รถเฉี่ยวชนที่ลานจอดรถ,1,รถเฉี่ยวชนที่ลานจอดรถ,Car crashes in the parking lot
3157,UT,P-S2400C,REPCO (IE),Unsafe Action,LOTO/ LB,ไม่ได้แขวน Tag ที่ Switch,1,ไม่ได้แขวน tag ที่ switch,Didn't hang tag on switch
2093,HOT,H-100G,RNC,Unsafe Condition,Scaffolding,แผ่น plate รองนั่งร้านอยู่ปลายตีนเป็ด ทำให้น้ำหนักไม่ balance บน grating,10,แผ่น plate รองนั่งร้านอยู่ปลายตีนเป็ด ทำให้น้ำหนักไม่ balance บน grating,The plate supporting the scaffolding is at the end of the foot. causing the weight to be unbalanced on the grating
2198,HOT,D-940,WTM,Unsafe Condition,Housekeeping,วางกระบอกใส่น้ำดื่มบนอุปกรณ์ Plant,1,วางกระบอกใส่น้ำดื่มบนอุปกรณ์ plant,Place the drinking water bottle on the plant equipment.
3165,COLD,Line drain Inlet PSA From SC,MOC (OPE),Near Miss,Process & Operation,log sheet & plant monitoring แล้วพบว่า line drain B/V line H2 Inlet PSA Vibration,1,log sheet & plant monitoring แล้วพบว่า line drain b/v line h2 inlet psa vibration,log sheet & plant monitoring found line drain b/v line h2 inlet psa vibration
3166,OSBL,Contractor Village,Pichit P.,Unsafe Condition,Housekeeping,พิจารณาเพิ่มจำนวนถังขยะให้เพียงพอบริเวณจุดพัก เพื่อลดปริมาณขยะที่ทิ้งลงพื้น ป้องกันการปลิวเข้าไปด้านใน Plant,1,พิจารณาเพิ่มจำนวนถังขยะให้เพียงพอบริเวณจุดพัก เพื่อลดปริมาณขยะที่ทิ้งลงพื้น ป้องกันการปลิวเข้าไปด้านใน plant,Consider increasing the number of bins sufficiently around rest areas. to reduce the amount of waste dumped on the floor Prevent blowing into the plant.
3167,HOT,H-100F,RNC,Unsafe Condition,Others,ใช้ลวดมัด Header Beam (ชั้น 4),1,ใช้ลวดมัด header beam ชั้น 4,Use wire to tie the header beam on the 4th floor.
3410,HOT,H-100D,RNC,Unsafe Condition,Work at height,ไม่ได้ติดตั้ง Hard Barricade ที่ชั้น 7 บริเวณช่องเปิด Handrail,1,ไม่ได้ติดตั้ง hard barricade ที่ชั้น 7 บริเวณช่องเปิด handrail,The hard barricade is not installed on the 7th floor around the handrail opening.
3063,HOT,H-100B,RNC,Unsafe Action,Work at height,ขึ้นทำงานบนนั่งร้านที่มีสภาพไม่พร้อมใช้งาน และไม่มี Tag แดงแขวน,1,ขึ้นทำงานบนนั่งร้านที่มีสภาพไม่พร้อมใช้งาน และไม่มี tag แดงแขวน,Work on scaffolding that is in unusable condition and does not have a red tag hanging.
2831,UT,Clarify,ATP,Unsafe Condition,Civil,งานเข้าแบบผูกเหล็กเตรียมเทปูน ไม่มีถังดับเพลิง Stand by ที่หน้างาน,1,งานเข้าแบบผูกเหล็กเตรียมเทปูน ไม่มีถังดับเพลิง stand by ที่หน้างาน,"Entry work, tying steel, preparing to pour cement There is no stand by fire extinguisher at the venue."
3172,HOT,H-100F,RNC,Unsafe Action,Work at height,เดินบนคาน Beam มีโอกาสเสี่ยงตกลงมาได้,1,เดินบนคาน beam มีโอกาสเสี่ยงตกลงมาได้,Walking on the beam has a chance to fall.
3179,HOT,H-100F,REPCO (MES),Unsafe Action,SL Performance,Safety Lead REPCO (MES) ไม่มี Sticker งาน IRIS >> ให้ช่าง INDT ดูงานแทน,1,safety lead repco mes ไม่มี sticker งาน iris >> ให้ช่าง indt ดูงานแทน,"safety lead repco mes, no sticker, iris work >> let technician indt look at work instead"
2487,UT,F-2400,RSP,Unsafe Condition,Electrical & Grounding,มีสายไฟฟ้าออกจากตัว switch เปิดปิดของ Blower,1,มีสายไฟฟ้าออกจากตัว switch เปิดปิดของ blower,There is an electrical wire coming out of the blower on/off switch.
3183,UT,PR-7B,ECE,Near Miss,Lifting,วิทยุสื่อสารที่ใช้ในการให้สัญญาณเครนเครื่อข่ายล่ม และไม่สามารถให้สัญญาณมือได้ เนื่องจากเป็นจุดอับ,1,วิทยุสื่อสารที่ใช้ในการให้สัญญาณเครนเครื่อข่ายล่ม และไม่สามารถให้สัญญาณมือได้ เนื่องจากเป็นจุดอับ,Radio communications used to signal network crane failures. and unable to give hand signals because it is a dead point
3185,HOT,H-100F,RNC,Unsafe Condition,Housekeeping,พบคราบโคลนตามพื้น จากงานถอดถาดรองตอนทำ IRIS,1,พบคราบโคลนตามพื้น จากงานถอดถาดรองตอนทำ iris,found mud stains on the floor from the work of removing the tray while making iris
3186,HOT,H-100F,RNC,Unsafe Action,PTW & JSA,"Safety Lead งานคว้าน Tube Pass3,4 ไม่ได้ลงชื่อใน PTW (กะดึก)",1,"safety lead งานคว้าน tube pass3 , 4 ไม่ได้ลงชื่อใน ptw กะดึก","safety lead boring tube pass3 , 4 unsigned in ptw night shift"
3380,HOT,H-100D,RNC,Unsafe Condition,Work at height,ยังไม่มีการติดตั้ง Hard Barricade ที่ ชั้น4,6,ยังไม่มีการติดตั้ง hard barricade ที่ ชั้น4,The hard barricade has not yet been installed on the 4th floor.
3190,HOT,H-100F,RNC,Unsafe Condition,Scaffolding,มีการทำงานซ้ำซ้อนกันของงานติดตั้งนั่งร้านบริษัท BMC และ RNC (Line of fire),1,มีการทำงานซ้ำซ้อนกันของงานติดตั้งนั่งร้านบริษัท bmc และ rnc line of fire,There is a redundancy of bmc scaffolding installation work and rnc line of fire.
3196,HOT,H-100F,REPCO (MES),Unsafe Action,SL Performance,"HOT-CH-005, 006 งานเจาะกลึง Tube Sheet TLE ช่าง PROTECH ลงชื่อตำแหน่ง Safety Lead ซ้ำกัน 2 ชั้น (ชั้น 4,6)",1,"hot-ch-005 , 006 งานเจาะกลึง tube sheet tle ช่าง protech ลงชื่อตำแหน่ง safety lead ซ้ำกัน 2 ชั้น ชั้น 4 , 6","hot-ch-005 , 006 lathe drilling tube sheet tle mechanic protech sign position safety lead duplicate 2 layers 4 , 6"
3200,HOT,H-100F,RNC,Unsafe Condition,Lifting,Tag ป.ปลาหลุดและยังไม่ได้เปลี่ยน Sticker เป็นเดือนมิถุนายน,1,tag ป.ปลาหลุดและยังไม่ได้เปลี่ยน sticker เป็นเดือนมิถุนายน,tag Por. The fish is loose and hasn't changed the sticker to June.
1079,Olefins2,H-S120A,WTM,Unsafe Action,PPE,ผู้ปฏิบัติงานสวมใส่แว่นตาดำขณะรื้อนั่งร้านเวลากลางคืน,1,ผู้ปฏิบัติงานสวมใส่แว่นตาดำขณะรื้อนั่งร้านเวลากลางคืน,Operators wear dark glasses while dismantling scaffolding at night.
3304,HOT,H-120R,REPCO (MES),Unsafe Action,PTW & JSA,งานยกถุง Big Bag ข้ามอุปกรณ์ Plant เปิด Work เป็นความเสี่ยงต่ำ,1,งานยกถุง big bag ข้ามอุปกรณ์ plant เปิด work เป็นความเสี่ยงต่ำ,"Lifting big bags across plant equipment, opening work is low risk."
3204,HOT,H-100F,RNC,Unsafe Condition,Housekeeping,วางเหล็กกีดขวางทางเดิน มีโอกาสเดินสะดุดล้มได้,1,วางเหล็กกีดขวางทางเดิน มีโอกาสเดินสะดุดล้มได้,Place an iron barricade There is a chance to stumble and fall.
442,Bagging Site3,-,-,Unsafe Condition,-,นั่งร้านไม่มี Tag แขวน,88,นั่งร้านไม่มี tag แขวน,scaffolding without hanging tags
3207,HOT,H-100F,RNC,Unsafe Condition,Work at height,งานดึง Tube Pass3 ไม่มีคอกกั้น,1,งานดึง tube pass3 ไม่มีคอกกั้น,pull tube pass3 work without stall
1206,HOT,Quench,WTM,Unsafe Action,Work at height,คล้องเกี่ยว safety harness ไว้กับจุดที่ไม่มั่นคงแข็งแรง,5,คล้องเกี่ยว safety harness ไว้กับจุดที่ไม่มั่นคงแข็งแรง,Attach a safety harness to an unstable place.
3212,UT,PR-7B,ECE,Unsafe Condition,Work at height,วางตู้เชื่อมไว้บนคานปูน,1,วางตู้เชื่อมไว้บนคานปูน,Place the welding cabinet on the cement beam.
3215,HOT,H-100F,MOC (OPE),Unsafe Condition,Environmental,ไฟแสงสว่างถนนด้านหน้าเตาและทางเดินขึ้นบันไดไม่ติด 3 ดวง,1,ไฟแสงสว่างถนนด้านหน้าเตาและทางเดินขึ้นบันไดไม่ติด 3 ดวง,3 street lights in front of the stove and the stairs leading up to the stairs do not light up.
3216,HOT,H-100F,RNC,Unsafe Condition,Lifting,ผูกมัดสลิงผ้าใบต่อกันเพื่อต๋งอุปกรณ์ >> เปลี่ยนเป็นคล้องกันไว้,1,ผูกมัดสลิงผ้าใบต่อกันเพื่อต๋งอุปกรณ์ >> เปลี่ยนเป็นคล้องกันไว้,Bind the canvas sling together for the equipment strap >> Change to the lanyard
3217,UT,New Clarify,ATP,Unsafe Condition,Tools & Equipment,ตะแกรงดักเขม่า Generater อุดตัน,1,ตะแกรงดักเขม่า generater อุดตัน,The soot collector sieve is clogged.
3220,HOT,H-100F,RNC,Unsafe Condition,Others,เชือกที่นำเข้ามาใช้งานพับเก็บไว้กับ Pipe มีลักษณะเป็นขุย >> เปลี่ยนเส้นใหม่,1,เชือกที่นำเข้ามาใช้งานพับเก็บไว้กับ pipe มีลักษณะเป็นขุย >> เปลี่ยนเส้นใหม่,The imported rope is folded and stored with the pipe. It looks flaky >> Change the new line.
3221,ARU,H-830,REPCO (EE),Near Miss,Others,ขณะเดิน Log sheet routine พบเห็นหลอดไฟที่ H-830 ไม่ติดสักดวงเดียว,1,ขณะเดิน log sheet routine พบเห็นหลอดไฟที่ h-830 ไม่ติดสักดวงเดียว,"While walking the log sheet routine, not a single light bulb at h-830 didn't turn on."
68,PP1,-,-,Unsafe Condition,-,มีกองนั่งร้านวางอยู่ตรงจุดที่ยืนปฏิบัติงาน ซึ่งเมื่อขึ้นไปยืนอาจทำใหลื่นล้มได่ ( ไม่ได้ประเมินอันตรายพื้นที่ปฏิบัติงาน )และไม่ได้ลงข้อมูลตรวจสอบมาตรการป้องกันความปลอดภัย,4,มีกองนั่งร้านวางอยู่ตรงจุดที่ยืนปฏิบัติงาน ซึ่งเมื่อขึ้นไปยืนอาจทำใหลื่นล้มได่  ไม่ได้ประเมินอันตรายพื้นที่ปฏิบัติงาน และไม่ได้ลงข้อมูลตรวจสอบมาตรการป้องกันความปลอดภัย,There is a pile of scaffolding placed at the point where the worker stands. which when standing up may cause slipping Did not assess the hazards of the work area. And did not post information to verify safety measures
3230,HOT,H-100F,RNC,Unsafe Condition,Tools & Equipment,ใช้ Spotlight ที่อยู่ในสภาพชำรุด,1,ใช้ spotlight ที่อยู่ในสภาพชำรุด,Use a spotlight that is in a damaged state.
3232,HOT,H-100F,RNC,Unsafe Condition,Lifting,ใช้ตะขอรอกต๋งเกี่ยวชิ้นงานไม่ปลอดภัย >> นำ Eye bolt มาใส่,1,ใช้ตะขอรอกต๋งเกี่ยวชิ้นงานไม่ปลอดภัย >> นำ eye bolt มาใส่,Unsafe to hook the workpiece with the pulley hook >> put the eye bolt on
3233,HOT,H-100F,RNC,Unsafe Condition,Lifting,Tolley Beam ชั้น 4 ไม่ได้ติดตั้ง Stopper,1,tolley beam ชั้น 4 ไม่ได้ติดตั้ง stopper,The tolley beam 4th floor is not equipped with a stopper.
3234,HOT,H-120R,RNC,Unsafe Condition,Housekeeping,วางถุง Big Bag ที่ใส่ Insulation ทิ้งไว้ กีดขวางทางเดินข้ามจาก Furnace ไป Quench Area,1,วางถุง big bag ที่ใส่ insulation ทิ้งไว้ กีดขวางทางเดินข้ามจาก furnace ไป quench area,"Leave the big bag filled with insulation, obstructing the passage from the furnace to the quench area."
3235,HOT,H-100F,RNC,Unsafe Condition,Transportation,รถเทรลเลอร์ขน Coil เบี่ยงเกือบชนเสาไฟข้างถนน,1,รถเทรลเลอร์ขน coil เบี่ยงเกือบชนเสาไฟข้างถนน,The coil-carrying trailer nearly smashed into a lamp post on the side of the road.
1806,Olefins2,P2,TNE,Unsafe Condition,Insulation,จุดที่ติดตั้งนั่งร้าน ไม่ตรงกับจุดที่ปฏิบัติงาน ทำให้ผู้ปฏิบัติงานมีการเอี้ยวตัว เสี่ยงต่อการตกจากที่สูง,2,จุดที่ติดตั้งนั่งร้าน ไม่ตรงกับจุดที่ปฏิบัติงาน ทำให้ผู้ปฏิบัติงานมีการเอี้ยวตัว เสี่ยงต่อการตกจากที่สูง,scaffolding installation point does not correspond to the point of operation Causing the worker to have a twist risk of falling from a height
3239,UT,PR-7B,Theerapong S.,Unsafe Condition,Others,Support รองรับคานปูนแตกร้าว,1,support รองรับคานปูนแตกร้าว,support for cracked cement beams
3240,UT,New Clarify,ATP,Unsafe Condition,Others,มองไม่เห็นเหล็กฉากป้องกันสาย Ground ที่วางพาดถนนมีโอกาสเสี่ยงเดินสะดุดล้มได้,1,มองไม่เห็นเหล็กฉากป้องกันสาย ground ที่วางพาดถนนมีโอกาสเสี่ยงเดินสะดุดล้มได้,Can't see the steel bracket to protect the ground line that is placed across the road. There is a risk of walking and falling.
2779,OCU,E-711,WTM,Unsafe Action,Scaffolding,งานแก้ไขนั่งร้านยืนเหยียบอุปกรณ์ Plant,14,งานแก้ไขนั่งร้านยืนเหยียบอุปกรณ์ plant,"Scaffolding work, stand, step on plant equipment"
3245,Olefins2,CT-S300,Tawat T.,Near Miss,Others,ขณะที่ FO. Routine check sheet ตามปกติได้พบแผ่นเหล็กปิดรางสายไฟฟ้าข้างอาคาร CT-S300 ตัวยึดหลุดออกจาก Support (ขอบของแผ่นเหล็กปิดรางสายไฟฟ้ามีลักษณะค่อนข้างบางและคมอีกทั้งตัวยึดแผ่นเหล็กหัวท้าย ฝั่งนึงหลุดออกจาก Support อีกด้วย) ซึ่งในปัจจุบันบริเวณดังกล่าวมีงานตั้งนั่งร้านเดินท่อเคมีบริเวณใต้จุดเกิดเหตุซึ่งมีผู้รับเหมาเข้ามาทำงานค่อนข้างมาก  ส่งผลทำให้มีความเสี่ยงที่แผ่นเหล็กจะหลุดออกจาก Support และตกลงมาโดนผู้ปฏิบัติงานด้านล่างได้รับบาดเจ็บ,1,ขณะที่ fo. routine check sheet ตามปกติได้พบแผ่นเหล็กปิดรางสายไฟฟ้าข้างอาคาร  ตัวยึดหลุดออกจาก support ขอบของแผ่นเหล็กปิดรางสายไฟฟ้ามีลักษณะค่อนข้างบางและคมอีกทั้งตัวยึดแผ่นเหล็กหัวท้าย ฝั่งนึงหลุดออกจาก support อีกด้วย ซึ่งในปัจจุบันบริเวณดังกล่าวมีงานตั้งนั่งร้านเดินท่อเคมีบริเวณใต้จุดเกิดเหตุซึ่งมีผู้รับเหมาเข้ามาทำงานค่อนข้างมาก ส่งผลทำให้มีความเสี่ยงที่แผ่นเหล็กจะหลุดออกจาก support และตกลงมาโดนผู้ปฏิบัติงานด้านล่างได้รับบาดเจ็บ,"while the fo. The bracket comes off from the support, the edge of the electrical cable duct cover is quite thin and sharp. One side fell off the support as well, which at present, there is a scaffolding job under the accident site where quite a lot of contractors come to work. As a result, there is a risk that the steel plate will fall off its support and fall and injure the operator below."
2306,TFU,TK-1010B,NCN,Unsafe Condition,Scaffolding,ช่องเปิดนั่งร้านด้านหน้า manhole,2,ช่องเปิดนั่งร้านด้านหน้า manhole,scaffolding opening in front of the manhole
3256,HOT,H-100F,RNC,Unsafe Condition,Transportation,ใช้ไม้ลังทำเป็น Rack ป้องกันของตก,1,ใช้ไม้ลังทำเป็น rack ป้องกันของตก,Use crates as a rack to prevent things from falling.
2732,HOT,H-100A,REPCO (PDM),Unsafe Condition,CSE,ไม่มีป้ายเตือนอันตรายที่อับอากาศ ด้านหน้า Manhole ของ Steam Drum,2,ไม่มีป้ายเตือนอันตรายที่อับอากาศ ด้านหน้า manhole ของ steam drum,No confined hazard warning sign in front of steam drum manhole
3264,HOT,H-100F,RNC,Unsafe Action,Work at height,RNC สวมใส่ Safety Harness ไม่ครบ,1,rnc สวมใส่ safety harness ไม่ครบ,rnc missing safety harness
3263,HOT,H-100F,RNC,Unsafe Condition,Tools & Equipment,RNC ป ปลา ไม่มีสติ๊กเกอร์,1,rnc ป ปลา ไม่มีสติ๊กเกอร์,rnc p fish no sticker
3265,HOT,H-100F,RNC,Unsafe Action,Work at height,RNC ทำงานใกล้ช่องเปิด,1,rnc ทำงานใกล้ช่องเปิด,rnc works near the opening
3266,HOT,H-100F,RNC,Unsafe Action,Work at height,RNC ผู้หญิงทำงานบนที่สูง > 10m,1,rnc ผู้หญิงทำงานบนที่สูง > 10m,rnc Women working at heights > 10m
1791,Olefins2,PR-27,TTCL,Unsafe Condition,Scaffolding,แผ่นนั่งร้านที่วางสำหรับเป็นจุดยืนส่งอุปกรณ์ไม่ได้ผูกมัดและวาง 2 แผ่น,6,แผ่นนั่งร้านที่วางสำหรับเป็นจุดยืนส่งอุปกรณ์ไม่ได้ผูกมัดและวาง 2 แผ่น,2 scaffolding slats placed for equipment delivery stand unbound and placed
3269,Olefins2,P-S420AB,MOC (OPE),Near Miss,Others,พบมีน้ำขังและมีตะไคร่น้ำจำนวนมากและจุดนั้นเป็นจุดที่ต้องทำงานทุกวันอาจทำให้เกิดอุบัติเหตุได้,1,พบมีน้ำขังและมีตะไคร่น้ำจำนวนมากและจุดนั้นเป็นจุดที่ต้องทำงานทุกวันอาจทำให้เกิดอุบัติเหตุได้,"Found that there is water and a lot of moss and that point is where you have to work every day, which can cause accidents."
3271,HOT,H-100F,Texplore,Unsafe Action,CSE,Texplore สติ๊กเกอร์ทำงานอับอากาศ สีชมพู มาจากไซต์ 1 (มีหลักฐานอบรมยืนยันหน้างานแล้ว),1,texplore สติ๊กเกอร์ทำงานอับอากาศ สีชมพู มาจากไซต์ 1 มีหลักฐานอบรมยืนยันหน้างานแล้ว,"texplore, pink stickers for confined work, come from site 1, there is evidence of on-site training."
3272,HOT,H-100F,RNC,Unsafe Condition,Housekeeping,พื้นที่ทำงานบนเตา F ชั้น 4 ด้านบนพบเศษกระดาษกาว พลาสติก ขวดน้ำ ต่างๆทิ้งไว้ ไม่มีการจัดเก็บ 5 ส ประจำวัน,1,พื้นที่ทำงานบนเตา f ชั้น 4 ด้านบนพบเศษกระดาษกาว พลาสติก ขวดน้ำ ต่างๆทิ้งไว้ ไม่มีการจัดเก็บ 5 ส ประจำวัน,"Working area on the stove f, 4th floor above found scraps of glue paper, plastic, water bottles left behind. No daily 5S storage."
3275,HOT,H-100F,RNC,Unsafe Condition,Insulation,Jacket Insulation ไม่ได้ทำการผูกมัด,1,jacket insulation ไม่ได้ทำการผูกมัด,jacket insulation is not bonded
3276,ARU,TV-8611A ,REPCO (IE),Near Miss,Process & Operation,Deviation Alarm บ่อยครั้งได้ทำการตรวจสอบพบว่าเปอร์เซนต์ MV DCS กับหน้างานไม่เท่ากันและได้แจ้งให้ ทาง IE เข้ามาตรวจสอบเพิ่มเติมพบว่าที่ terminal Box ของ positioner ของ TV-8611A มีน้ำเข้า,1,deviation alarm บ่อยครั้งได้ทำการตรวจสอบพบว่าเปอร์เซนต์ mv dcs กับหน้างานไม่เท่ากันและได้แจ้งให้ ทาง ie เข้ามาตรวจสอบเพิ่มเติมพบว่าที่ terminal box ของ positioner ของ tv-8611a มีน้ำเข้า,Deviation alarm often found that the mv dcs percentage is not equal to the work site and informed the ie to investigate further and found that the terminal box of the tv-8611a positioner has water.
3278,HOT,H-100F,RNC,Unsafe Condition,Work at height,นั่งร้านหน้าเตา บันไดมีลักษณะชำรุดและปีกผีเสื้อหลวม แก้ไขเรียบร้อย,1,นั่งร้านหน้าเตา บันไดมีลักษณะชำรุดและปีกผีเสื้อหลวม แก้ไขเรียบร้อย,scaffolding in front of the stove The stairs look worn out and the butterfly wings are loose. fixed
1230,Olefins2,Compressor,TNE,Unsafe Action,Insulation,"ผู้ปฏิบัติงานรื้อ Insulation สวมใส่ถุงมือผิดประเภทและใช้แว่นสายตา
",1,"ผู้ปฏิบัติงานรื้อ insulation สวมใส่ถุงมือผิดประเภทและใช้แว่นสายตา
",Workers dismantling insulation were wearing the wrong type of gloves and were using eye glasses.
3282,HOT,H-100F,RNC,Unsafe Action,Hot Work,งานเชื่อมไฟฟ้าแผ่นพื้น Plate ผู้ปฏิบัติงานเข้าไปนั่งอยู่ในจุดงานเชื่อมรับควันฟูม ซึ่งอาจก่อให้เกิดอันตรายทั้งดวงตาและระบบทางเดินหายใจ,1,งานเชื่อมไฟฟ้าแผ่นพื้น plate ผู้ปฏิบัติงานเข้าไปนั่งอยู่ในจุดงานเชื่อมรับควันฟูม ซึ่งอาจก่อให้เกิดอันตรายทั้งดวงตาและระบบทางเดินหายใจ,Electric welding of slab plate. The operator sits in the welding area and receives the smoke. which may cause damage to both the eyes and the respiratory system
