No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
1954,ไม่มี Checklist ตรวจสอบ รถ Backhole,UT,Clarify,ATP,Unsafe Action,Excavation,ไม่มี checklist ตรวจสอบ รถ backhole,No checklist check car backhole
1955,งานยกไม่เป็นไปตาม Lifting plan (ต้นไม้หนักกว่า 3 ตัน แต่ประเมินน้ำหนักที่ 2 ตัน ทำให้ไม่สามารถทำงานยกได้ตาม load chart),UT,Clarify,ATP,Unsafe Action,Lifting,งานยกไม่เป็นไปตาม lifting plan (ต้นไม้หนักกว่า 3 ตัน แต่ประเมินน้ำหนักที่ 2 ตัน ทำให้ไม่สามารถทำงานยกได้ตาม load chart),"Lifting work is not in accordance with the lifting plan (the tree weighs more than 3 tons, but the weight is estimated at 2 tons, making it unable to do the lifting work according to the load chart)"
1956,4 ผู้ลงชื่อใน PTW แต่ไม่ได้ปฏิบัติงานตาม R&R,UT,Clarify,ATP,Unsafe Action,Lifting,"4 ผู้ลงชื่อใน ptw แต่ไม่ได้ปฏิบัติงานตาม r, r","4 who signed the ptw, but did not perform the tasks according to r, r"
1957,"ใบตัดหินเจียรที่ใช้ตัดเหล็กเส้น (4"") มีรอยบิ่น มีขนาดบางไม่เหมาะสมกับลักษณะชิ้นงาน ",UT,PIT-3060,ตะวัน,Unsafe Condition,Hot Work,"ใบตัดหินเจียรที่ใช้ตัดเหล็กเส้น (4"") มีรอยบิ่น มีขนาดบางไม่เหมาะสม, ลักษณะชิ้นงาน","Abrasive cutting disc used for cutting rebar (4"") has chipped marks, unsuitable size, workpiece characteristics."
1958,Modify นั่งร้านเพื่อยืนปฏิบัติงานด้านใน Fire Box ไม่ได้ผูกมัดลวด,HOT,H-100A,RNC,Unsafe Condition,Scaffolding,"modify นั่งร้าน, ยืนปฏิบัติงานด้านใน fire box ไม่ได้ผูกมัดลวด","modify scaffolding, standing work inside the fire box, not bound wire"
1959,สะเก็นไม่ได้ตรวจสอบและเปลี่ยนสีสติกเกอร์ประจำเดือน,UT,Clarify,ATP,Unsafe Action,Lifting,"สะเก็นไม่ได้ตรวจสอบ, เปลี่ยนสีสติกเกอร์ประจำเดือน","Unchecked flakes, menstrual sticker discoloration"
1960,Work permit ไม่ได้ Re-approve ก่อนเริ่มงานในช่วงบ่าย,UT,Clarify,ATP,Unsafe Action,PTW & JSA,work permit ไม่ได้ re-approve ก่อนเริ่มงานในช่วงบ่าย,work permit does not re-approve before starting work in the afternoon
1961,4 ผู้งานยก ไม่ได้แนบ Cert. (ใช้ Cert. เก่าของคนที่ทำงานวันเสาร์),UT,Clarify,ATP,Unsafe Action,Lifting,4 ผู้งานยก ไม่ได้แนบ cert. (ใช้ cert. เก่าของคนที่ทำงานวันเสาร์),4. Lift workers do not attach cert. (Use old cert. of people who work Saturday)
1962,"พบพวงมาลัย Valve pressure gauge line feed inlet pass 1,2 เบียดกับ Handrail ทำให้ไม่สามารถเปิด-ปิด valve ได้",HOT,H-100A,Jakapong P.,Unsafe Condition,Process & Operation,"พบพวงมาลัย valve pressure gauge line feed inlet pass 1 , 2 เบียด, h, rail ทำให้ไม่สามารถเปิด-ปิด valve ได้","Found steering valve pressure gauge line feed inlet pass 1 , 2 squeezes, h, rail, making it unable to open-close the valve."
1963,ไม่สวมใส่แว่น Goggle ขณะหุ้ม Insulation,HOT,H-100A,RNC,Unsafe Action,PPE,ไม่สวมใส่แว่น goggle ขณะหุ้ม insulation,Do not wear goggles while insulating.
1964,"เข้า CSE โดยที่ Safety Lead ยังไม่ได้เข้าพื้นที่ (ออกไปพัก), สอบถามแจ้งว่าเข้าไปรอด้านใน ยังไม่ได้เริ่มงาน",HOT,H-100A,VVP,Unsafe Action,CSE,"เข้า cse โดยที่ safety lead ยังไม่ได้เข้าพื้นที่ (ออกไปพัก) , สอบถามแจ้งว่าเข้าไปรอด้านใน ยังไม่ได้เริ่มงาน","Enter cse where the safety lead has not yet entered the area (going out to rest) , asked to inform that he went inside and waited. Haven't started work yet"
1965,Backhole ไม่มีตะแกรงครอบท่อ,UT,Clarify,ATP,Unsafe Condition,Excavation,backhole ไม่มีตะแกรงครอบท่อ,backhole without pipe cover
1966,มีการ Check VOCs Loop T-780  Check ทุกจุด จนถึงยอด T-780 แล้วได้กลิ่น Hydrocarbon จึงทำการใช้เครื่อง VOCs Check ค่า VOCs ปรากฏว่าได้ เครื่อง VOCs ตรวจจับค่า VOCs Over Range 5000+ ppm,OCU,T-780,MOC (OPE),Near Miss,Process & Operation,"มีการ check vocs loop t-780 check ทุกจุด จนถึงยอด t-780 แล้วได้กลิ่น hydrocarbon จึงทำการใช้เครื่อง vocs check ค่า vocs ปรากฏว่าได้ เครื่อง vocs ตรวจจับค่า vocs over range 5000, ppm","The vocs loop t-780 was checked at all points, up to the peak of t-780, and smelled hydrocarbon, then used the vocs machine to check the vocs value. The vocs machine detected vocs over range 5000, ppm."
1967,"ขณะทำการ Re Approve work งาน ติดตั้ง Insulation R-760B ช่วงบ่าย พบกลิ่น HC โชยมาเป็น ระยะ จึงทำการค้นหา จุด leak  พบหน้าแปลน 2'' line De-pressure to Quench R-760B (ตัวService ) VOC = 5,000 PPM จึง ใช้ประเจตี ขันอัด Stop จนอยู่ และให้ ผรม ทำงานได้ปกติ",OCU,R-760B,MOC (OPE),Near Miss,Process & Operation,"ขณะทำการ re approve work งาน ติดตั้ง insulation r-760b ช่วงบ่าย พบกลิ่น hc โชยมาเป็น ระยะ จึงทำการค้นหา จุด leak พบหน้าแปลน 2'' line de-pressure to quench r-760b (ตัวservice ) voc = 5 , 000 ppm จึง ใช้ประเจตี ขันอัด stop จนอยู่ , ให้ ผรม ทำงานได้ปกติ","While doing re approve work, installing insulation r-760b in the afternoon, found hc smell for a while, searched for leak point, found flange 2'' line de-pressure to quench r-760b (service body) voc = 5, 000 ppm, therefore, use Prajeet to tighten the compression, stop until it stays , allowing it to work normally"
1968,"งานเพิ่ม Pressure 0.550 kg/cm2 เป็น 1.000 kg/cm2 เพื่อช่วยดัน C8 จาก ROC ให้ไปที่ TK-3400 (Hot Section) จึงได้เปิดดู Set point alarm pressure (H, HH) สูงเกินค่า Pressure design โดยใน DCS set point alarm pressure high และ high high ของ D-851 ได้ set ไว้ที่ 4.000 kg/cm2 ค่าเดียวกันซึ่งสูงเกินค่า Pressure design D-851 คือ 3.500 kg/cm2",ARU,D-851,Kittikom K.,HNM,Process & Operation,"งานเพิ่ม pressure 0.550 kg, cm2 เป็น 1.000 kg, cm2 , ช่วยดัน c8 จาก roc ให้ไปที่ tk-3400 (hot section) จึงได้เปิดดู set point alarm pressure (h , hh) สูงเกินค่า pressure design โดยใน dcs set point alarm pressure high , high high ของ d-851 ได้ set ไว้ที่ 4.000 kg, cm2 ค่าเดียวกันซึ่งสูงเกินค่า pressure design d-851 คือ 3.500 kg, cm2","Work to increase the pressure 0.550 kg, cm2 to 1.000 kg, cm2 , help to push c8 from roc to tk-3400 (hot section), so we open the set point alarm pressure (h , hh) is higher than the pressure design value in dcs set point alarm pressure high , high high of d-851 was set to 4.000 kg, cm2. The same value which exceeds the pressure design d-851 is 3.500 kg, cm2."
1969,งานเข้าแบบผูกเหล็กเตรียมเทปูน ไม่มีถังดับเพลิง Stand by ที่หน้างาน,UT,Clarify,ATP,Unsafe Condition,Civil,"งานเข้าแบบผูกเหล็กเตรียมเทปูน ไม่มีถังดับเพลิง st, by ที่หน้างาน","Steel binding work. Prepare to pour cement. No fire extinguishers st, by on site"
1970,พบรังผึ้งขนาดใหญ่ด้านบน Pipe Rack (ปิดล้อมพื้นที่เรียบร้อย),COLD,P-540,Others,Unsafe Condition,Others,พบรังผึ้งขนาดใหญ่ด้านบน pipe rack (ปิดล้อมพื้นที่เรียบร้อย),A large honeycomb was found on top of the pipe rack (completely enclosed the area).
1971,รหัสของ PTW ไม่ตรงกับลักษณะงาน (HW II ขึ้นเป็น LC),Olefins2,PIT-S2400,e-PTW Team,Unsafe Action,PTW & JSA,"รหัสของ ptw ไม่ตรง, ลักษณะงาน (hw ii ขึ้นเป็น lc)","PTW code does not match, job description (hw ii becomes lc)"
1972,โหลดสารเคมี DMDS ไม่สวมใส่หน้ากากกันสารเคมี,HOT,D-006,UAC,Unsafe Action,Chemical Work,โหลดสารเคมี dmds ไม่สวมใส่หน้ากากกันสารเคมี,chemical load dmds do not wear a chemical mask
1973,ยางรถบรรทุกสารเคมีสภาพยางสึกค่อนข้างมาก (Sticker ตรวจสอบเรียบร้อย),HOT,D-006,UAC,Unsafe Condition,Chemical Work,ยางรถบรรทุกสารเคมีสภาพยางสึกค่อนข้างมาก (sticker ตรวจสอบเรียบร้อย),"Chemical truck tires, very worn condition (sticker checked)"
1974,คานนั่งร้านด้านล่างกีดขวางพื้นทางเดินมีโอกาสสะดุดล้ม,TFU,Fire Pump,WTM,Unsafe Condition,Scaffolding,คานนั่งร้านด้านล่างกีดขวางพื้นทางเดินมีโอกาสสะดุดล้ม,The scaffolding beams below obstruct the walkway and have a chance to trip and fall.
1975,งาน Install support coil ไม่มี JSA งาน install มีแต่ JSA สำหรับทำงานในที่อับอากาศ,HOT,H-100A,REPCO (MES),Unsafe Action,PTW & JSA,งาน install support coil ไม่มี jsa งาน install มีแต่ jsa สำหรับทำงานในที่อับอากาศ,install support coil job no jsa install job only jsa for working in confined spaces
1976,ไม่ได้ลงชื่อ JSA Talk,UT,Clarify,ATP,Unsafe Action,PTW & JSA,ไม่ได้ลงชื่อ jsa talk,unsigned jsa talk
1977,แนบ JSA ไม่ตรงกับกับงานที่ปฏิบัติ (งานยิงกล้องวัดระดับ),UT,Clarify,ATP,Unsafe Action,PTW & JSA,"แนบ jsa ไม่ตรง, , งานที่ปฏิบัติ (งานยิงกล้องวัดระดับ)","Attached jsa doesn't match, , executable task (Firing a camera to measure the level)"
1978,Safety Lead ไม่ได้ชี้บ่งอันตรายและสื่อสารให้ทีมงานรับทราบ,UT,Clarify,ATP,Unsafe Action,SL Performance,"safety lead ไม่ได้ชี้บ่งอันตราย, สื่อสารให้ทีมงานรับทราบ","safety lead does not indicate danger, communicates to the team"
1979,FO เจ้าของพื้นที่ Patrol check หน้างานพบ Foundation support line bypass TV-S319 damage,Olefins2,TV-S319,MOC (OPE),Near Miss,Process & Operation,fo เจ้าของพื้นที่ patrol check หน้างานพบ foundation support line bypass tv-s319 damage,fo the owner of the area patrol check the page found foundation support line bypass tv-s319 damage
1980,Carbon มีความร้อนสะสมขณะ Load Carbon,TFU,ZZ-1010A,KEC,Near Miss,Chemical Work,carbon มีความร้อนสะสมขณะ load carbon,Carbon accumulates heat while loading carbon.
1981,รถ Hiab ไม่มีไม้หนุนล้อ,HOT,D-203,REPCO (MES),Unsafe Condition,Lifting,รถ hiab ไม่มีไม้หนุนล้อ,The hiab has no wheel support.
1982,Rigger ไม่มีเอกสาร Certificate 4 ผู้แสดงที่หน้างาน,HOT,D-203,REPCO (MES),Unsafe Action,Lifting,rigger ไม่มีเอกสาร certificate 4 ผู้แสดงที่หน้างาน,rigger No document certificate 4 on-site display
1983,สลิงผ้าใบไม่มี Tag inspect ประจำเดือน,HOT,F-206B,REPCO (MES),Unsafe Action,Lifting,สลิงผ้าใบไม่มี tag inspect ประจำเดือน,Canvas sling without tag inspect monthly
1984,Rigger ไม่มีเอกสาร Certificate 4 ผู้แสดงที่หน้างาน,HOT,F-206B,REPCO (MES),Unsafe Action,Lifting,rigger ไม่มีเอกสาร certificate 4 ผู้แสดงที่หน้างาน,rigger No document certificate 4 on-site display
1985,ไม่มีป้ายชี้บ่งอันตราย,HOT,D-240,Jakapong P.,Unsafe Condition,Lifting,ไม่มีป้ายชี้บ่งอันตราย,no danger sign
1986,Rigger ไม่มีเสื้อสะท้อนแสงสีส้ม,HOT,D-240,Jakapong P.,Unsafe Action,Lifting,rigger ไม่มีเสื้อสะท้อนแสงสีส้ม,rigger no orange reflective jacket
1987,รถ Hiab ยกเครื่อง Electro static ลงมีแค่ป้ายวางด้านหน้า-หลังรถ ปิดล้อมพื้นที่ไม่ครอบคลุม,COLD,P-668,REPCO (MER),Unsafe Condition,Lifting,รถ hiab ยกเครื่อง electro static ลงมีแค่ป้ายวางด้านหน้า-หลังรถ ปิดล้อมพื้นที่ไม่ครอบคลุม,The hiab car has an electro static overhaul. There is only a sign on the front and back of the car. enclosing areas that are not covered
1988,Rigger สวมเสื้อสะท้อนแสงสีน้ำเงิน,COLD,P-668,REPCO (MER),Unsafe Action,Lifting,rigger สวมเสื้อสะท้อนแสงสีน้ำเงิน,The rigger wears a blue reflective vest.
1989,มีท่อยื่นออกมามากเกิน (โครงสร้าง Hot Box),UT,PIT-3060,PROTECH,Unsafe Condition,Housekeeping,มีท่อยื่นออกมามากเกิน (โครงสร้าง hot box),Excessive protrusion of pipe (hot box structure)
1990,นั่งร้านกีดขวางบันไดขึ้น-ลงบ่อ (แก้ไขโดยการทำสัญลักษณ์พันเทปดำเหลืองให้เห็นชัดเจนและให้กั้นพื้นที่กรณีมีการปฏิบัติงานบนนั่งร้าน),UT,PIT-3060,ตะวัน,Unsafe Condition,Scaffolding,"นั่งร้านกีดขวางบันไดขึ้น-ลงบ่อ (แก้ไขโดยการทำสัญลักษณ์พันเทปดำเหลืองให้เห็นชัดเจน, ให้กั้นพื้นที่กรณีมีการปฏิบัติงานบนนั่งร้าน)","Scaffolding blocks the stairs up and down the well. (Edited by making the symbols wrapped with yellow black tape clearly, to block the area in case of working on scaffolding)"
1991,กองอิฐปูนจากงาน Civil และเศษไม้เข้าแบบรอการขนย้ายออกจากพื้นที่ (รอเอกสารอนุมัติจากกนอ.),UT,PIT-3060,ตะวัน,Unsafe Condition,Housekeeping,"กองอิฐปูนจากงาน civil , เศษไม้เข้าแบบรอการขนย้ายออกจากพื้นที่ (รอเอกสารอนุมัติจากกนอ.)","A pile of bricks from civil work, wood chips waiting to be moved out of the area. (Waiting for approval from IEAT)"
1992,ทิ้งขวดน้ำไว้ระหว่างโครงสร้างนั่งร้าน,UT,PIT-3060,ตะวัน,Unsafe Condition,Scaffolding,ทิ้งขวดน้ำไว้ระหว่างโครงสร้างนั่งร้าน,Leave water bottles between the scaffolding structures.
1993,สืบเนื่องจาก case แม่บ้านถูกงูกัดที่ ROC สำรวจพื้นที่ พบวัชพืชและหญ้ารกบริเวณจุดที่ operate valve,UT,PR-7AB,MOC (GA),Unsafe Condition,Housekeeping,"สืบเนื่องจาก case แม่บ้านถูกงูกัดที่ roc สำรวจพื้นที่ พบวัชพืช, หญ้ารกบริเวณจุดที่ operate valve","As a result of the case, a housewife was bitten by a snake at roc. Surveyed the area, found weeds, overgrown grass at the point of operation valve."
1994,วางแผ่นนั่งร้านบนบันไดลิงเพื่อยืนส่งอุปกรณ์แผ่นเดียว,Olefins2,TE-S625,WTM,Unsafe Condition,Scaffolding,"วางแผ่นนั่งร้านบนบันไดลิง, ยืนส่งอุปกรณ์แผ่นเดียว","Place the scaffolding sheet on the monkey ladder, stand to deliver a single sheet of equipment."
1995,Work 1 ใบ ทำงานพร้อมกัน 2 จุด,HOT,"��ҧ�Ҥ�� Comp, Frace 1",REPCO (IE),Unsafe Action,PTW & JSA,work 1 ใบ ทำงานพร้อมกัน 2 จุด,"1 work, 2 work points at the same time"
1996,ไม่สวมแว่นตานิรภัยขณะทำงาน,UT,P-2400E,REPCO (MER),Unsafe Action,PPE,ไม่สวมแว่นตานิรภัยขณะทำงาน,Do not wear safety glasses while working.
1997,รอกที่ใช้ต๋งอุปกรณ์ไม่มี Sticker inspect (เจ้าของงานแจ้งว่าตรวจสอบแล้วแต่ไม่ได้นำสติกเกอร์มาติด),HOT,H-100A,RNC,Unsafe Condition,Lifting,รอกที่ใช้ต๋งอุปกรณ์ไม่มี sticker inspect (เจ้าของงานแจ้งว่าตรวจสอบแล้วแต่ไม่ได้นำสติกเกอร์มาติด),The hoist used for the equipment does not have a sticker inspect (the owner said that he inspected but did not bring a sticker to attach)
1998,Rigger ไม่มีเอกสาร Certificate 4 ผู้แสดงที่หน้างาน,COLD,E-605,REPCO (MES),Unsafe Action,Lifting,rigger ไม่มีเอกสาร certificate 4 ผู้แสดงที่หน้างาน,rigger No document certificate 4 on-site display
1999,มี Steam ใกล้จุดที่มีการปฏิบัติงาน Swing blind,COLD,E-605,REPCO (MES),Unsafe Condition,Installation/ Alignment,มี steam ใกล้จุดที่มีการปฏิบัติงาน swing blind,There is steam near the swing blind operation.
2000,ปิดล้อมพื้นที่ไม่ครอบคลุม,COLD,E-605,REPCO (MES),Unsafe Condition,Lifting,ปิดล้อมพื้นที่ไม่ครอบคลุม,enclosing areas that are not covered
2001,"ลงข้อมูลใน Lifting Plan ไม่ครบ (รายการคำนวณการยกช่องก่อนเริ่มงาน, หัวหน้า/ วิศวกรควบคุมงานไม่ได้ลงลายมือชื่อ)",HOT,H-100A,REPCO (MES),Unsafe Action,Lifting,"ลงข้อมูลใน lifting plan ไม่ครบ (รายการคำนวณการยกช่องก่อนเริ่มงาน , หัวหน้า, วิศวกรควบคุมงานไม่ได้ลงลายมือชื่อ)","Incomplete data entry in lifting plan (calculation list of lifting channels before starting work, supervisor, control engineer did not sign)"
2002,งานยกข้ามรางระบายน้ำเปิด Work เป็น LC,HOT,H-100A,REPCO (MES),Unsafe Action,PTW & JSA,งานยกข้ามรางระบายน้ำเปิด work เป็น lc,Lifting work across the open drain gutter work as lc
2003,เดิน patrol plant ARU พบ line Header LC-1 หลัง FAR#4 มีไอน้ำ condensate spray บริเวณกว้าง และเสียงดังเข้าไปสำรวจพบว่าตัว valve line drain LC-1 หลุดขาด,ARU,��ѧ FAR#4,UT,Near Miss,Process & Operation,"เดิน patrol plant aru พบ line header lc-1 หลัง far#4 มีไอน้ำ condensate spray บริเวณกว้าง , เสียงดังเข้าไปสำรวจพบว่าตัว valve line drain lc-1 หลุดขาด","Walking patrol plant aru found line header lc-1 behind far#4, there is a wide area of ​​condensate spray condensate spray , a loud noise came in and found that the valve line drain lc-1 was broken."
2004,Safety Lead ไม่อยู่ที่หน้างาน,TFU,TK-1210D,KMS,Unsafe Action,SL Performance,safety lead ไม่อยู่ที่หน้างาน,safety lead is not at the job site
2005,หญ้าแห้งและใบไม้แห้งสะสมเชื้อเพลิง,TFU,NS-7,Somboon D.,Unsafe Condition,Housekeeping,"หญ้าแห้ง, ใบไม้แห้งสะสมเชื้อเพลิง","Dry grass, dry leaves accumulate fuel."
2006,"ตรวจสอบมาตรการ JSA ไม่ครบถ้วน (เว้นว่างไว้หลายช่อง, ต้องติ๊กไม่เกี่ยวข้อง)",UT,P-2021A,HHP,Unsafe Action,PTW & JSA,"ตรวจสอบมาตรการ jsa ไม่ครบถ้วน (เว้นว่างไว้หลายช่อง , ต้องติ๊กไม่เกี่ยวข้อง)","Check for incomplete jsa measures (leave several blanks, must tick irrelevant)"
2007,"Certificate WAH ตรวจสอบข้อ 3, 9, 10, 11 ไม่เกี่ยวข้องที่หน้างาน",HOT,H-100A,RNC,Unsafe Action,Work at height,"certificate wah ตรวจสอบข้อ 3 , 9 , 10 , 11 ไม่เกี่ยวข้องที่หน้างาน","certificate wah check item 3 , 9 , 10 , 11 not relevant at the venue"
2008,วางแผ่นนั่งร้านบนบันไดเพื่อยืนรับ-ส่งอุปกรณ์ โดยไม่ได้ล็อคแผ่นนั่งร้าน,HOT,H-100A,RNC,Unsafe Condition,Scaffolding,"วางแผ่นนั่งร้านบนบันได, ยืนรับ-ส่งอุปกรณ์ โดยไม่ได้ล็อคแผ่นนั่งร้าน","Place the scaffolding sheet on the stairs, stand for equipment delivery without locking the scaffolding sheet"
2009,แบตเตอรี่รถดูดทรายหมด (เสื่อมสภาพ) ระหว่างที่จะนำรถออกจากพื้นที่หลังจบงาน >> การตรวจสอบก่อนเข้าพื้นที่,UT,F-2400,Sanit B.,Unsafe Condition,Transportation,แบตเตอรี่รถดูดทรายหมด (เสื่อมสภาพ) ระหว่างที่จะนำรถออกจากพื้นที่หลังจบงาน >> การตรวจสอบก่อนเข้าพื้นที่,The vacuum truck battery is exhausted (deteriorated) while taking the car out of the area after the job. >> Inspection before entering the area.
2010,ยืน/ คล้องเกี่ยว Safety Harness กับโครงสร้างบันไดลิง ซึ่งไม่ได้ออกแบบมาเพื่อรองรับน้ำหนัก กรณีมีการตกจากขั้นบันไดที่ยืน (แนะนำให้วางแผ่นนั่งร้านพาดเพื่อกระจายน้ำหนัก),HOT,T-220,WTM,Unsafe Action,Work at height,"ยืน, คล้องเกี่ยว safety harness , โครงสร้างบันไดลิง ซึ่งไม่ได้ออกแบบมา, รองรับน้ำหนัก กรณีมีการตกจากขั้นบันไดที่ยืน (แนะนำให้วางแผ่นนั่งร้านพาด, กระจายน้ำหนัก)","stand, attach safety harness , monkey ladder structure which is not designed to support the weight In the event of a fall from a standing ladder (recommended to place the scaffolding over the floor, distributing the weight)"
2011,เก็บตัวอย่าง S-7603 พบว่า Swaglok S-7603 HC leak to ATM ทำให้ส่งกลิ่นเหม็น C4,OCU,S-7603,OCU,Near Miss,Process & Operation,เก็บตัวอย่าง s-7603 พบว่า swaglok s-7603 hc leak to atm ทำให้ส่งกลิ่นเหม็น c4,S-7603 samples were collected and found that swaglok s-7603 hc leaked to atm causing c4 foul odor.
2012,พบถัง Spill Kit OCU-SK-02 บริเวณ F-761A/B ที่หน้างานไม่มี Seal lock ถัง และไม่ได้มีการตรวจสอบตามรอบเดือนโดย หน่วยงานที่รับผิดชอบ,OCU,F-761A/B,Panisara B.,Near Miss,Process & Operation,"พบถัง spill kit ocu-sk-02 บริเวณ f-761a, b ที่หน้างานไม่มี seal lock ถัง , ไม่ได้มีการตรวจสอบตามรอบเดือนโดย หน่วยงานที่รับผิดชอบ","Found a tank spill kit ocu-sk-02 around f-761a, b at the job site, there is no seal lock on the tank, not inspected by monthly cycle. Responsible agency"
2013,งานเปลี่ยน Filter จุดยืนปฏิบัติงานไม่ปลอดภัย,HOT,F-251A,REPCO (MES),Unsafe Action,Work at height,งานเปลี่ยน filter จุดยืนปฏิบัติงานไม่ปลอดภัย,Filter replacement work. Unsafe working stand.
2014,สายไฟวางกับพื้นและ Hook Harness วางกับพื้น,UT,F-2400B,WRC,Unsafe Condition,Housekeeping,"สายไฟวาง, พื้น, hook harness วาง, พื้น","wiring laying, ground, hook harness laying, ground"
2015,ป้ายเตือนอันตรายที่อับอากาศเป็นกระดาษ,UT,F-2400B,WRC,Unsafe Condition,CSE,ป้ายเตือนอันตรายที่อับอากาศเป็นกระดาษ,Paper confined danger warning sign
2016,SL และ PTW ไม่อยู่ที่หน้างาน,TFU,TK-1210D,MOC (GA),Unsafe Action,SL Performance,"sl , ptw ไม่อยู่ที่หน้างาน","sl , ptw not at the job site"
2017,เศษลวดจากงานรื้อถอนนั่งร้านหล่นค้างบนชั้นหลังคาเตา,HOT,H-100A,RNC,Unsafe Condition,Housekeeping,เศษลวดจากงานรื้อถอนนั่งร้านหล่นค้างบนชั้นหลังคาเตา,Scrap wire from the demolition work of scaffolding fell on the roof of the furnace.
2018,กองเก็บอุปกรณ์นั่งร้านเสี่ยงต่อการตกลงด้านล่าง,HOT,H-100A,RNC,Unsafe Condition,Housekeeping,กองเก็บอุปกรณ์นั่งร้านเสี่ยงต่อการตกลงด้านล่าง,The scaffolding storage pile is at risk of falling below.
2019,ไม่ได้ลงชื่อ JSA Talk,UT,Waste Storage,REPCO (MER),Unsafe Action,PTW & JSA,ไม่ได้ลงชื่อ jsa talk,unsigned jsa talk
2020,O-Ring ไฮโดรลิคแตกทำให้น้ำมันหกเล็กน้อย (ประมาณ 0.5 ลิตร),UT,F-3320B,ATP,Near Miss,Excavation,o-ring ไฮโดรลิคแตกทำให้น้ำมันหกเล็กน้อย (ประมาณ 0.5 ลิตร),"The hydraulic o-ring broke, causing a small spill of oil (about 0.5 liters)."
2021,มีน้ำมันไฮดรอลิกไหลออกมา ซึ่งหลังจากทำการซ่อมแซมเรียบร้อย มอเตอร์หัวแย๊กชำรุด,UT,Clarify,ATP,Near Miss,Excavation,มีน้ำมันไฮดรอลิกไหลออกมา ซึ่งหลังจากทำการซ่อมแซมเรียบร้อย มอเตอร์หัวแย๊กชำรุด,There is hydraulic oil coming out. which after the repair is complete Defective jack motor
2022,FO.เจ้าของพื้นที่ได้เดินสำรวจอุปกรณ์เครื่องจักรตามปกติ ได้พบ E-S520 Foundation Damaged ปูนแตกร้าว,Olefins2,E-S520,Tawat T.,Near Miss,Others,fo.เจ้าของพื้นที่ได้เดินสำรวจอุปกรณ์เครื่องจักรตามปกติ ได้พบ e-s520 foundation damaged ปูนแตกร้าว,fo. The owner of the area went to explore the machinery as usual and found e-s520 foundation damaged.
2023,เดินจด Log sheet แล้วได้กลิ่น  HC stem Block valve bypass FV-7206 จึงนำเครื่อง check VOC มาตรวจสอบพบว่า ค่า BD 1094 ppm,OCU,FV-7206,nan,Near Miss,Process & Operation,เดินจด log sheet แล้วได้กลิ่น hc stem block valve bypass fv-7206 จึงนำเครื่อง check voc มาตรวจสอบพบว่า ค่า bd 1094 ppm,"Walked down the log sheet and smelled hc stem block valve bypass fv-7206, so took a check voc machine to check and found that the bd value was 1094 ppm."
2024,งาน Load polymer ไม่มีป้ายสัญลักษณ์บ่งชี้อันตราย,HOT,D-203,REPCO (MES),Unsafe Condition,Lifting,งาน load polymer ไม่มีป้ายสัญลักษณ์บ่งชี้อันตราย,The load polymer work does not have a hazard symbol label.
2025,งานเจาะสกัดคอนกรีตไม่มีถังดับเพลิง Stand by ที่หน้างาน,HOT,H-120R,PROFESS,Unsafe Condition,Hot Work,"งานเจาะสกัดคอนกรีตไม่มีถังดับเพลิง st, by ที่หน้างาน","Concrete extraction work without fire extinguishers st, by on site"
2026,"เวลาประมาณ 11:20 น. พบ FV, Requestor ลงชื่อตรวจสอบหน้างาน/ ตรวจวัดแก๊สก่อนเริ่มงานช่วงบ่ายล่วงหน้า (13:30 น.)  >> เรียกมาตักเตือน",UT,PIT-3060,Virat K.,Unsafe Action,Hot Work,"เวลาประมาณ 11:20 น. พบ fv , requestor ลงชื่อตรวจสอบหน้างาน, ตรวจวัดแก๊สก่อนเริ่มงานช่วงบ่ายล่วงหน้า (13:30 น.) >> เรียกมาตักเตือน","Around 11:20 a.m. found fv , requestor signing for inspection at the site, gas inspection before starting work in the afternoon in advance (1:30 p.m.) >> called to warn"
2027,ตรวจสอบมาตรการ JSA ไม่ครบถ้วน ,HOT,P-227A,REPCO (MER),Unsafe Action,PTW & JSA,ตรวจสอบมาตรการ jsa ไม่ครบถ้วน,Incomplete jsa measure check
2028,ไม่ได้ลงชื่อ JSA Talk,HOT,P-227A,REPCO (MER),Unsafe Action,PTW & JSA,ไม่ได้ลงชื่อ jsa talk,unsigned jsa talk
2029,Tag นั่งร้านและอุปกรณ์ช่วยยกหมดอายุ,Olefins2,Cooling,Pichit P.,Unsafe Condition,Scaffolding,"tag นั่งร้าน, อุปกรณ์ช่วยยกหมดอายุ","tag scaffolding, lifting equipment expired"
2030,งาน Test safety valve ไม่ได้ลงชื่อ JSA Talk,COLD,PSV-410B,REPCO (IE),Unsafe Action,PTW & JSA,งาน test safety valve ไม่ได้ลงชื่อ jsa talk,test safety valve job unsigned jsa talk
