No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
2450,ปิดล้อมพื้นที่ไม่เรียบร้อย,HOT,REPCO (MES),Unsafe Condition,Lifting,ปิดล้อมพื้นที่ไม่เรียบร้อย,enclose the untidy area
2451,ใช้ไม้รองเครื่อง Generatorและถาดรองเครื่อง Generator ไม่ได้ใส่ Valve,HOT,REPCO (MES),Unsafe Condition,Hot Work,"ใช้ไม้รองเครื่อง generator, ถาดรองเครื่อง generator ไม่ได้ใส่ valve","Use generator support, generator tray without valve."
2452,รื้อนั่งร้านกีดขวางบันไดทางขึ้น-ลง Furnace,HOT,RNC,Unsafe Condition,Scaffolding,รื้อนั่งร้านกีดขวางบันไดทางขึ้น-ลง furnace,Dismantling scaffolding blocking the stairs leading up and down the furnace
2453,ขณะ control condition เป็นปกติพบว่า PI-8361 Alarm low จึงได้ทำการตรวจสอบ condition ซึ่งได้ทำการเข้าไปตรวจสอบค่า Alarm set point โดยเมื่อเข้าไปตรวจสอบ จึงพบว่าค่า Set point alarm H และ HH นั้น เกินค่า Design(41.33 kg/cm2) โดยใน DCS นั้นมีการตั้งค่า Alarm H = 100 kg/cm2 และ HH = 100 kg/cm2 ดังนั้นหากเกิด Seal pot leak อาจจะส่งผลกระทบต่ออุปกรณ์ทำให้เกิดความเสียหาย หรือเกิดเหตุระเบิดได้,ARU,MOC (OPE),Near Miss,Process & Operation,"ขณะ control condition เป็นปกติพบว่า pi-8361 alarm low จึงได้ทำการตรวจสอบ condition ซึ่งได้ทำการเข้าไปตรวจสอบค่า alarm set point โดยเมื่อเข้าไปตรวจสอบ จึงพบว่าค่า set point alarm h , hh นั้น เกินค่า design(41.33 kg, cm2) โดยใน dcs นั้นมีการตั้งค่า alarm h = 100 kg, cm2 , hh = 100 kg, cm2 ดังนั้นหากเกิด seal pot leak อาจจะส่งผลกระทบต่ออุปกรณ์ทำให้เกิดความเสียหาย หรือเกิดเหตุระเบิดได้","While the control condition was normal, the pi-8361 alarm low was checked for the condition, which was checked by the alarm set point value. When checking, it was found that the set point alarm h, hh exceeded the design value (41.33 kg). , cm2) where the dcs are set to alarm h = 100 kg, cm2 , hh = 100 kg, cm2 so if a seal pot leak may affect the device causing damage. or an explosion may occur"
2454,แผ่นเหล็กปูข้ามรางระบายน้ำมีลักษณะโก่ง มีโอกาสสะดุดได้รับบาดเจ็บได้,COLD,PROFESS,Unsafe Condition,Others,แผ่นเหล็กปูข้ามรางระบายน้ำมีลักษณะโก่ง มีโอกาสสะดุดได้รับบาดเจ็บได้,Steel plates laid across the drainage ditches have a bent look. There is a chance of tripping and getting injured.
2455,ไม่ได้แนบเอกสาร Mark จุดที่ปฏิบัติงาน,HOT,REPCO (INDT),Unsafe Action,PTW & JSA,ไม่ได้แนบเอกสาร mark จุดที่ปฏิบัติงาน,Not attaching the mark document at the point of operation
2456,ช่วงบ่าย Operation ไม่ได้ลงตรวจค่าเช็ค Gas (แต่มีการลงชื่อตรวจสอบสภาพหน้างาน) >> เจ้าของงานปิด Work,HOT,MOC (OPE),Unsafe Action,PTW & JSA,ช่วงบ่าย operation ไม่ได้ลงตรวจค่าเช็ค gas (แต่มีการลงชื่อตรวจสอบสภาพหน้างาน) >> เจ้าของงานปิด work,"In the afternoon, operation does not check gas check (but there is a sign to check the condition of the job site) >> the owner closes the work"
2457,งานยกอุปกรณ์ Solar cell จอดรถฝั่งถนน กีดขวางการจราจรช่องทางเดินรถของชุมชน ,TFU,nan,Unsafe Condition,Transportation,งานยกอุปกรณ์ solar cell จอดรถฝั่งถนน กีดขวางการจราจรช่องทางเดินรถของชุมชน,"The work of lifting solar cell equipment, parking on the road side, obstructing traffic in the community's lanes."
2458,ผู้ปฏิบัติงานนั่งขอบกระบะรถ Hiab,HOT,REPCO (MES),Unsafe Action,Transportation,ผู้ปฏิบัติงานนั่งขอบกระบะรถ hiab,A worker sits on the edge of a hiab pickup truck.
2459,ขณะทำการ Load สารเคมี ไม่มีการสวมชุดป้องกันสารเคมีและ Face Shield,HOT,DORF,Unsafe Action,Chemical Work,"ขณะทำการ load สารเคมี ไม่มีการสวมชุดป้องกันสารเคมี, face shield","When loading chemicals, do not wear chemical protective clothing, face shield."
2460,ใช้แผ่นไม้ ทำสะพานทางขึ้นลง,HOT,DORF,Unsafe Condition,Housekeeping,ใช้แผ่นไม้ ทำสะพานทางขึ้นลง,Use wooden planks to make a bridge that goes up and down.
2461,Inspector ที่ลงชื่อใน Tag ไม่ตรงกับคนที่ตรวจ,Olefins2,NPK,Unsafe Action,Scaffolding,"inspector ที่ลงชื่อใน tag ไม่ตรง, คนที่ตรวจ","inspector signed in tag doesn't match, inspector"
2462,วางเหล็ก Barricade กีดขวางพื้นที่ปฏิบัติงาน มีโอกาสเดินสะดุด เหยียบ ลื่นหกล้มได้รับบาดเจ็บได้,UT,ATP,Unsafe Condition,Housekeeping,วางเหล็ก barricade กีดขวางพื้นที่ปฏิบัติงาน มีโอกาสเดินสะดุด เหยียบ ลื่นหกล้มได้รับบาดเจ็บได้,"Place steel barricades to block the work area. There is a chance to stumble, step on, slip, fall and get injured."
2463,ปลายสายท่อส่งน้ำของบ่อน้ำเสีย อาจมี Hydrocarbon ลอยขึ้นมาปนกับอากาศ >> ต่อสาย Ground ป้องกันไฟฟ้าสถิตย์,UT,nan,Unsafe Condition,Electrical & Grounding,"ปลายสายท่อส่งน้ำของบ่อน้ำเสีย อาจมี hydrocarbon ลอยขึ้นมาปน, อากาศ >> ต่อสาย ground ป้องกันไฟฟ้าสถิตย์","The end of the sewage pipe line may contain hydrocarbon, air. >> Connect an anti-static ground wire."
2464,เครื่อง Hydro pump ไม่มี Checklist >> แจ้ง SL/SE จัดหา,UT,nan,Unsafe Condition,Tools & Equipment,"เครื่อง hydro pump ไม่มี checklist >> แจ้ง sl, se จัดหา","hydro pump no checklist >> inform sl, se supply"
2465,ไม่ได้จัดเก็บนั่งร้านหลังจากรื้อถอน,HOT,WTM,Unsafe Condition,Housekeeping,ไม่ได้จัดเก็บนั่งร้านหลังจากรื้อถอน,The scaffolding is not stored after dismantling.
2466,กองนั่งร้านในพื้นที่ จัดเก็บไม่เป็นระเบียบ,HOT,WTM,Unsafe Condition,Housekeeping,กองนั่งร้านในพื้นที่ จัดเก็บไม่เป็นระเบียบ,scaffolding in the area untidy storage
2467,Work ยกถังสารเคมีข้ามรางระบายน้ำยัง sign ไม่ครบ,HOT,NALCO,Unsafe Action,PTW & JSA,work ยกถังสารเคมีข้ามรางระบายน้ำยัง sign ไม่ครบ,work. Lifting the chemical tank across the drainage chute. The sign is not complete.
2468,ไม่จัดเก็บขวดน้ำดื่ม,HOT,KC,Unsafe Condition,Housekeeping,ไม่จัดเก็บขวดน้ำดื่ม,Do not store drinking water bottles
2469,ถังดับเพลิงวางบนรถเทปูนไม่มี Rack/ กล่องใส่,TFU,CPAC,Unsafe Condition,Others,"ถังดับเพลิงวางบนรถเทปูนไม่มี rack, กล่องใส่","The fire extinguisher is placed on a dumper without a rack, a box to put on."
2470,งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ไม่ได้ปิดล้อมพื้นที่,TFU,Flow lab,Unsafe Condition,Lifting,งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ไม่ได้ปิดล้อมพื้นที่,Lifting and moving equipment by Hieb does not enclose the area
2471,งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีน้ำเงิน,TFU,Flow lab,Unsafe Action,Lifting,งานยกขนย้ายอุปกรณ์โดยเฮี้ยบ ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีน้ำเงิน,Lifting and moving equipment by Hieb The signal provider wears a blue reflective vest.
2472,วางแผ่นนั่งร้านพาดกับบันไดลิงเพื่อยืนปฏิบัติงาน โดยไม่ได้ผูกมัด,ARU,WTM,Unsafe Condition,Scaffolding,"วางแผ่นนั่งร้านพาด, บันไดลิง, ยืนปฏิบัติงาน โดยไม่ได้ผูกมัด","Laying scaffolding sheets, monkey ladders, standing work without obligation"
2473,นั่งร้านไม่ได้ Update Tag ประจำสัปดาห์,COLD,WTM,Unsafe Action,Scaffolding,นั่งร้านไม่ได้ update tag ประจำสัปดาห์,Scaffolding doesn't update the tag weekly.
2474,นุกูลเซ็นชื่อแทน ผู้ขออนุญาต (กิตตินันท์) ที่ระบุใน PTW และไม่อยู่ที่หน้างาน,TFU,FLOWLAB,Unsafe Action,PTW & JSA,"นุกูลเซ็นชื่อแทน ผู้ขออนุญาต (กิตตินันท์) ที่ระบุใน ptw , ไม่อยู่ที่หน้างาน","Nukul signed on behalf of the applicant (Kittinan) specified in the ptw , not at the event."
2475,"พบจุด Drain grease ด้าน Non Drive End motor PM-800B ถูกเปิดไว้ ปกติควรปิดไว้ตลอดเวลา ไม่ว่า Pump motor จะ Start, Stop เพื่อป้องกัน สิ่งสกปรกเข้าไป หรือ ไม่ให้ grease ที่เป็นสารหล่อลื่น ไหลออกมาจนหมด ซึ่งจะทำให้อุปกรณ์ ชำรุดเสียหายจนใช้งานไม่ได้",ARU,MOC (OPE),Near Miss,Process & Operation,"พบจุด drain grease ด้าน non drive end motor pm-800b ถูกเปิดไว้ ปกติควรปิดไว้ตลอดเวลา ไม่ว่า pump motor จะ start , stop , ป้องกัน สิ่งสกปรกเข้าไป หรือ ไม่ให้ grease ที่เป็นสารหล่อลื่น ไหลออกมาจนหมด ซึ่งจะทำให้อุปกรณ์ ชำรุดเสียหายจนใช้งานไม่ได้","Found the drain grease point on the non drive end motor pm-800b is open. It should be closed at all times whether the pump motor starts, stops, prevents dirt from entering or prevents lubricating grease. flow out which will make the device Damaged to the point of being unable to use"
2476,หลังจากรื้อนั่งร้านรอบนอกออก ทำให้บันไดทางขึ้นบ่อไม่มีราวจับ เสี่ยงต่อการตกจากที่สูง>> minimize คนขึ้นไปใช้พื้นที่ ต้องแจ้งเจ้าของงานให้ทราบทุกครั้งและจัดทำราวกันตกพร้อมติดป้ายเตือน,UT,ATP,Unsafe Condition,Work at height,"หลังจากรื้อนั่งร้านรอบนอกออก ทำให้บันไดทางขึ้นบ่อไม่มีราวจับ เสี่ยงต่อการตกจากที่สูง>> minimize คนขึ้นไปใช้พื้นที่ ต้องแจ้งเจ้าของงานให้ทราบทุกครั้ง, จัดทำราวกันตกพร้อมติดป้ายเตือน","After dismantling the outer scaffolding The stairs leading up to the well had no handrails. Risk of falling from height>> minimize people use the area Must notify the owner of the event every time, make a railing and attach a warning sign."
2477,พื้นที่ข้างบ่อมีน้ำท่วมขัง ดินแตกร้าวร่วนซุย เสี่ยงต่อการพังถล่ม >>ปิดกั้นพื้นที่และ ติดตามให้มีการ clear ดินให้เรียบร้อย,UT,ATP,Unsafe Condition,Civil,"พื้นที่ข้างบ่อมีน้ำท่วมขัง ดินแตกร้าวร่วนซุย เสี่ยงต่อการพังถล่ม >>ปิดกั้นพื้นที่, ติดตามให้มีการ clear ดินให้เรียบร้อย","The area beside the pond is flooded. cracked soil risk of collapse >> Block the area, follow up to clear the soil."
2478,งานตัด เชื่อม เจียร Fire Watch ทำงานอื่นควบคู่ไปกับการเฝ้าระวังไฟ,UT,Profess Con,Unsafe Action,Hot Work,"งานตัด เชื่อม เจียร fire watch ทำงานอื่นควบคู่ไป, การเฝ้าระวังไฟ","Cutting, welding, grinding, fire watch, other work in parallel, fire surveillance"
2479,จุดแขวนรอกอยู่สูงและไม่มี Handrail กันตก,UT,REPCO (OPM),Unsafe Condition,Work at height,"จุดแขวนรอกอยู่สูง, ไม่มี h, rail กันตก","The pulley hanging point is high, no h, anti-fall rail."
2480,นั่งร้านไม่ได้ Update Tag ประจำสัปดาห์,COLD,REPCO (IE),Unsafe Action,Scaffolding,นั่งร้านไม่ได้ update tag ประจำสัปดาห์,Scaffolding doesn't update the tag weekly.
2481,แผ่นนั่งร้านยื่นออกมาอยู่ในระดับศีรษะ อาจเดินชนได้ > > นำผ้ามาปิดคลุมป้องกันการกระแทก,UT,ATP,Unsafe Condition,Scaffolding,แผ่นนั่งร้านยื่นออกมาอยู่ในระดับศีรษะ อาจเดินชนได้ > > นำผ้ามาปิดคลุมป้องกันการกระแทก,"The scaffolding plate protrudes at the level of the head, may crash. > > Bring a cloth to cover it to prevent shock."
2482,งานปัดขอบเสาปูนไม่ได้ล้อมผ้าใบ อาจมีเศษปูนกระเด็นโดนคนที่เดินผ่านไปมาได้,UT,Profess Con,Unsafe Condition,Civil,งานปัดขอบเสาปูนไม่ได้ล้อมผ้าใบ อาจมีเศษปูนกระเด็นโดนคนที่เดินผ่านไปมาได้,Rounding the edge of the cement pole does not surround the canvas There may be fragments of mortar thrown onto passers-by.
2483,เสาไฟถูกถอดออก,HOT,Taratorn M.,Unsafe Condition,Environmental,เสาไฟถูกถอดออก,The lamppost was removed.
2484,ไม่ได้สวมใส่รองเท้า Safety หัวเหล็กเข้าพื้นที่,Olefins2,MYC,Unsafe Action,PPE,ไม่ได้สวมใส่รองเท้า safety หัวเหล็กเข้าพื้นที่,Do not wear safety shoes with steel toe caps into the area.
2485,ทำงานโดยที่ FV ยังไม่ได้ลงชื่อใน Work permit >> สอบถาม Requestor แจ้งว่าได้แจ้ง FO ไปแล้วและ OPE ได้เตรียมระบบให้เรียบร้อยจึงทำงานเลย และ FO ลืมมา sign work,UT,REPCO (MER),Unsafe Action,PTW & JSA,"ทำงานโดยที่ fv ยังไม่ได้ลงชื่อใน work permit >> สอบถาม requestor แจ้งว่าได้แจ้ง fo ไปแล้ว, ope ได้เตรียมระบบให้เรียบร้อยจึงทำงานเลย , fo ลืมมา sign work","Working without fv signing the work permit >> ask requestor saying that fo has been notified, ope has already prepared the system so it works , fo forgot to sign work"
2486,"เข้ามาเติมน้ำมันเครื่อง Generator และ Air Compressor โดยไม่มีสาย Ground, รถเข็นไม่เหมาะสมกับงาน และตรวจสอบระดับน้ำมันมีแค่ 25% จึงแนะนำให้ถ่ายน้ำมันใส่แกลอน 20 ลิตร เข้ามาแทน",UT,HDS,Unsafe Condition,Hot Work,"เข้ามาเติมน้ำมันเครื่อง generator , air compressor โดยไม่มีสาย ground , รถเข็นไม่เหมาะสม, งาน , ตรวจสอบระดับน้ำมันมีแค่ 25% จึงแนะนำให้ถ่ายน้ำมันใส่แกลอน 20 ลิตร เข้ามาแทน","Come to fill the engine oil generator , air compressor without ground wire , the cart is not suitable , work , check the oil level is only 25% , it is recommended to transfer oil to 20 liters of gallon instead."
2487,Hydraulic pump ไม่ได้ตรวจสอบ Check sheet ก่อนเริ่มงาน,UT,HDS,Unsafe Condition,Tools & Equipment,hydraulic pump ไม่ได้ตรวจสอบ check sheet ก่อนเริ่มงาน,The hydraulic pump did not check the check sheet before starting work.
2488,วาง Clamp นั่งร้านทิ้งไว้บนนั่งร้านมีโอกาสเสี่ยงร่วงหล่นเนื่องจากไม่มี Toe board กันตก,HOT,RNC,Unsafe Condition,Scaffolding,วาง clamp นั่งร้านทิ้งไว้บนนั่งร้านมีโอกาสเสี่ยงร่วงหล่นเนื่องจากไม่มี toe board กันตก,Leave the scaffolding clamp on top of the scaffold there is a risk of falling because there is no toe board to prevent it from falling.
2489,ยืนทำงานบนแผ่นนั่งร้านที่ไม่ได้ Lock,HOT,RNC,Unsafe Condition,Work at height,ยืนทำงานบนแผ่นนั่งร้านที่ไม่ได้ lock,Stand working on unlocked scaffolding.
2490,นั่งปฏิบัติงานนอก Platform (ไม่มีนั่งร้าน),Olefins2,WTM,Unsafe Action,Work at height,นั่งปฏิบัติงานนอก platform (ไม่มีนั่งร้าน),Sit outside the platform (no scaffolding)
2491,งานยกติดตั้ง Valve ผู้ให้สัญญาณและผูกมัดไม่สวมใส่ถุงมือและเสื้อสะท้อนแสง,TFU,REPCO (IE),Unsafe Action,Lifting,"งานยกติดตั้ง valve ผู้ให้สัญญาณ, ผูกมัดไม่สวมใส่ถุงมือ, เสื้อสะท้อนแสง","Lifting and installation of signal provider valve, binding without gloves, reflective vest"
2492,นำรถเข็นที่ไม่เป็นไปตามมาตรฐานมาขนย้ายอุปกรณ์นั่งร้าน,TFU,PROTECH,Unsafe Condition,Scaffolding,นำรถเข็นที่ไม่เป็นไปตามมาตรฐานมาขนย้ายอุปกรณ์นั่งร้าน,Bring a non-standard cart to transport the scaffolding equipment.
2493,ปิดล้อมพื้นที่ไม่ครอบคลุม,HOT,WTM,Unsafe Condition,Scaffolding,ปิดล้อมพื้นที่ไม่ครอบคลุม,enclosing areas that are not covered
2494,ไม่ได้เคลียร์น้ำออกจากถาดรองก่อน start generator,UT,HDS-HCS,Unsafe Condition,Hot Work,ไม่ได้เคลียร์น้ำออกจากถาดรองก่อน start generator,The water was not cleared from the tray before starting the generator.
2495,Safety Lead ไม่ได้นำบัตรมา,HOT,REPCO (INDT),Unsafe Action,SL Performance,safety lead ไม่ได้นำบัตรมา,safety lead did not bring the card
2496,ถุงใส่ insulation ไม่ได้ติด sticker ระบุสถานะ,COLD,WTM,Unsafe Condition,Insulation,ถุงใส่ insulation ไม่ได้ติด sticker ระบุสถานะ,The insulation bag does not have a status sticker attached.
2497,Flexible hose blower หลุด,UT,HDS,Unsafe Condition,CSE,flexible hose blower หลุด,flexible hose blower dropped
2498,วาง pipe นั่งร้านกีดขวางทางเดิน,UT,PROTECH,Unsafe Condition,Housekeeping,วาง pipe นั่งร้านกีดขวางทางเดิน,Place the scaffolding pipe to block the walkway.
2499,ไม่ได้ตรวจสอบชื่อผู้ปฏิบัติงานในช่วงบ่าย (ก่อนเริ่มงาน),HOT,REPCO (MES),Unsafe Action,PTW & JSA,ไม่ได้ตรวจสอบชื่อผู้ปฏิบัติงานในช่วงบ่าย (ก่อนเริ่มงาน),The operator's name was not checked in the afternoon. (before starting work)
2500,วางใบหินเจียรทิ้งไว้บนนั่งร้าน,Olefins2,MYC,Unsafe Condition,Housekeeping,วางใบหินเจียรทิ้งไว้บนนั่งร้าน,Leave the grinding wheel on the scaffold.
2501,ยืนส่งอุปกรณ์นั่งร้านบนบันไดลิงโดยไม่มีแผ่นนั่งร้านรอง,HOT,WTM,Unsafe Action,Work at height,ยืนส่งอุปกรณ์นั่งร้านบนบันไดลิงโดยไม่มีแผ่นนั่งร้านรอง,Standing delivery of scaffolding equipment on monkey ladder without secondary scaffolding plate.
2502,ผู้ปฏิบัติงานสวมใส่หมวกกลับด้าน,HOT,WTM,Unsafe Action,PPE,ผู้ปฏิบัติงานสวมใส่หมวกกลับด้าน,The worker wears a hat upside down.
2503,Safety และ Safety Lead เป็นคนเดียวกัน,HOT,BEC,Unsafe Action,SL Performance,"safety , safety lead เป็นคนเดียวกัน","safety , safety lead is the same person"
2504,วางสายไฟบนเครื่อง Generator ขณะที่เปิดใช้งาน,UT,ATP,Unsafe Condition,Electrical & Grounding,วางสายไฟบนเครื่อง generator ขณะที่เปิดใช้งาน,Lay the wires on the generator while it is on.
2505,ไม่ได้ปิดกั้นช่องเปิดบน Grating,UT,Maximo,Unsafe Condition,Work at height,ไม่ได้ปิดกั้นช่องเปิดบน grating,Does not block openings on grating
2506,วาง Material นั่งร้านบน Feed wall อาจทำให้อุปกรณ์เสียหายได้,UT,ATP,Unsafe Condition,Work at height,วาง material นั่งร้านบน feed wall อาจทำให้อุปกรณ์เสียหายได้,Placing scaffolding material on the feed wall may damage the equipment.
2507,วางถังดับเพลิงในจุดที่ไม่พร้อมใช้งาน ติดกับเครื่อง Generator ยากต่อการหยิบใช้งานกรณีเกิดเหตุฉุกเฉิน,UT,ตะวัน,Unsafe Condition,Hot Work,"วางถังดับเพลิงในจุดที่ไม่พร้อมใช้งาน ติด, เครื่อง generator ยากต่อการหยิบใช้งานกรณีเกิดเหตุฉุกเฉิน","Place the fire extinguisher where it is not available. Stuck, the generator is difficult to access in an emergency."
2508,ยังไม่ได้ติดตั้ง Safety Net ,HOT,RNC,Unsafe Condition,Work at height,ยังไม่ได้ติดตั้ง safety net,safety net is not yet installed
2509,วางถัง LPG ใน Hazardous Area/ ด้านหน้าเตา (ซึ่งยังไม่มีการใช้งาน),HOT,RNC,Unsafe Condition,Hot Work,"วางถัง lpg ใน hazardous area, ด้านหน้าเตา (ซึ่งยังไม่มีการใช้งาน)","Place the lpg tank in a hazardous area, in front of the stove (which is not yet in use)."
2510,ไม่ได้ติดตั้ง Guard ป้องกันอุปกรณ์ Emergency,HOT,RNC,Unsafe Condition,Others,ไม่ได้ติดตั้ง guard ป้องกันอุปกรณ์ emergency,The guard is not installed to protect the emergency device.
2511,วาง Pack Argon ใน Hazardous Area/ ด้านหน้าเตา,HOT,RNC,Unsafe Condition,Hot Work,"วาง pack argon ใน hazardous area, ด้านหน้าเตา","Place pack argon in a hazardous area, in front of the stove."
2512,ไม่มีเชือกคล้องเกี่ยวประแจที่นำมาใช้งาน,HOT,RNC,Unsafe Condition,Work at height,ไม่มีเชือกคล้องเกี่ยวประแจที่นำมาใช้งาน,There is no lanyard attached to the used wrench.
2513,นำผ้าใบ Blue sheet เข้ามาใช้งาน,HOT,HDS,Unsafe Condition,Water jet,นำผ้าใบ blue sheet เข้ามาใช้งาน,Use the blue sheet canvas.
2514,ไม่ได้ติดตั้ง Pressure gauge ที่ Manifold,HOT,HDS,Unsafe Condition,Water jet,ไม่ได้ติดตั้ง pressure gauge ที่ manifold,The pressure gauge is not installed on the manifold.
2515,เมื่อเวลา 12.10น. FO. ได้ทำการเดิน Check Log sheet ได้กลิ่น Ethylene ที่ บริเวณ P-1210D จึงเข้าไปตรวจสอบพบว่า ชุด Mach. seal P-1210D Leak ออก atm ที่บริเวณ Flange LT-1210D ซึ่งปกติหากเกิดเหตุการณ์ Mach. seal Leak Hydrocarbon ที่ Leak จะถูกส่งไปยัง Flare,TFU,MOC (OPE),HNM,Process & Operation,เมื่อเวลา 12.10น. fo. ได้ทำการเดิน check log sheet ได้กลิ่น ethylene ที่ บริเวณ p-1210d จึงเข้าไปตรวจสอบพบว่า ชุด mach. seal p-1210d leak ออก atm ที่บริเวณ flange lt-1210d ซึ่งปกติหากเกิดเหตุการณ์ mach. seal leak hydrocarbon ที่ leak จะถูกส่งไปยัง flare,"At 12.10 p.m. fo., checked the log sheet, smelled ethylene at the p-1210d area, then checked and found that the mach. seal p-1210d leaked out atm at the flange lt-1210d area, which is normal in the event of a mach event. seal leak The leaked hydrocarbon is sent to the flare."
2516,เมื่อเวลา 22:00 น. ทาง FO Quench แจ้งทาง US ว่ามีกลิ่นเหม็นคล้ายน้ำมัน ที่ บริเวณ P-206B ทาง US ลงไปตรวจสอบหน้าพบ P-206B มี purge oil รั่วที่ Sight glass จึงใช้ N2 purge ไล่ เพื่อ dilute HC และเข้าจุดเกิดเหตุพร้อม full PPE พื่อทำการ Switching pump P-206B to C เพื่อทำการ isolate เพื่อตัดแยกระบบออก,Olefins2,MOC (OPE),Accident,Process & Operation,"เมื่อเวลา 22:00 น. ทาง fo quench แจ้งทาง us ว่ามีกลิ่นเหม็นคล้ายน้ำมัน ที่ บริเวณ p-206b ทาง us ลงไปตรวจสอบหน้าพบ p-206b มี purge oil รั่วที่ sight glass จึงใช้ n2 purge ไล่ , dilute hc , เข้าจุดเกิดเหตุพร้อม full ppe พื่อทำการ switching pump p-206b to c , ทำการ isolate , ตัดแยกระบบออก","At 10 p.m. the fo quench notified us of a foul smell of oil at p-206b, us inspected the page and found p-206b purge oil leak at the sight glass, n2 purge was used to remove it, dilute hc. , enter the scene with full ppe to switch pump p-206b to c , isolate , disconnect the system"
2517,ไม่ได้ใส่น็อตที่ฝา Top TLE,HOT,RNC,Unsafe Condition,Others,ไม่ได้ใส่น็อตที่ฝา top tle,I didn't put the nut on the top tle cap.
2518,ยังไม่มีการติดตั้ง Hard Barricade ที่ ชั้น4,HOT,RNC,Unsafe Condition,Work at height,ยังไม่มีการติดตั้ง hard barricade ที่ ชั้น4,The hard barricade has not yet been installed on the 4th floor.
2519,ไม่มีเอกสาร JICA,HOT,REPCO (MES),Unsafe Action,Water jet,ไม่มีเอกสาร jica,no jica documentation
2520,ติดตั้งนั่งร้านไม่เป็นไปตามข้อกำหนด (ตำแหน่งข้อต่อเสาอยู่ในระนาบเดียวกัน ไม่เป็นไปตามมาตรฐานนั่งร้าน),OCU,WTM,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านไม่เป็นไปตามข้อกำหนด (ตำแหน่งข้อต่อเสาอยู่ในระนาบเดียวกัน ไม่เป็นไปตามมาตรฐานนั่งร้าน),Installation of scaffolding does not meet the requirements. (Post joint position is in the same plane does not meet scaffolding standards)
2521,ไม่สวมใส่ Safety Harness ขณะทำงานบนนั่งร้าน,HOT,RNC,Unsafe Action,Work at height,ไม่สวมใส่ safety harness ขณะทำงานบนนั่งร้าน,Do not wear a safety harness while working on scaffolding.
2522,L1- เวลา 11:30 น. พนักงานติดตั้งนั่งร้านชั้น 6 มีการรับส่งนั่งร้านจากชั้น 7 ขณะทำงานขนย้ายได้เดินเหยียบผ้าใบที่มีคราบน้ำมันและเดินมาที่ Grating แล้วเกิดลื่นล้ม ได้รับบาดเจ็บที่หัวเข่าด้านขวา,HOT,RNC,Accident,Housekeeping,"l1- เวลา 11:30 น. พนักงานติดตั้งนั่งร้านชั้น 6 มีการรับส่งนั่งร้านจากชั้น 7 ขณะทำงานขนย้ายได้เดินเหยียบผ้าใบที่มีคราบน้ำมัน, เดินมาที่ grating แล้วเกิดลื่นล้ม ได้รับบาดเจ็บที่หัวเข่าด้านขวา","l1- At 11:30 a.m., scaffolding installers on the 6th floor have a scaffolding pick up from the 7th floor. While doing the moving work, he stepped on the oil-stained canvas, walked to the grating and slipped. Injured right knee"
2523,นั่งทำงานบนก้านแขวนฝา Top TLE ,HOT,HDS,Unsafe Action,Water jet,นั่งทำงานบนก้านแขวนฝา top tle,Sit and work on the top tle hanging rod.
2524,แขวนรอกกับนั่งร้านที่ไม่ได้ออกแบบมาสำหรับรับน้ำหนักท่อ ทำให้นั่งร้านเสียรูป,HOT,RNC,Unsafe Condition,Lifting,"แขวนรอก, นั่งร้านที่ไม่ได้ออกแบบมาสำหรับรับน้ำหนักท่อ ทำให้นั่งร้านเสียรูป","Hanging pulleys, scaffolding not designed for pipe loads. deform scaffolding"
2525,JSA ตัวหนังสิอเล็ก อ่านไม่ออก,HOT,REPCO (MER),Unsafe Action,PTW & JSA,jsa ตัวหนังสิอเล็ก อ่านไม่ออก,"jsa, the leather is small, can't read"
2526,"KEC ไม่ได้ติ๊กชื่อ, MGB ไม่ได้ลงชื่อ JSA Talk เมื่อเข้ามาทำงานในช่วงบ่าย",HOT,REPCO (MER),Unsafe Action,PTW & JSA,"kec ไม่ได้ติ๊กชื่อ , mgb ไม่ได้ลงชื่อ jsa talk เมื่อเข้ามาทำงานในช่วงบ่าย","kec unchecked name , mgb unsigned jsa talk when coming to work in the afternoon"
2527,เต็นท์จัดเก็บ Insulation หัก >> กั้น Barricade รอการขนย้ายออกจากพื้นที่,HOT,RNC,Unsafe Condition,Housekeeping,เต็นท์จัดเก็บ insulation หัก >> กั้น barricade รอการขนย้ายออกจากพื้นที่,Storage tent insulation broken >> barricade barrier awaiting removal from the area.
